lat,lon,sz,names,len_cat,street,street_nodes,street_id,node_id,source_city,source_city_id
43.5995698,-79.5130839,2,Fourteenth Street (065),a,Fourteenth Street,13,11284278,611475065,Toronto,131268
43.5998088,-79.5131839,2,Fourteenth Street (066),a,Fourteenth Street,13,11284278,611475066,Toronto,131268
43.6133801,-79.5233298,2,Kipling Avenue (999),a,Kipling Avenue,1113,11280312,611474999,Toronto,131268
43.622096,-79.4941849,2,Algoma Street (824),a,Algoma Street,33,11288714,611462824,Toronto,131268
43.622115,-79.4940972,2,Algoma Street (825),a,Algoma Street,33,11288714,611462825,Toronto,131268
43.622119,-79.4940788,2,Algoma Street (826),a,Algoma Street,33,11288714,611462826,Toronto,131268
43.6221483,-79.4939436,2,Algoma Street (827),a,Algoma Street,33,11288714,611462827,Toronto,131268
43.622181,-79.4937929,2,Algoma Street (828),a,Algoma Street,33,11288714,611462828,Toronto,131268
43.622215,-79.4936357,2,Algoma Street (829),a,Algoma Street,33,11288714,611462829,Toronto,131268
43.6222381,-79.5142543,2,Islington Avenue (674),a,Islington Avenue,1023,11280311,218838674,Toronto,131268
43.6222381,-79.5142543,2,Islington Avenue (857),a,Islington Avenue,1023,11280311,218838857,Toronto,131268
43.6222454,-79.4934956,2,Algoma Street (830),a,Algoma Street,33,11288714,611462830,Toronto,131268
43.6222792,-79.4933393,2,Algoma Street (831),a,Algoma Street,33,11288714,611462831,Toronto,131268
43.6223126,-79.4931853,2,Algoma Street (832),a,Algoma Street,33,11288714,611462832,Toronto,131268
43.6223395,-79.4930608,2,Algoma Street (833),a,Algoma Street,33,11288714,611462833,Toronto,131268
43.6223465,-79.4930285,2,Algoma Street (834),a,Algoma Street,33,11288714,611462834,Toronto,131268
43.6223793,-79.4928773,2,Algoma Street (835),a,Algoma Street,33,11288714,611462835,Toronto,131268
43.6224023,-79.4927712,2,Algoma Street (836),a,Algoma Street,33,11288714,611462836,Toronto,131268
43.6224116,-79.4927281,2,Algoma Street (260),a,Algoma Street,33,11288714,526525260,Toronto,131268
43.6250105,-79.5009134,2,Morgan Avenue (031),a,Morgan Avenue,27,11284414,611463031,Toronto,131268
43.6251155,-79.5009591,2,Morgan Avenue (032),a,Morgan Avenue,27,11284414,611463032,Toronto,131268
43.6252251,-79.5010068,2,Morgan Avenue (033),a,Morgan Avenue,27,11284414,611463033,Toronto,131268
43.6252411,-79.4999198,2,Penhurst Avenue (666),a,Penhurst Avenue,16,11284415,611448666,Toronto,131268
43.6252427,-79.5010145,2,Morgan Avenue (034),a,Morgan Avenue,27,11284414,611463034,Toronto,131268
43.6253289,-79.501052,2,Morgan Avenue (035),a,Morgan Avenue,27,11284414,611463035,Toronto,131268
43.6253424,-79.4999621,2,Penhurst Avenue (665),a,Penhurst Avenue,16,11284415,611448665,Toronto,131268
43.6253435,-79.5010583,2,Morgan Avenue (036),a,Morgan Avenue,27,11284414,611463036,Toronto,131268
43.6254411,-79.5000034,2,Penhurst Avenue (664),a,Penhurst Avenue,16,11284415,611448664,Toronto,131268
43.6254495,-79.5011045,2,Morgan Avenue (037),a,Morgan Avenue,27,11284414,611463037,Toronto,131268
43.6255554,-79.5000512,2,Penhurst Avenue (663),a,Penhurst Avenue,16,11284415,611448663,Toronto,131268
43.6255729,-79.5000585,2,Penhurst Avenue (662),a,Penhurst Avenue,16,11284415,611448662,Toronto,131268
43.6262229,-79.4786425,2,The Marginal Boulevard (808),a,The Marginal Boulevard,12,23812483,555160808,Toronto,131268
43.6262861,-79.4788597,2,Crow's Beach Lane (758),a,Crow's Beach Lane,3,11290172,611425758,Toronto,131268
43.6262861,-79.4788597,2,The Marginal Boulevard (761),a,The Marginal Boulevard,12,23812483,611425761,Toronto,131268
43.6357313,-79.5262224,2,Six Point Road (906),a,Six Point Road,36,11288663,611455906,Toronto,131268
43.6357918,-79.5259508,2,Six Point Road (907),a,Six Point Road,36,11288663,611455907,Toronto,131268
43.6358448,-79.5257132,2,Six Point Road (908),a,Six Point Road,36,11288663,611455908,Toronto,131268
43.6358973,-79.5254775,2,Six Point Road (909),a,Six Point Road,36,11288663,611455909,Toronto,131268
43.6361753,-79.52423,2,Six Point Road (336),a,Six Point Road,36,11288663,508739336,Toronto,131268
43.6380212,-79.5740729,2,Thicket Road (436),a,Thicket Road,29,11285148,219407436,Toronto,131268
43.6380787,-79.5740433,2,Thicket Road (437),a,Thicket Road,29,11285148,219407437,Toronto,131268
43.638108,-79.5740425,2,Thicket Road (438),a,Thicket Road,29,11285148,219407438,Toronto,131268
43.6381317,-79.5740545,2,Thicket Road (439),a,Thicket Road,29,11285148,219407439,Toronto,131268
43.6381707,-79.5740893,2,Thicket Road (440),a,Thicket Road,29,11285148,219407440,Toronto,131268
43.6388603,-79.5374001,2,Viking Lane (671),a,Viking Lane,25,11289485,219530671,Toronto,131268
43.6388737,-79.5374258,2,Viking Lane (305),a,Viking Lane,25,11289485,611456305,Toronto,131268
43.638889,-79.5374545,2,Viking Lane (272),a,Viking Lane,25,11289485,431644272,Toronto,131268
43.6417481,-79.578865,2,Burnhamthorpe Road (633),a,Burnhamthorpe Road,330,11281806,218894633,Toronto,131268
43.6417481,-79.578865,2,Burnhamthorpe Road (634),a,Burnhamthorpe Road,330,11281806,218894634,Toronto,131268
43.6418506,-79.5731181,2,Tranquil Drive (146),a,Tranquil Drive,20,11288847,219524146,Toronto,131268
43.6419133,-79.5783745,2,Burnhamthorpe Road (632),a,Burnhamthorpe Road,330,11281806,218894632,Toronto,131268
43.6419133,-79.5783745,2,Burnhamthorpe Road (745),a,Burnhamthorpe Road,330,11281806,218894745,Toronto,131268
43.6419279,-79.5731553,2,Tranquil Drive (147),a,Tranquil Drive,20,11288847,219524147,Toronto,131268
43.6419775,-79.5731837,2,Tranquil Drive (148),a,Tranquil Drive,20,11288847,219524148,Toronto,131268
43.642021,-79.5732273,2,Tranquil Drive (149),a,Tranquil Drive,20,11288847,219524149,Toronto,131268
43.642056,-79.5732835,2,Tranquil Drive (150),a,Tranquil Drive,20,11288847,219524150,Toronto,131268
43.6420903,-79.5733434,2,Tranquil Drive (151),a,Tranquil Drive,20,11288847,219524151,Toronto,131268
43.6421152,-79.573414,2,Tranquil Drive (152),a,Tranquil Drive,20,11288847,219524152,Toronto,131268
43.6421378,-79.5734975,2,Tranquil Drive (153),a,Tranquil Drive,20,11288847,219524153,Toronto,131268
43.6421683,-79.5735761,2,Tranquil Drive (154),a,Tranquil Drive,20,11288847,219524154,Toronto,131268
43.6421824,-79.553204,2,Laurel Avenue (023),a,Laurel Avenue,42,11285444,318938023,Toronto,131268
43.6422001,-79.5775221,2,Burnhamthorpe Road (744),a,Burnhamthorpe Road,330,11281806,218894744,Toronto,131268
43.6422001,-79.5775221,2,Burnhamthorpe Road (286),a,Burnhamthorpe Road,330,11281806,611462286,Toronto,131268
43.642206,-79.5736483,2,Tranquil Drive (155),a,Tranquil Drive,20,11288847,219524155,Toronto,131268
43.6422433,-79.5773689,2,Burnhamthorpe Road (510),a,Burnhamthorpe Road,330,11281806,555158510,Toronto,131268
43.6422433,-79.5773689,2,Burnhamthorpe Road (512),a,Burnhamthorpe Road,330,11281806,555158512,Toronto,131268
43.6422504,-79.573713,2,Tranquil Drive (156),a,Tranquil Drive,20,11288847,219524156,Toronto,131268
43.6423007,-79.5737689,2,Tranquil Drive (157),a,Tranquil Drive,20,11288847,219524157,Toronto,131268
43.6423559,-79.5738151,2,Tranquil Drive (158),a,Tranquil Drive,20,11288847,219524158,Toronto,131268
43.6424202,-79.5738468,2,Tranquil Drive (159),a,Tranquil Drive,20,11288847,219524159,Toronto,131268
43.6424934,-79.5738785,2,Tranquil Drive (160),a,Tranquil Drive,20,11288847,219524160,Toronto,131268
43.6425881,-79.5754619,2,Burnhamthorpe Road (738),a,Burnhamthorpe Road,330,11281806,218894738,Toronto,131268
43.6426682,-79.5753856,2,Burnhamthorpe Road (728),a,Burnhamthorpe Road,330,11281806,218894728,Toronto,131268
43.6426682,-79.5753856,2,Burnhamthorpe Road (739),a,Burnhamthorpe Road,330,11281806,218894739,Toronto,131268
43.6426682,-79.5753856,2,Burnhamthorpe Road (572),a,Burnhamthorpe Road,330,11281806,611444572,Toronto,131268
43.6427038,-79.5752419,2,Burnhamthorpe Road (508),a,Burnhamthorpe Road,330,11281806,496700508,Toronto,131268
43.6427038,-79.5752419,2,Burnhamthorpe Road (509),a,Burnhamthorpe Road,330,11281806,496700509,Toronto,131268
43.6427057,-79.5755087,2,Burnhamthorpe Road (729),a,Burnhamthorpe Road,330,11281806,218894729,Toronto,131268
43.6428201,-79.5747344,2,Burnhamthorpe Road (510),a,Burnhamthorpe Road,330,11281806,496700510,Toronto,131268
