lat,lon,sz,names,len_cat
52.2938104,4.9546271,2,Meibergdreef (583),a
52.2938131,4.9482634,2,Meibergdreef (068),a
52.2938162,4.9526299,2,Meibergdreef (769),a
52.2938181,4.9460955,2,Schepenbergweg (562),a
52.2938195,4.9479611,2,Meibergdreef (062),a
52.2938195,4.9479611,2,Meibergdreef (739),a
52.2938195,4.9479611,2,Snijdersbergweg (324),a
52.2938195,4.9479611,2,Tafelbergweg (805),a
52.2938247,4.9716679,2,Teugestraat (786),a
52.2938327,4.9745568,2,Reigersbosdreef (940),a
52.2938347,4.9546616,2,Meibergdreef (584),a
52.2938451,4.9525233,2,Meibergdreef (832),a
52.2938493,4.946067,2,Schepenbergweg (353),a
52.2938493,4.946067,2,Schepenbergweg (561),a
52.293852,4.9477296,2,Snijdersbergweg (322),a
52.2938552,4.954685,2,Meibergdreef (602),a
52.2938602,4.95286,2,Meibergdreef (776),a
52.2938664,4.9475562,2,Snijdersbergweg (627),a
52.2938719,4.9524843,2,Meibergdreef (831),a
52.2938798,4.9614453,2,Meibergdreef (625),a
52.2938872,4.9547031,2,Meibergdreef (585),a
52.2939004,4.9524488,2,Meibergdreef (833),a
52.2939087,4.9481423,2,Meibergdreef (738),a
52.2939114,4.9547248,2,Meibergdreef (586),a
52.2939255,4.9726445,2,Tekkopstraat (197),a
52.2939255,4.9726445,2,Terletstraat (868),a
52.2939255,4.9726445,2,Teteringenstraat (552),a
52.2939258,4.9478739,2,Snijdersbergweg (325),a
52.2939273,4.9476668,2,Snijdersbergweg (321),a
52.2939301,4.9481847,2,Meibergdreef (736),a
52.2939355,4.9547665,2,Meibergdreef (603),a
52.2939378,4.9843372,2,Stellendamstraat (278),a
52.2939447,4.9784602,2,Scherpenzeelstraat (955),a
52.2939496,4.968084,2,Trichtstraat (155),a
52.2939496,4.968084,2,Trichtstraat (160),a
52.29395,4.97037,2,Tefelenstraat (962),a
52.2939564,4.9523931,2,Meibergdreef (834),a
52.2939595,4.9786229,2,Scherpenzeelstraat (917),a
52.2939644,4.9784617,2,Scherpenzeelstraat (941),a
52.2939644,4.9784617,2,Scherpenzeelstraat (951),a
52.2939698,4.966233,2,Tolkamerstraat (023),a
52.2939698,4.966233,2,Tongerenstraat (767),a
52.2939743,4.9725867,2,Tekkopstraat (203),a
52.2939782,4.9864389,2,Woudrichemstraat (137),a
52.2939786,4.9459488,2,Schepenbergweg (352),a
52.2939905,4.9784637,2,Scherpenzeelstraat (939),a
52.2940026,4.9613816,2,Meibergdreef (626),a
52.2940076,4.9745611,2,Reigersbosdreef (941),a
52.2940076,4.9745611,2,Reigersbosdreef (941),a
52.2940181,4.9477949,2,Snijdersbergweg (559),a
52.2940253,4.9663071,2,Tongerenstraat (773),a
52.2940295,4.9523459,2,Meibergdreef (828),a
52.2940295,4.9523459,2,Meibergdreef (835),a
52.2940329,4.978626,2,Scherpenzeelstraat (920),a
52.2940344,4.9663993,2,Tongerenstraat (778),a
52.294049,4.9458844,2,Schepenbergweg (351),a
52.2940691,4.9799264,2,Schelluinenstraat (168),a
52.294072,4.9551643,2,Meibergdreef (587),a
52.2940736,4.972469,2,Tekkopstraat (201),a
52.2940736,4.972469,2,Tekkopstraat (204),a
52.2940914,4.9473789,2,Snijdersbergweg (626),a
52.2940963,4.9741861,2,Terletstraat (851),a
52.2940963,4.9741861,2,Terletstraat (851),a
52.2940993,4.955241,2,Meibergdreef (588),a
52.2941073,4.9476983,2,Snijdersbergweg (560),a
52.2941073,4.9476983,2,Snijdersbergweg (635),a
52.2941126,4.9730911,2,Terletstraat (864),a
52.2941196,4.9671921,2,Tongerenstraat (787),a
52.294126,4.9689312,2,Tongerenstraat (502),a
