lat,lon,sz,names,len_cat
20.6829352,-105.2780929,2,Vidanta Acceso principal (970),a
20.682951,-105.2779619,2,Vidanta Acceso principal (985),a
20.683027,-105.2775057,2,Vidanta Acceso principal (989),a
20.6830697,-105.2772697,2,Vidanta Acceso principal (980),a
20.6831425,-105.2770068,2,Vidanta Acceso principal (975),a
20.6832243,-105.2768274,2,Vidanta Acceso principal (993),a
20.6832816,-105.2767142,2,Vidanta Acceso principal (984),a
20.683349,-105.2765891,2,Vidanta Acceso principal (994),a
20.6834136,-105.2764887,2,Vidanta Acceso principal (986),a
20.683465,-105.276432,2,Vidanta Acceso principal (978),a
20.683544,-105.2763693,2,Vidanta Acceso principal (995),a
20.6835885,-105.2763358,2,Vidanta Acceso principal (974),a
20.6836412,-105.2762854,2,Vidanta Acceso principal (996),a
20.6836853,-105.2762234,2,Vidanta Acceso principal (997),a
20.6837401,-105.2761424,2,Vidanta Acceso principal (998),a
20.6837891,-105.2760815,2,Vidanta Acceso principal (994),a
20.6838494,-105.2760233,2,Vidanta Acceso principal (000),a
20.6839039,-105.2759806,2,Vidanta Acceso principal (999),a
20.6840734,-105.275832,2,Vidanta Acceso principal (973),a
20.6842729,-105.288751,2,Calle Paseo de las Moras (314),a
20.6842804,-105.2887014,2,Calle Paseo de las Moras (315),a
20.6842961,-105.2888335,2,Calle Paseo de las Moras (313),a
20.6842985,-105.2756231,2,Vidanta Acceso principal (981),a
20.6843011,-105.2886645,2,Calle Paseo de las Moras (168),a
20.6843011,-105.2886645,2,Calle Paseo de las Moras (316),a
20.6843011,-105.2886645,2,Paseo de las Moras (301),a
20.6843011,-105.2886645,2,Paseo de las Moras (970),a
20.6843921,-105.288979,2,Calle Paseo de las Moras (312),a
20.6844284,-105.2883272,2,Paseo de las Moras (066),a
20.6846529,-105.2893113,2,Calle Paseo de las Moras (311),a
20.6846656,-105.2753009,2,Vidanta Acceso principal (996),a
20.6847115,-105.2893906,2,Calle Paseo de las Moras (310),a
20.6847332,-105.2892417,2,Calle Paseo de las Moras (169),a
20.6848726,-105.2896082,2,Calle Paseo de las Moras (309),a
20.6849102,-105.2896589,2,Calle Paseo de las Moras (308),a
20.6849682,-105.2895395,2,Calle Paseo de las Moras (170),a
20.6849994,-105.2749549,2,Vidanta Acceso principal (982),a
20.6850169,-105.2896012,2,Calle Paseo de las Moras (171),a
20.6850407,-105.2898158,2,Calle Paseo de las Moras (307),a
20.6852152,-105.2747162,2,Vidanta Acceso principal (983),a
20.6852678,-105.289899,2,Calle Paseo de las Moras (172),a
20.685308,-105.290072,2,Calle Paseo de las Moras (306),a
20.6853732,-105.2745499,2,Vidanta Acceso principal (992),a
20.6855501,-105.2902181,2,Calle Paseo de las Moras (305),a
20.685569,-105.2743943,2,Vidanta Acceso principal (997),a
20.6855865,-105.2901202,2,Calle Paseo de las Moras (173),a
20.6856869,-105.2856892,2,Paseo de las Moras (064),a
20.6857195,-105.2743139,2,Vidanta Acceso principal (990),a
20.6857508,-105.2856249,2,Calle Paseo del Velero (919),a
20.6857508,-105.2856249,2,Paseo de las Moras (065),a
20.6858461,-105.2903898,2,Calle Paseo de las Moras (304),a
