lat,lon,sz,names,len_cat
44.2995233,-79.7294572,2,McKay Road (187),a
44.2995233,-79.7294572,2,McKay Road (187),a
44.299537,-79.7293979,2,McKay Road (188),a
44.299537,-79.7293979,2,McKay Road (188),a
44.2997579,-79.7284498,2,McKay Road (189),a
44.3004684,-79.7254002,2,McKay Road (190),a
44.3005013,-79.7252444,2,McKay Road (191),a
44.3008445,-79.6976208,2,Reid Drive (928),a
44.3008617,-79.7235363,2,McKay Road (192),a
44.301022,-79.7298386,2,County Road 27 (438),a
44.301022,-79.7298386,2,County Road 27 (438),a
44.3014456,-79.7298796,2,County Road 27 (439),a
44.3014456,-79.7298796,2,County Road 27 (439),a
44.3018743,-79.719089,2,McKay Road (193),a
44.3021278,-79.7298417,2,County Road 27 (437),a
44.3021278,-79.7298417,2,County Road 27 (437),a
44.3021278,-79.7298417,2,County Road 27 (440),a
44.3021278,-79.7298417,2,County Road 27 (440),a
44.3021877,-79.7298338,2,County Road 27 (537),a
44.3021877,-79.7298338,2,County Road 27 (537),a
44.3025828,-79.7297424,2,County Road 27 (538),a
44.3025828,-79.7297424,2,County Road 27 (538),a
44.3026792,-79.7154107,2,McKay Road (194),a
44.3028119,-79.7296872,2,County Road 27 (539),a
44.3028119,-79.7296872,2,County Road 27 (539),a
44.3033409,-79.7294877,2,County Road 27 (224),a
44.3033409,-79.7294877,2,County Road 27 (224),a
44.3033409,-79.7294877,2,County Road 27 (540),a
44.3033409,-79.7294877,2,County Road 27 (540),a
44.3033409,-79.7294877,2,Essa Road (272),a
44.3033409,-79.7294877,2,Essa Road (272),a
44.303425,-79.7296312,2,County Road 27 (225),a
44.303425,-79.7296312,2,County Road 27 (225),a
44.3035734,-79.7010147,2,Elmanna Crescent (672),a
44.3035736,-79.7010839,2,Elmanna Crescent (678),a
44.3035926,-79.7011636,2,Elmanna Crescent (671),a
44.3036279,-79.6916168,2,5th Sideroad (749),a
44.3036279,-79.6916168,2,5th Sideroad (751),a
44.303642,-79.7012227,2,Elmanna Crescent (679),a
44.3036529,-79.7300201,2,County Road 27 (226),a
44.3036529,-79.7300201,2,County Road 27 (226),a
44.3037064,-79.7012505,2,Elmanna Crescent (670),a
44.3038297,-79.7104461,2,McKay Road (195),a
44.3038358,-79.7302794,2,County Road 27 (227),a
44.3040222,-79.6989471,2,Elmanna Crescent (674),a
44.3040222,-79.6989471,2,Norma Street (790),a
44.3040222,-79.6989471,2,Reid Drive (929),a
44.3040222,-79.6989471,2,Reid Drive (944),a
44.3040725,-79.7305125,2,County Road 27 (228),a
44.3042156,-79.701324,2,Elmanna Crescent (673),a
44.3042156,-79.701324,2,Sergio Trail (697),a
44.3042446,-79.6980406,2,Mia Heights (694),a
44.3042446,-79.6980406,2,Norma Street (789),a
44.3042742,-79.7009239,2,Sergio Trail (699),a
44.3043532,-79.7306569,2,County Road 27 (229),a
44.3044146,-79.7002748,2,Sergio Trail (696),a
44.3044393,-79.6971481,2,Norma Street (788),a
44.3044393,-79.6971481,2,Theo Heights (691),a
44.3044578,-79.700199,2,Sergio Trail (700),a
44.3045316,-79.7001662,2,Sergio Trail (695),a
44.3046208,-79.696316,2,Edy Way (689),a
44.3046208,-79.696316,2,Norma Street (787),a
44.3048689,-79.7014882,2,Elmanna Crescent (669),a
44.3048936,-79.6950654,2,Da Vinci Avenue (682),a
44.3048936,-79.6950654,2,Da Vinci Avenue (682),a
44.3048936,-79.6950654,2,Norma Street (786),a
44.3048936,-79.6950654,2,Norma Street (786),a
44.3049199,-79.69193,2,5th Sideroad (750),a
44.3049199,-79.69193,2,5th Sideroad (754),a
44.3049199,-79.69193,2,5th Sideroad (760),a
44.3049527,-79.7014805,2,Elmanna Crescent (677),a
44.3049935,-79.701404,2,Elmanna Crescent (668),a
44.3050219,-79.70125,2,Bellot Lane (780),a
44.3050219,-79.70125,2,Elmanna Crescent (667),a
44.3051499,-79.7045874,2,McKay Road (196),a
44.3052136,-79.7004193,2,Elmanna Crescent (676),a
44.3052136,-79.7004193,2,Sergio Trail (698),a
44.3052891,-79.6965914,2,Edy Way (688),a
44.3053089,-79.7013476,2,Bellot Lane (783),a
44.3053531,-79.696567,2,Edy Way (687),a
44.3053615,-79.6919525,2,5th Sideroad (761),a
44.3053616,-79.6921057,2,5th Sideroad (756),a
44.3053754,-79.7013572,2,Bellot Lane (784),a
44.3053939,-79.6964695,2,Edy Way (686),a
44.3054139,-79.699533,2,Brandon Drive (794),a
44.3054139,-79.699533,2,Elmanna Crescent (675),a
44.3054139,-79.699533,2,Reid Drive (945),a
44.3054418,-79.7012894,2,Bellot Lane (782),a
44.3055304,-79.6921457,2,5th Sideroad (274),a
44.3055304,-79.6921457,2,Norma Street (785),a
44.3056108,-79.6986249,2,Brandon Drive (792),a
44.3056108,-79.6986249,2,Mia Heights (693),a
44.3056174,-79.6953749,2,Da Vinci Avenue (683),a
44.3056174,-79.6953749,2,Da Vinci Avenue (683),a
44.3056174,-79.6953749,2,Edy Way (685),a
44.3056174,-79.6953749,2,Edy Way (685),a
44.3057933,-79.699697,2,Bellot Lane (781),a
44.3057933,-79.699697,2,Reid Drive (932),a
44.3057933,-79.699697,2,Sable Lane (703),a
44.3057956,-79.6922085,2,5th Sideroad (755),a
44.3058085,-79.6977429,2,Brandon Drive (793),a
44.3058085,-79.6977429,2,Theo Heights (692),a
