lat,lon,sz,names,len_cat
53.1670725,-6.1336499,2,Bohilla Lane Roundabout (091),a
53.1670834,-6.1327912,2,Kilmurry Cottages (806),a
53.1670939,-6.1330808,2,Bohilla Lane Roundabout (388),a
53.1670939,-6.1330808,2,Kilmurry Cottages (519),a
53.1670944,-6.1329825,2,Kilmurry Cottages (518),a
53.1670992,-6.1328216,2,Kilmurry Cottages (804),a
53.1670992,-6.1328216,2,Kilmurry Cottages (895),a
53.1670992,-6.1328216,2,Kilmurry Cottages (896),a
53.1671089,-6.1336547,2,Bohilla Lane Roundabout (093),a
53.1671096,-6.129486,2,Bohilla Lane (368),a
53.1671155,-6.137666,2,Quill Road (163),a
53.1671168,-6.1406433,2,Glencap Road (372),a
53.1671168,-6.1406433,2,Glencap Road (378),a
53.1671354,-6.1328717,2,Kilmurry Cottages (517),a
53.167142,-6.1227358,2,Kilfenora Road (389),a
53.1671431,-6.1330877,2,Bohilla Lane Roundabout (251),a
53.1671524,-6.1336434,2,Bohilla Lane Roundabout (095),a
53.1671892,-6.1331176,2,Bohilla Lane Roundabout (250),a
53.1671927,-6.1336141,2,Bohilla Lane Roundabout (097),a
53.1672034,-6.1376673,2,Quill Road (108),a
53.1672199,-6.1335805,2,Bohilla Lane Roundabout (098),a
53.1672243,-6.1331616,2,Bohilla Lane Roundabout (249),a
53.1672243,-6.1331616,2,Kilmurry Cottages (516),a
53.1672261,-6.1309772,2,Bohilla Lane (363),a
53.1672378,-6.1308096,2,Bohilla Lane (138),a
53.1672426,-6.1335387,2,Bohilla Lane Roundabout (100),a
53.1672434,-6.1310872,2,Bohilla Lane (137),a
53.1672517,-6.133219,2,Bohilla Lane (266),a
53.1672517,-6.133219,2,Bohilla Lane Roundabout (248),a
53.1672563,-6.1295906,2,Bohilla Lane (142),a
53.1672648,-6.1334719,2,Bohilla Lane Roundabout (101),a
53.1672648,-6.1334719,2,Bohilla Lane Roundabout (241),a
53.1672651,-6.131163,2,Bohilla Lane (362),a
53.1672683,-6.1405253,2,Glencap Road (379),a
53.1672709,-6.1306395,2,Bohilla Lane (364),a
53.1672717,-6.1332998,2,Bohilla Lane Roundabout (247),a
53.1672756,-6.1333973,2,Bohilla Lane Roundabout (242),a
53.1673182,-6.1312737,2,Bohilla Lane (136),a
53.1673238,-6.1376864,2,Quill Road (170),a
53.1673378,-6.1296572,2,Bohilla Lane (367),a
53.1673519,-6.1376909,2,Quill Road (168),a
53.167364,-6.1302987,2,Bohilla Lane (139),a
53.1673735,-6.1228216,2,Kilfenora Road (390),a
53.1673883,-6.1313074,2,Bohilla Lane (998),a
53.1673961,-6.1404195,2,Glencap Road (380),a
53.1673961,-6.1404195,2,Glencap Road (381),a
53.1673968,-6.1331902,2,Bohilla Lane (267),a
53.167419,-6.1377015,2,Quill Road (109),a
53.1674211,-6.129722,2,Bohilla Lane (141),a
53.1674319,-6.1300161,2,Bohilla Lane (365),a
53.167455,-6.129781,2,Bohilla Lane (366),a
53.1674622,-6.140305,2,Glencap Road (382),a
53.1674637,-6.1298896,2,Bohilla Lane (140),a
53.1674884,-6.1331457,2,Bohilla Lane (268),a
53.1675015,-6.137702,2,Quill Road (165),a
53.167511,-6.1313664,2,Bohilla Lane (361),a
53.1675279,-6.1229074,2,Kilfenora Road (391),a
53.1675279,-6.1229074,2,Kilfenora Road (475),a
53.167548,-6.1330948,2,Bohilla Lane (269),a
53.1675661,-6.1400568,2,Glencap Road (383),a
53.1676068,-6.1377026,2,Quill Road (110),a
53.1676214,-6.1398543,2,Glencap Road (384),a
53.167631,-6.1329924,2,Bohilla Lane (270),a
53.1676336,-6.1377014,2,Quill Road (495),a
53.1676446,-6.1314877,2,Bohilla Lane (360),a
53.1676568,-6.1396662,2,Glencap Road (385),a
53.1676794,-6.1329055,2,Bohilla Lane (271),a
53.1676844,-6.1394243,2,Glencap Road (386),a
53.1677035,-6.1389262,2,Glencap Road (402),a
53.1677056,-6.1390465,2,Glencap Road (401),a
53.1677065,-6.1391503,2,Glencap Road (387),a
53.1677065,-6.1391503,2,Glencap Road (400),a
53.1677065,-6.1230125,2,Kilfenora Road (476),a
53.1677068,-6.1388016,2,Glencap Road (403),a
53.1677142,-6.1386441,2,Glencap Road (404),a
53.1677275,-6.1328039,2,Bohilla Lane (272),a
53.1677275,-6.1328039,2,Bohilla Lane (725),a
53.1677275,-6.1328039,2,Old Bohilla Lane (473),a
53.1677429,-6.1316291,2,Bohilla Lane (359),a
53.1677433,-6.1384489,2,Glencap Road (374),a
53.1677433,-6.1384489,2,Glencap Road (405),a
53.1677461,-6.1328585,2,Old Bohilla Lane (472),a
53.167747,-6.1230525,2,Kilfenora Road (477),a
53.1677691,-6.1376951,2,Quill Road (111),a
53.1677701,-6.132606,2,Bohilla Lane (375),a
53.1677702,-6.1230961,2,Kilfenora Road (478),a
53.1677854,-6.1381827,2,Glencap Road (375),a
53.1677915,-6.1329917,2,Old Bohilla Lane (471),a
53.167795,-6.1231624,2,Kilfenora Road (479),a
