lat,lon,sz,names,len_cat
51.4855973,4.7341524,2,Amsterdamstraat (750),a
51.4855973,4.7341524,2,Rietvelden (486),a
51.485632,4.7341669,2,Amsterdamstraat (596),a
51.485632,4.7341669,2,Rietvelden (272),a
51.485744,4.7342013,2,Rietvelden (349),a
51.485744,4.7342013,2,Treeport (744),a
51.4860163,4.7343286,2,Rietvelden (350),a
51.4860163,4.7343286,2,Treeport (745),a
51.4861806,4.7343952,2,Rietvelden (273),a
51.486212,4.7359883,2,Hazeldonk (684),a
51.4863269,4.7363143,2,De Mosten (167),a
51.4864489,4.734488,2,Rietvelden (481),a
51.4865231,4.7345137,2,Rietvelden (485),a
51.4867972,4.7346085,2,Rietvelden (274),a
51.4870029,4.7364301,2,Hazeldonk (455),a
51.4872783,4.7365795,2,Hazeldonk (456),a
51.4872867,4.734743,2,Rietvelden (457),a
51.48804,4.73701,2,Hazeldonk (677),a
51.48831,4.7350242,2,Rietvelden (275),a
51.4886154,4.7383947,2,Den Aart (153),a
51.4886154,4.7383947,2,Den Aart (154),a
51.4886776,4.7382683,2,Den Aart (837),a
51.4889977,4.7382929,2,Den Aart (152),a
51.4890268,4.7425973,2,Hazeldonk (593),a
51.4890268,4.7425973,2,Hazeldonk 6000 (326),a
51.4891445,4.7383504,2,Den Aart (836),a
51.4891924,4.7402499,2,Den Aart (150),a
51.4891924,4.7402499,2,Den Aart (155),a
51.4892034,4.73532,2,Rietvelden (484),a
51.4892373,4.7384711,2,Den Aart (835),a
51.4892376,4.7376845,2,Hazeldonk (670),a
51.4893669,4.735374,2,Rietvelden (483),a
51.4894376,4.7391437,2,Den Aart (151),a
51.4894376,4.7391437,2,Den Aart (151),a
51.4894843,4.7411608,2,Den Aart (156),a
51.4894843,4.7411608,2,Hazeldonk 6000 (818),a
51.4895511,4.7354351,2,Rietvelden (482),a
51.4896896,4.7420667,2,Hazeldonk 6000 (689),a
51.4897242,4.7449323,2,Hazeldonk (594),a
51.4897612,4.7355047,2,Rietvelden (276),a
51.4898296,4.7409,2,Hazeldonk 6000 (690),a
51.48984,4.74528,2,Hazeldonk (595),a
51.4898517,4.7380349,2,Hazeldonk (669),a
51.4898892,4.7453322,2,Hazeldonk (635),a
51.4899306,4.7408198,2,Hazeldonk 6000 (691),a
51.4899976,4.7430936,2,De Gouwene (577),a
51.4900015,4.7433073,2,De Gouwene (578),a
51.4900073,4.7454001,2,Hazeldonk (596),a
51.4900172,4.742905,2,De Gouwene (576),a
51.4900294,4.74345,2,De Gouwene (579),a
51.4900414,4.7417885,2,Hazeldonk 6000 (328),a
51.490044,4.742734,2,De Gouwene (575),a
51.4900552,4.7407439,2,Hazeldonk 6000 (342),a
51.4900813,4.7432194,2,De Gouwene (699),a
51.4900831,4.7430694,2,De Gouwene (559),a
51.490092,4.7436144,2,De Gouwene (580),a
51.4900954,4.7433481,2,De Gouwene (557),a
51.4901176,4.7407273,2,Hazeldonk 6000 (339),a
