lat,lon,sz,names,len_cat
-27.4974123,153.0303427,2,Railway Terrace (071),a
-27.4974123,153.0303427,2,Railway Terrace (687),a
-27.4974122,153.0318622,2,Laundry Drive (627),a
-27.4974122,153.0318622,2,Railway Road (664),a
-27.4974116,153.0538415,2,Old Cleveland Road (062),a
-27.4974099,153.0002702,2,Carmody Road (806),a
-27.4974042,153.0506609,2,Main Avenue (415),a
-27.4974042,153.0506609,2,Main Avenue (671),a
-27.4974025,153.005444,2,Munro Street (944),a
-27.4974025,153.005444,2,Munro Street (948),a
-27.4973912,153.0303479,2,Railway Terrace (688),a
-27.4973851,153.0376537,2,O'Keefe Street (776),a
-27.4973849,153.0382085,2,Carl Street (194),a
-27.4973697,153.0002608,2,Carmody Road (387),a
-27.4973697,153.0002608,2,Carmody Road (786),a
-27.4973689,153.0332118,2,Diamantina Road West (489),a
-27.4973676,153.0112752,2,Chancellors Place (794),a
-27.4973649,153.0540676,2,Old Cleveland Road (492),a
-27.4973645,153.0303546,2,Railway Terrace (463),a
-27.4973645,153.0303546,2,Rawnsley Street (086),a
-27.4973617,153.0369998,2,Wolseley Street (761),a
-27.4973611,153.0486196,2,Panitya Street (284),a
-27.4973611,153.0486196,2,Panitya Street (837),a
-27.4973608,153.0539136,2,Old Cleveland Road (821),a
-27.4973565,153.0110332,2,Chancellors Place (454),a
-27.4973467,153.0275852,2,Annerley Road (703),a
-27.4973467,153.0275852,2,Annerley Road (865),a
-27.4973396,153.0224463,2,T.J. Doyle Memorial Park Drive (512),a
-27.4973396,153.0224463,2,T.J. Doyle Memorial Park Drive (950),a
-27.4973394,153.0099953,2,Hood Street (746),a
-27.4973394,153.0099953,2,Services Road (295),a
-27.4973389,153.0370041,2,Wolseley Street (058),a
-27.4973328,153.0002576,2,Carmody Road (380),a
-27.4973328,153.0002576,2,Carmody Road (385),a
-27.497331,153.0272515,2,Gladstone Road (855),a
-27.4973268,153.0110643,2,Chancellors Place (787),a
-27.4973223,153.0506572,2,Main Avenue (191),a
-27.4973223,153.0506572,2,Main Avenue (665),a
-27.4973223,153.0506572,2,Sixth Avenue (102),a
-27.4973176,153.0507459,2,Sixth Avenue (844),a
-27.4973158,153.0099993,2,Hood Street (148),a
-27.4973158,153.0099993,2,Hood Street (747),a
-27.4973121,153.0112091,2,Chancellors Place (460),a
-27.49731,153.0240136,2,T.J. Doyle Memorial Park Drive (758),a
-27.4973025,152.9973384,2,Guilfoyle Street (489),a
-27.4973021,153.0111302,2,Chancellors Place (879),a
-27.4973013,153.0111636,2,Chancellors Place (459),a
-27.4973013,153.0111636,2,Chancellors Place (791),a
-27.4972932,153.0098253,2,Hood Street (751),a
-27.4972919,153.0376149,2,O'Keefe Street (795),a
-27.4972913,153.00768,2,Walcott Street (899),a
-27.4972877,153.0540212,2,Old Cleveland Road (935),a
-27.4972819,153.0538507,2,Fifth Avenue (377),a
-27.4972736,153.0162435,2,Campbell Place (221),a
-27.4972695,152.9999723,2,Carmody Road (379),a
-27.4972695,152.9999723,2,Carmody Road (381),a
-27.4972695,152.9999723,2,Carmody Road (780),a
-27.4972691,153.0332802,2,Diamantina Road West (488),a
-27.4972691,153.0332802,2,O'Keefe Service Drive (423),a
-27.4972691,153.0332802,2,O'Keefe Service Drive (635),a
-27.497262,153.0224037,2,T.J. Doyle Memorial Park Drive (514),a
-27.4972493,153.0095084,2,Hood Street (750),a
-27.4972441,153.0366955,2,O'Keefe Street (719),a
-27.4972384,152.9998324,2,Carmody Road (377),a
-27.4972384,152.9998324,2,Carmody Road (776),a
-27.4972344,153.0366291,2,O'Keefe Street (777),a
-27.4972334,153.0352202,2,Ipswich Road (009),a
-27.4972071,152.9974156,2,Carmody Road (350),a
-27.4972025,152.9973481,2,Carmody Road (349),a
-27.497198,152.9974645,2,Carmody Road (351),a
-27.497198,152.9974645,2,Carmody Road (552),a
-27.4971925,153.0239491,2,T.J. Doyle Memorial Park Drive (757),a
-27.4971884,153.0275354,2,Annerley Road (700),a
-27.4971884,153.0275354,2,Annerley Road (863),a
-27.4971844,152.9973035,2,Carmody Road (348),a
-27.4971794,153.0067855,2,Coldridge Street (801),a
-27.4971754,153.0089085,2,Hood Street (150),a
-27.4971742,153.0320714,2,Laundry Drive (628),a
-27.4971729,153.0162383,2,Campbell Place (254),a
-27.497145,153.0333372,2,Diamantina Road West (040),a
-27.497145,153.0333372,2,O'Keefe Service Drive (638),a
-27.4971395,153.0417462,2,Logan Road (117),a
-27.4971372,153.027015,2,Gladstone Road (630),a
-27.4971366,153.0472513,2,Lucy Street (796),a
-27.4971326,153.0223793,2,T.J. Doyle Memorial Park Drive (516),a
