lat,lon,sz,names,len_cat
49.1849604,-122.9883734,2,Fraser Park Drive (549),a
49.1849604,-122.9883734,2,Fraser Park Drive (549),a
49.1849628,-122.9884182,2,Fraser Park Drive (548),a
49.1849628,-122.9884182,2,Fraser Park Drive (548),a
49.1849672,-122.9883296,2,Fraser Park Drive (550),a
49.1849672,-122.9883296,2,Fraser Park Drive (550),a
49.1849758,-122.9884635,2,Fraser Park Drive (732),a
49.1849758,-122.9884635,2,Fraser Park Drive (732),a
49.1849826,-122.9882912,2,Fraser Park Drive (551),a
49.1849826,-122.9882912,2,Fraser Park Drive (551),a
49.1849981,-122.9884993,2,Fraser Park Drive (547),a
49.1849981,-122.9884993,2,Fraser Park Drive (547),a
49.1849981,-122.9884993,2,Fraser Park Drive (561),a
49.1849981,-122.9884993,2,Fraser Park Drive (561),a
49.185005,-122.988262,2,Fraser Park Drive (552),a
49.185005,-122.988262,2,Fraser Park Drive (552),a
49.1850322,-122.9882449,2,Fraser Park Drive (553),a
49.1850322,-122.9882449,2,Fraser Park Drive (553),a
49.1850615,-122.9882416,2,Fraser Park Drive (554),a
49.1850615,-122.9882416,2,Fraser Park Drive (554),a
49.1850901,-122.9882524,2,Fraser Park Drive (555),a
49.1850901,-122.9882524,2,Fraser Park Drive (555),a
49.1851151,-122.9882763,2,Fraser Park Drive (556),a
49.1851151,-122.9882763,2,Fraser Park Drive (556),a
49.1851274,-122.9883126,2,Fraser Park Drive (557),a
49.1851274,-122.9883126,2,Fraser Park Drive (557),a
49.1851334,-122.9885982,2,Fraser Park Drive (560),a
49.1851334,-122.9885982,2,Fraser Park Drive (560),a
49.1851354,-122.9885163,2,Fraser Park Drive (559),a
49.1851354,-122.9885163,2,Fraser Park Drive (559),a
49.1851425,-122.9883769,2,Fraser Park Drive (558),a
49.1851425,-122.9883769,2,Fraser Park Drive (558),a
49.1851531,-122.9887691,2,Fraser Park Drive (505),a
49.1851531,-122.9887691,2,Fraser Park Drive (505),a
49.1856905,-122.9897753,2,Fraser Park Drive (506),a
49.1856905,-122.9897753,2,Fraser Park Drive (506),a
49.1858351,-122.9736196,2,Fraser Reach Court (327),a
49.1858351,-122.9736196,2,Fraser Reach Court (327),a
49.1859584,-122.9902449,2,Fraser Park Drive (867),a
49.1859584,-122.9902449,2,Fraser Park Drive (867),a
49.1861318,-122.9905498,2,Fraser Park Drive (507),a
49.1861318,-122.9905498,2,Fraser Park Drive (507),a
49.1863147,-122.9908932,2,Fraser Park Drive (508),a
49.1865144,-122.9744995,2,Fraser Reach Court (462),a
49.1865144,-122.9744995,2,Fraser Reach Court (462),a
49.1866482,-122.979252,2,Riverbend Drive (350),a
49.1867356,-122.9791941,2,Riverbend Drive (352),a
49.1867744,-122.9917231,2,Fraser Park Drive (509),a
49.1867965,-122.9748443,2,Fraser Reach Court (547),a
49.1867965,-122.9748443,2,Fraser Reach Court (547),a
49.1868097,-122.9790592,2,Riverbend Drive (351),a
49.1868097,-122.9790592,2,Riverbend Drive (351),a
49.1869168,-122.9749695,2,Fraser Reach Court (548),a
49.1869168,-122.9749695,2,Fraser Reach Court (548),a
49.1870313,-122.975061,2,Fraser Reach Court (328),a
49.1870313,-122.975061,2,Fraser Reach Court (328),a
49.1871742,-122.9751642,2,Fraser Reach Court (546),a
49.1871742,-122.9751642,2,Fraser Reach Court (546),a
49.1872605,-122.9925888,2,Fraser Park Drive (510),a
49.1872929,-122.9926304,2,Fraser Park Drive (500),a
49.1873073,-122.9774806,2,Riverbend Drive (679),a
49.1873073,-122.9774806,2,Riverbend Drive (679),a
49.1873269,-122.9926672,2,Fraser Park Drive (511),a
49.1873324,-122.9709225,2,Wiggins Street (096),a
49.1873324,-122.9709225,2,Wiggins Street (096),a
49.1873719,-122.9926977,2,Fraser Park Drive (496),a
49.1873766,-122.9709758,2,Wiggins Street (678),a
49.1873766,-122.9709758,2,Wiggins Street (678),a
49.1873857,-122.9772474,2,Riverbend Drive (275),a
49.1873857,-122.9772474,2,Riverbend Drive (275),a
49.1874121,-122.9927123,2,Fraser Park Drive (512),a
49.1874237,-122.988418,2,Riverfront Gate (543),a
49.1874237,-122.988418,2,Riverfront Gate (543),a
49.1874491,-122.992721,2,Fraser Park Drive (497),a
49.1874846,-122.9927223,2,Fraser Park Drive (513),a
49.1875189,-122.9753537,2,Fraser Reach Court (751),a
49.1875189,-122.9753537,2,Fraser Reach Court (751),a
49.1875332,-122.9927206,2,Fraser Park Drive (514),a
49.1875637,-122.9885579,2,Riverfront Gate (546),a
49.1875637,-122.9885579,2,Riverfront Gate (546),a
49.1875739,-122.9927028,2,Fraser Park Drive (498),a
49.1876098,-122.9926825,2,Fraser Park Drive (515),a
49.1876544,-122.9926446,2,Fraser Park Drive (504),a
49.1876909,-122.9925988,2,Fraser Park Drive (499),a
49.1876957,-122.9754511,2,Fraser Reach Court (964),a
49.1876957,-122.9754511,2,Fraser Reach Court (964),a
49.1877156,-122.9925651,2,Fraser Park Drive (516),a
49.1877156,-122.9925651,2,Tillicum Street (086),a
49.1877495,-122.9756601,2,Riverbend Drive (586),a
49.1877495,-122.9756601,2,Riverbend Drive (586),a
49.1877837,-122.9889715,2,Riverfront Gate (548),a
49.1877837,-122.9889715,2,Riverfront Gate (548),a
49.1877873,-122.975514,2,Fraser Reach Court (329),a
49.1877873,-122.975514,2,Fraser Reach Court (329),a
49.1877873,-122.975514,2,Riverbend Drive (215),a
49.1877873,-122.975514,2,Riverbend Drive (215),a
49.1878218,-122.9753663,2,Riverbend Drive (587),a
49.1878218,-122.9753663,2,Riverbend Drive (587),a
49.1880043,-122.9745771,2,Riverbend Drive (276),a
49.1880043,-122.9745771,2,Riverbend Drive (276),a
49.1880074,-122.9920267,2,Tillicum Street (087),a
49.1881705,-122.9896989,2,Riverfront Gate (505),a
49.1881705,-122.9896989,2,Riverfront Gate (505),a
49.1882088,-122.9737572,2,Riverbend Drive (216),a
49.1882088,-122.9737572,2,Riverbend Drive (216),a
49.1882156,-122.9719961,2,Riverbend Drive (345),a
49.1882156,-122.9719961,2,Riverbend Drive (345),a
49.1882156,-122.9719961,2,Wiggins Street (169),a
49.1882156,-122.9719961,2,Wiggins Street (169),a
49.1883132,-122.9899102,2,Riverfront Gate (549),a
49.1883132,-122.9899102,2,Riverfront Gate (549),a
49.1883309,-122.9914289,2,Tillicum Street (650),a
49.1883309,-122.9914289,2,Tillicum Street (650),a
49.1883827,-122.9913362,2,Lowland Drive (174),a
49.1883827,-122.9913362,2,Lowland Drive (174),a
49.1883827,-122.9913362,2,Tillicum Street (089),a
49.1883827,-122.9913362,2,Tillicum Street (089),a
49.1884128,-122.9729112,2,Riverbend Drive (338),a
49.1884128,-122.9729112,2,Riverbend Drive (338),a
49.1884495,-122.99121,2,Tillicum Street (219),a
49.1884495,-122.99121,2,Tillicum Street (219),a
49.1884523,-122.991425,2,Lowland Drive (652),a
49.1884523,-122.991425,2,Lowland Drive (652),a
49.1884609,-122.9727445,2,Riverbend Drive (217),a
49.1884609,-122.9727445,2,Riverbend Drive (217),a
49.1884987,-122.991485,2,Lowland Drive (175),a
49.1885298,-122.9725979,2,Riverbend Drive (588),a
49.1885298,-122.9725979,2,Riverbend Drive (588),a
