lat,lon,sz,names,len_cat
36.4464339,-6.2388832,2,Eurovelo 8 (540),a
36.4465574,-6.2388809,2,Eurovelo 8 (533),a
36.4470471,-6.2382372,2,Eurovelo 8 (511),a
36.447209,-6.2379475,2,Eurovelo 8 (519),a
36.4478929,-6.2374567,2,Eurovelo 8 (512),a
36.4480547,-6.2356623,2,Eurovelo 8 (536),a
36.4480698,-6.2355416,2,Eurovelo 8 (515),a
36.4482889,-6.2371563,2,Eurovelo 8 (524),a
36.4484983,-6.2365529,2,Eurovelo 8 (537),a
36.4485251,-6.2345304,2,Eurovelo 8 (520),a
36.4491076,-6.2333931,2,Eurovelo 8 (521),a
36.4493099,-6.2324669,2,Eurovelo 8 (541),a
36.4493104,-6.2328084,2,Eurovelo 8 (530),a
36.449342,-6.2322815,2,Eurovelo 8 (542),a
36.4493751,-6.2321969,2,Eurovelo 8 (517),a
36.4494463,-6.2321217,2,Eurovelo 8 (516),a
36.4496211,-6.2322022,2,Eurovelo 8 (523),a
36.4502834,-6.2326367,2,Eurovelo 8 (522),a
36.4503656,-6.2326449,2,Eurovelo 8 (510),a
36.4504453,-6.2326528,2,Eurovelo 8 (527),a
36.4510558,-6.2326448,2,Eurovelo 8 (535),a
36.4513514,-6.2324302,2,Eurovelo 8 (534),a
36.4516707,-6.2320708,2,Eurovelo 8 (531),a
36.4520029,-6.2317248,2,Eurovelo 8 (514),a
36.4521799,-6.2314914,2,Eurovelo 8 (525),a
36.4526718,-6.2311052,2,Eurovelo 8 (518),a
36.4562552,-6.2305473,2,Eurovelo 8 (513),a
36.4583736,-6.230237,2,Carril de servicio vía de tren San Fernando-Cádiz (827),a
36.4584359,-6.230645,2,Carril de servicio vía de tren San Fernando-Cádiz (825),a
36.4588897,-6.2341133,2,Carril de servicio vía de tren San Fernando-Cádiz (828),a
36.459616,-6.2397089,2,Carril de servicio vía de tren San Fernando-Cádiz (834),a
36.459616,-6.2397089,2,Carril de servicio vía de tren San Fernando-Cádiz (834),a
36.4602207,-6.2443682,2,Carril de servicio vía de tren San Fernando-Cádiz (823),a
36.4603885,-6.2455448,2,Carril de servicio vía de tren San Fernando-Cádiz (824),a
36.4604375,-6.2458171,2,Carril de servicio vía de tren San Fernando-Cádiz (817),a
36.4605612,-6.2463847,2,Carril de servicio vía de tren San Fernando-Cádiz (832),a
36.4607132,-6.2469787,2,Carril de servicio vía de tren San Fernando-Cádiz (818),a
36.4608998,-6.2475649,2,Carril de servicio vía de tren San Fernando-Cádiz (833),a
36.4611075,-6.2481174,2,Carril de servicio vía de tren San Fernando-Cádiz (819),a
36.4613626,-6.2487155,2,Carril de servicio vía de tren San Fernando-Cádiz (831),a
36.4615933,-6.2491537,2,Carril de servicio vía de tren San Fernando-Cádiz (822),a
36.4618814,-6.2496637,2,Carril de servicio vía de tren San Fernando-Cádiz (830),a
36.4621721,-6.2501043,2,Carril de servicio vía de tren San Fernando-Cádiz (820),a
36.4624909,-6.2505342,2,Carril de servicio vía de tren San Fernando-Cádiz (829),a
36.462897,-6.2510216,2,Carril de servicio vía de tren San Fernando-Cádiz (821),a
36.463004,-6.2511574,2,Carril de servicio vía de tren San Fernando-Cádiz (826),a
36.463004,-6.2511574,2,Carril de servicio vía de tren San Fernando-Cádiz (826),a
