,lat,lon,sz,names,len_cat
0,52.2284099,0.1572708,2,Cambridge Commercial Park (061),a
1,52.2287204,0.1578969,2,Cambridge Commercial Park (069),a
2,52.228733,0.1579101,2,Cambridge Commercial Park (070),a
3,52.2284935,0.1574883,2,Cambridge Commercial Park (195),a
4,52.2284371,0.1573688,2,Cambridge Commercial Park (064),a
5,52.2285349,0.157576,2,Cambridge Commercial Park (065),a
6,52.2286275,0.1577722,2,Cambridge Commercial Park (067),a
7,52.229843,0.1590702,2,Cambridge Commercial Park (076),a
8,52.229217,0.158416,2,Cambridge Commercial Park (073),a
9,52.2300799,0.1593178,2,Cambridge Commercial Park (078),a
10,52.2296422,0.1588588,2,Cambridge Commercial Park (075),a
11,52.2286894,0.1578645,2,Cambridge Commercial Park (068),a
12,52.2293156,0.158519,2,Cambridge Commercial Park (074),a
13,52.2295853,0.157781,2,Cowley Road (717),a
14,52.2301962,0.1594394,2,Cambridge Commercial Park (079),a
15,52.2277227,0.1571401,2,Cowley Road (254),a
16,52.2312403,0.1594821,2,Cowley Road (237),a
17,52.2313063,0.1592935,2,Cowley Road (236),a
18,52.2312277,0.1595142,2,Cowley Road (238),a
19,52.2309308,0.1602734,2,Cowley Road (241),a
20,52.2290689,0.1582611,2,Cambridge Commercial Park (072),a
21,52.2314356,0.1589259,2,Cowley Road (234),a
22,52.2313698,0.1591149,2,Cowley Road (235),a
23,52.2298744,0.1580791,2,Cowley Road (718),a
24,52.2304763,0.1586997,2,Cowley Road (719),a
25,52.2300915,0.1583001,2,Cowley Road (720),a
26,52.2302113,0.1584209,2,Cowley Road (724),a
27,52.23031,0.1595583,2,Cambridge Commercial Park (080),a
28,52.2286151,0.157746,2,Cambridge Commercial Park (066),a
29,52.2283974,0.1571482,2,Cambridge Commercial Park (060),a
30,52.2300142,0.1592491,2,Cambridge Commercial Park (077),a
31,52.2309555,0.1602103,2,Cowley Road (240),a
32,52.2277227,0.1571401,2,Cowley Road (290),a
33,52.2284167,0.1572954,2,Cambridge Commercial Park (062),a
34,52.2289761,0.1571528,2,Cowley Road (722),a
35,52.2306562,0.1588909,2,Cowley Road (721),a
36,52.2310817,0.1598875,2,Cowley Road (239),a
37,52.228837,0.1580188,2,Cambridge Commercial Park (071),a
38,52.2284271,0.1573329,2,Cambridge Commercial Park (063),a
39,52.2281392,0.1504992,2,Nuffield Road (705),a
40,52.228522,0.1567466,2,Cambridge Commercial Park (193),a
41,52.2284636,0.1568917,2,Cambridge Commercial Park (194),a
42,52.230899,0.1509631,2,Orwell Furlong (830),a
43,52.2310835,0.1501496,2,Cowley Road (260),a
44,52.2312059,0.1499218,2,Cambridge Science Park (180),a
45,52.2284905,0.1468966,2,Milton Road (214),a
46,52.2274472,0.1454055,2,Milton Road (633),a
47,52.2285328,0.1494869,2,Nuffield Road (697),a
48,52.2272826,0.1520327,2,Nuffield Road (704),a
49,52.2277401,0.1512485,2,Nuffield Road (703),a
50,52.2269392,0.1460552,2,Green End Road (524),a
51,52.2269347,0.152649,2,Nuffield Road (694),a
52,52.2282579,0.1502069,2,Nuffield Road (701),a
53,52.2294263,0.1482391,2,Milton Road (024),a
54,52.2314006,0.1500269,2,Cambridge Science Park (011),a
55,52.2266655,0.1527455,2,Nuffield Road (691),a
56,52.2314125,0.150087,2,Milton Road (221),a
57,52.2266057,0.1526767,2,Nuffield Road (690),a
58,52.2281176,0.1463453,2,Milton Road (628),a
59,52.2282022,0.1464787,2,Milton Road (631),a
60,52.228038,0.1507191,2,Nuffield Road (698),a
61,52.2272557,0.1456438,2,Green End Road (523),a
62,52.2285397,0.1567027,2,Cowley Road (715),a
63,52.2255352,0.1477162,2,Green End Road (597),a
64,52.2312409,0.1504245,2,Cowley Park (878),a
65,52.2313664,0.1504695,2,Cowley Park (855),a
66,52.2325729,0.1516501,2,Cowley Park (883),a
67,52.22619,0.1531186,2,Discovery Way (712),a
68,52.2261082,0.1533487,2,Discovery Way (716),a
69,52.2257306,0.1536679,2,Discovery Way (720),a
70,52.2304843,0.1495238,2,Milton Road (948),a
71,52.2278055,0.1482649,2,Gainsborough Close (233),a
72,52.2267396,0.1527747,2,Nuffield Road (689),a
73,52.2305611,0.1497886,2,Milton Road (951),a
74,52.2311976,0.1504658,2,Cowley Road (255),a
75,52.2332598,0.1528107,2,Cowley Road (248),a
76,52.2277227,0.1571401,2,Cowley Road (254),a
77,52.231795,0.1502248,2,Milton Road (837),a
78,52.2254222,0.1543305,2,Discovery Way (722),a
79,52.2256933,0.1534656,2,Discovery Way (732),a
80,52.2257023,0.1534368,2,Discovery Way (733),a
81,52.2261844,0.1530589,2,Discovery Way (740),a
82,52.2258597,0.1537501,2,Discovery Way (741),a
83,52.2275704,0.1487304,2,Green Park (995),a
84,52.2275704,0.1487304,2,Maitland Avenue (244),a
85,52.2315864,0.1501243,2,Milton Road (836),a
86,52.22632,0.1459762,2,Scarsdale Close (854),a
87,52.2262016,0.1458907,2,Scarsdale Close (859),a
88,52.2260891,0.1529505,2,Discovery Way (739),a
89,52.2259078,0.1496687,2,Mortlock Avenue (627),a
90,52.2262739,0.1458987,2,Scarsdale Close (855),a
91,52.2262353,0.1458813,2,Scarsdale Close (857),a
92,52.226107,0.1451324,2,Cook Close (134),a
93,52.2309836,0.1511264,2,Orwell Furlong (829),a
94,52.2346429,0.15407,2,Cowley Road (244),a
95,52.2343484,0.1538024,2,Cowley Road (245),a
96,52.2325057,0.1519853,2,Cowley Road (251),a
97,52.2311135,0.1505791,2,Cowley Road (256),a
98,52.2311135,0.1505791,2,Cowley Road (257),a
99,52.230899,0.1509631,2,Cowley Road (263),a
100,52.2281747,0.1562513,2,Cowley Road (291),a
101,52.2322789,0.1517883,2,Cowley Park (864),a
102,52.2324591,0.151823,2,Cowley Park (882),a
103,52.2320132,0.1503232,2,Milton Road (842),a
104,52.2317733,0.1521066,2,Orwell Furlong (826),a
105,52.2335196,0.1530534,2,Cowley Road (247),a
106,52.2325789,0.1521429,2,Cowley Road (250),a
107,52.2308323,0.1510743,2,Cowley Road (264),a
108,52.2285966,0.1553158,2,Cowley Road (271),a
109,52.2282344,0.1464224,2,Lovell Road (779),a
110,52.2255785,0.1476787,2,Green End Road (587),a
111,52.2263222,0.1468932,2,Green End Road (595),a
112,52.2317681,0.1503311,2,Milton Road (216),a
113,52.2274472,0.1454055,2,Kings Hedges Road (844),a
114,52.2258591,0.1538569,2,Discovery Way (742),a
115,52.2292158,0.154014,2,Cowley Road (269),a
116,52.2284102,0.1570242,2,Cambridge Commercial Park (059),a
117,52.2314201,0.1502541,2,Milton Road (630),a
118,52.2304572,0.1494634,2,Milton Road (947),a
119,52.2254956,0.1509313,2,Nuffield Road (133),a
120,52.2291442,0.1520508,2,Cowley Park Road (025),a
121,52.2264812,0.1525693,2,Discovery Way (708),a
122,52.2314006,0.1500269,2,Cambridge Science Park (010),a
123,52.2274472,0.1454055,2,Green End Road (521),a
124,52.2283349,0.1500127,2,Nuffield Road (696),a
125,52.2281809,0.1504085,2,Nuffield Road (699),a
126,52.2313774,0.150014,2,Milton Road (626),a
127,52.226852,0.1527472,2,Nuffield Road (693),a
128,52.2275517,0.151556,2,Nuffield Road (695),a
129,52.2287845,0.1569552,2,Cowley Road (723),a
130,52.2275699,0.1455798,2,Milton Road (629),a
131,52.2289761,0.1571528,2,Cowley Road (722),a
132,52.2296708,0.1485588,2,Milton Road (797),a
133,52.2304847,0.1496044,2,Milton Road (838),a
134,52.2304262,0.1497414,2,Cambridge Park (797),a
135,52.2306005,0.1498041,2,Milton Road (950),a
136,52.2303829,0.1494955,2,Milton Road (883),a
137,52.2304194,0.1496126,2,Cambridge Park (944),a
138,52.2271188,0.1523229,2,Nuffield Road (700),a
139,52.231327,0.1501279,2,Cambridge Science Park (880),a
140,52.2308547,0.149939,2,Milton Road (821),a
141,52.2304801,0.1493801,2,Milton Road (806),a
142,52.2298828,0.1488326,2,Milton Road (798),a
143,52.2301745,0.1490947,2,Milton Road (804),a
144,52.2304847,0.1496044,2,Cambridge Park (795),a
145,52.226504,0.1525316,2,Nuffield Road (142),a
146,52.2310351,0.150051,2,Milton Road (827),a
147,52.2320667,0.1514831,2,Orwell Furlong (824),a
148,52.2312719,0.1504088,2,Cowley Park (858),a
149,52.2280576,0.1488105,2,Gainsborough Close (219),a
150,52.2302914,0.1499975,2,Cowley Park Road (011),a
151,52.2301525,0.1502925,2,Cowley Park Road (013),a
152,52.2301217,0.1503438,2,Cowley Park Road (016),a
153,52.2300427,0.1505143,2,Cowley Park Road (017),a
154,52.2296748,0.1511497,2,Cowley Park Road (020),a
155,52.2296443,0.1511915,2,Cowley Park Road (021),a
156,52.2282317,0.1539343,2,Cowley Park Road (028),a
157,52.2279296,0.1545531,2,Cowley Park Road (030),a
158,52.2280303,0.1488598,2,Gainsborough Close (215),a
159,52.2279601,0.1485052,2,Gainsborough Close (229),a
160,52.227637,0.1451289,2,Kings Hedges Road (845),a
161,52.2280703,0.1487642,2,Gainsborough Close (221),a
162,52.2311893,0.1499144,2,Milton Road (817),a
163,52.2292373,0.1518561,2,Cowley Park Road (024),a
164,52.2256513,0.1536267,2,Discovery Way (729),a
165,52.2254309,0.1539153,2,Discovery Way (725),a
166,52.2314482,0.150144,2,Milton Road (219),a
167,52.2268062,0.1462289,2,Green End Road (022),a
168,52.230975,0.1497892,2,Milton Road (814),a
169,52.2311976,0.1504658,2,Cowley Park (880),a
170,52.2303692,0.1498676,2,Cowley Park Road (008),a
171,52.2299499,0.1507172,2,Cowley Park Road (019),a
172,52.2280526,0.1542938,2,Cowley Park Road (029),a
173,52.2320667,0.1514831,2,Cowley Park (861),a
174,52.2299745,0.1506614,2,Cowley Park Road (018),a
175,52.2280509,0.1485972,2,Gainsborough Close (227),a
176,52.2326747,0.1512852,2,Cowley Park (885),a
177,52.2263355,0.1468818,2,Green Park (988),a
178,52.2285847,0.1457714,2,Lovell Road (778),a
179,52.227859,0.148348,2,Gainsborough Close (231),a
180,52.2278497,0.1547402,2,Cowley Park Road (031),a
181,52.2296152,0.1484844,2,Milton Road (795),a
182,52.2263907,0.1469718,2,Green Park (991),a
183,52.2303692,0.1498676,2,Milton Road (954),a
184,52.2260513,0.1472049,2,Green End Road (593),a
185,52.2284905,0.1468966,2,Milton Road (156),a
186,52.228047,0.1506995,2,Nuffield Road (702),a
187,52.2258423,0.1514824,2,Nuffield Road (136),a
188,52.2302633,0.1493678,2,Milton Road (839),a
189,52.2312958,0.1504155,2,Cowley Park (857),a
190,52.2304037,0.1497925,2,Cambridge Park (798),a
191,52.2303692,0.1498676,2,Cambridge Park (799),a
192,52.2283561,0.1564731,2,Cowley Road (716),a
193,52.2304847,0.1496044,2,Milton Road (823),a
194,52.2309455,0.1500061,2,Milton Road (828),a
195,52.227488,0.1478411,2,Gainsborough Close (236),a
196,52.2311942,0.1501415,2,Milton Road (825),a
197,52.2308547,0.149939,2,Milton Road (829),a
198,52.2268062,0.1462289,2,Green End Road (072),a
199,52.230787,0.1499261,2,Milton Road (949),a
200,52.2326747,0.1512852,2,Milton Road (955),a
201,52.2310351,0.150051,2,Cowley Road (261),a
202,52.2315064,0.1496948,2,Cambridge Science Park (956),a
203,52.2262365,0.1520811,2,Nuffield Road (515),a
204,52.2304847,0.1496044,2,Cambridge Park (794),a
205,52.230783,0.1496491,2,Milton Road (812),a
206,52.2306639,0.1495406,2,Milton Road (810),a
207,52.2314906,0.1497289,2,Cambridge Science Park (183),a
208,52.2314906,0.1497289,2,Cambridge Science Park (174),a
209,52.2312897,0.1499019,2,Cambridge Science Park (181),a
210,52.2296152,0.1484844,2,Milton Road (796),a
211,52.2302407,0.1492247,2,Milton Road (946),a
212,52.2304843,0.14979,2,Milton Road (952),a
213,52.2303829,0.1494955,2,Cambridge Park (945),a
214,52.2305507,0.1496624,2,Milton Road (822),a
215,52.2311261,0.150298,2,Cowley Road (258),a
216,52.2314906,0.1497289,2,Cambridge Science Park (653),a
217,52.2314006,0.1500269,2,Milton Road (835),a
218,52.2320024,0.1504773,2,Milton Road (832),a
219,52.2305792,0.1494709,2,Milton Road (808),a
220,52.2313767,0.1498442,2,Cambridge Science Park (182),a
221,52.2326747,0.1512852,2,Cowley Park (874),a
222,52.2289269,0.1524976,2,Cowley Park Road (026),a
223,52.231681,0.1509194,2,Cowley Park (850),a
224,52.2304488,0.1498093,2,Milton Road (953),a
225,52.2312719,0.1504088,2,Cowley Park (877),a
226,52.2280715,0.1486524,2,Gainsborough Close (225),a
227,52.2283974,0.1571482,2,Cambridge Commercial Park (060),a
228,52.2312059,0.1499218,2,Milton Road (818),a
229,52.231251,0.150164,2,Milton Road (397),a
230,52.2305792,0.1494709,2,Cambridge Park (793),a
231,52.2274472,0.1454055,2,Milton Road (627),a
232,52.2271914,0.1457194,2,Green End Road (522),a
233,52.227324,0.145251,2,Milton Road (634),a
234,52.2287336,0.1472488,2,Milton Road (792),a
235,52.2280577,0.1522855,2,Nuffield Close (392),a
236,52.231681,0.1509194,2,Cowley Park (859),a
237,52.2321761,0.1516404,2,Cowley Park (862),a
238,52.232324,0.1505834,2,Milton Road (831),a
239,52.2282022,0.1464787,2,Lovell Road (780),a
240,52.2280788,0.1487087,2,Gainsborough Close (223),a
241,52.2301217,0.1503438,2,Cowley Park Road (015),a
242,52.2287581,0.1528558,2,Cowley Park Road (027),a
243,52.2261918,0.1531756,2,Discovery Way (713),a
244,52.225842,0.1537395,2,Discovery Way (719),a
245,52.228774,0.1473037,2,Milton Road (793),a
246,52.227311,0.1452301,2,Milton Road (164),a
247,52.2309554,0.1510721,2,Orwell Furlong (192),a
248,52.2293328,0.1516565,2,Cowley Park Road (023),a
249,52.2355091,0.1549011,2,Cowley Road (242),a
250,52.2255394,0.1490188,2,The Mews (141),a
251,52.2259829,0.1529634,2,Discovery Way (736),a
252,52.2265249,0.1471605,2,Green Park (993),a
253,52.2262563,0.1458861,2,Scarsdale Close (856),a
254,52.2261694,0.1459215,2,Scarsdale Close (860),a
255,52.2260356,0.1460762,2,Scarsdale Close (861),a
256,52.2277887,0.1490611,2,Green Park (996),a
257,52.2258612,0.1531549,2,Discovery Way (735),a
258,52.2280303,0.1488598,2,Green Park (001),a
259,52.2263106,0.15082,2,Maitland Avenue (246),a
260,52.2262167,0.1458852,2,Scarsdale Close (858),a
261,52.2261812,0.1532253,2,Discovery Way (714),a
262,52.2257318,0.1533767,2,Discovery Way (734),a
263,52.2311209,0.1513436,2,Orwell Furlong (827),a
264,52.2353776,0.1547749,2,Cowley Road (243),a
265,52.2330989,0.1526546,2,Cowley Road (249),a
266,52.2311115,0.1502286,2,Cowley Road (259),a
267,52.226609,0.1464878,2,Green End Road (599),a
268,52.2256415,0.1536533,2,Discovery Way (728),a
269,52.226609,0.1464878,2,Scarsdale Close (852),a
270,52.2278817,0.1490722,2,Green Park (999),a
271,52.2255587,0.1537292,2,Discovery Way (727),a
272,52.226472,0.1505524,2,Maitland Avenue (245),a
273,52.2255819,0.1502432,2,Mortlock Avenue (629),a
274,52.2324591,0.151823,2,Cowley Road (285),a
275,52.2277164,0.1517935,2,Nuffield Close (391),a
276,52.22546,0.1521502,2,Pippin Drive (623),a
277,52.2269998,0.147879,2,Mortlock Avenue (626),a
278,52.2302735,0.1520381,2,Cowley Road (267),a
279,52.2299584,0.1525442,2,Cowley Road (268),a
280,52.2281747,0.1562513,2,Cowley Road (272),a
281,52.2311135,0.1505791,2,Cowley Road (262),a
282,52.2255163,0.1544827,2,Discovery Way (721),a
283,52.2258423,0.1514824,2,Pippin Drive (621),a
284,52.2260475,0.1529313,2,Discovery Way (738),a
285,52.2286846,0.1551206,2,Cowley Road (270),a
286,52.2258788,0.153736,2,Discovery Way (717),a
287,52.2282179,0.1519769,2,Nuffield Close (320),a
288,52.2263767,0.1527452,2,Discovery Way (710),a
289,52.2258597,0.1537501,2,Discovery Way (718),a
290,52.2261844,0.1530589,2,Discovery Way (711),a
291,52.2261477,0.1532819,2,Discovery Way (715),a
292,52.2276542,0.148063,2,Gainsborough Close (672),a
293,52.2310555,0.1512524,2,Orwell Furlong (828),a
294,52.230684,0.1513434,2,Cowley Road (265),a
295,52.2305366,0.1516108,2,Cowley Road (266),a
296,52.2277227,0.1571401,2,Cowley Road (290),a
297,52.231795,0.1502248,2,Milton Road (841),a
298,52.2260127,0.1529373,2,Discovery Way (737),a
299,52.2279278,0.149045,2,Green Park (000),a
300,52.2258009,0.1498677,2,Mortlock Avenue (628),a
301,52.2285397,0.1567027,2,Cambridge Commercial Park (058),a
302,52.2325057,0.1519853,2,Cowley Road (284),a
303,52.2275517,0.151556,2,Nuffield Close (390),a
304,52.2254918,0.1538139,2,Discovery Way (726),a
305,52.2256635,0.1535937,2,Discovery Way (730),a
306,52.2256774,0.1535166,2,Discovery Way (731),a
307,52.2256039,0.1518989,2,Pippin Drive (622),a
308,52.2278134,0.1490748,2,Green Park (997),a
309,52.2278397,0.1490762,2,Green Park (998),a
310,52.2265935,0.1464604,2,Scarsdale Close (853),a
311,52.2320111,0.1515769,2,Orwell Furlong (825),a
312,52.2340506,0.1535443,2,Cowley Road (246),a
313,52.2269998,0.147879,2,Green Park (994),a
314,52.2311586,0.1498985,2,Milton Road (816),a
315,52.2253972,0.1522287,2,Pippin Drive (624),a
316,52.2324591,0.151823,2,Cowley Park (868),a
317,52.231251,0.150164,2,Cambridge Science Park (881),a
318,52.2314547,0.1505932,2,Cowley Park (920),a
319,52.2267396,0.1527747,2,Nuffield Road (692),a
320,52.226504,0.1525316,2,Discovery Way (707),a
321,52.2271568,0.1522555,2,Nuffield Road (706),a
322,52.2290605,0.1477113,2,Milton Road (794),a
323,52.2281176,0.1463453,2,Milton Road (632),a
324,52.2263355,0.1468818,2,Green End Road (597),a
325,52.2315081,0.1502024,2,Milton Road (217),a
326,52.2257649,0.1475055,2,Green End Road (591),a
327,52.2323732,0.151845,2,Cowley Park (866),a
328,52.2255693,0.1491319,2,The Mews (140),a
329,52.2294452,0.1514688,2,Cowley Park Road (022),a
330,52.2256524,0.1361331,2,George Nuttall Close (865),a
331,52.2284696,0.1350954,2,Kent Way (933),a
332,52.2308812,0.1374357,2,Wiles Close (384),a
333,52.2263375,0.1339821,2,Haviland Way (773),a
334,52.2313405,0.1395646,2,Kings Hedges Road (897),a
335,52.2256885,0.1370068,2,Gladeside (704),a
336,52.2255483,0.1372703,2,Gladeside (713),a
337,52.2259263,0.1366195,2,Gladeside (718),a
338,52.2291065,0.1363784,2,Morello Place (013),a
339,52.2291597,0.1375276,2,Campkin Road (706),a
340,52.2295697,0.141946,2,Campkin Road (726),a
341,52.2263905,0.1398415,2,Hopkins Close (580),a
342,52.2265575,0.1394556,2,Moore Close (928),a
343,52.2266353,0.1397027,2,Moore Close (926),a
344,52.2307265,0.1377785,2,Wiles Close (387),a
345,52.2274241,0.138637,2,Stott Gardens (406),a
346,52.2273491,0.1385531,2,Stott Gardens (404),a
347,52.2273246,0.1385442,2,Stott Gardens (403),a
348,52.2299559,0.1403374,2,Apthorpe Way (813),a
349,52.2283268,0.1353617,2,Kent Way (934),a
350,52.2262693,0.1404046,2,Hopkins Close (935),a
351,52.2263068,0.1404693,2,Hopkins Close (936),a
352,52.2308874,0.1387962,2,St Kilda Avenue (941),a
353,52.2296674,0.1339661,2,Campkin Road (749),a
354,52.2279886,0.14099,2,Ramsden Square (591),a
355,52.2312855,0.1394716,2,St Kilda Avenue (597),a
356,52.2261959,0.1371018,2,George Nuttall Close (879),a
357,52.2263026,0.1371388,2,George Nuttall Close (885),a
358,52.2265419,0.1367778,2,George Nuttall Close (894),a
359,52.2265715,0.1367296,2,George Nuttall Close (896),a
360,52.2266852,0.1419086,2,Ramsden Square (702),a
361,52.2260678,0.1398798,2,Woodhead Drive (793),a
362,52.2267286,0.1358443,2,Hawkins Road (015),a
