lat,lon,sz,names,len_cat
53.3018049,-6.2972165,2,Bushy Park House (969),a
53.3018049,-6.2972165,2,Templeogue Road (727),a
53.3022405,-6.2977741,2,Hyde Park (161),a
53.302311,-6.2964972,2,Templeogue Road (738),a
53.302311,-6.2964972,2,Templeogue Road (738),a
53.3028428,-6.2981591,2,Fortfield Drive (873),a
53.3028619,-6.291503,2,Rathdown Avenue (421),a
53.3028674,-6.2911785,2,Rathdown Avenue (420),a
53.302887,-6.2918597,2,Rathdown Avenue (422),a
53.3029002,-6.2908943,2,Rathdown Avenue (419),a
53.3029391,-6.2921018,2,Rathdown Avenue (423),a
53.3029762,-6.2922075,2,Rathdown Avenue (144),a
53.3029998,-6.2922639,2,Rathdown Avenue (143),a
53.3030508,-6.2923753,2,Rathdown Avenue (425),a
53.3030508,-6.2923753,2,Rathdown Park (140),a
53.3030932,-6.2924872,2,Rathdown Avenue (145),a
53.3031068,-6.2925334,2,Rathdown Avenue (146),a
53.3031162,-6.2900081,2,Rathdown Avenue (418),a
53.3031309,-6.2922873,2,Rathdown Park (141),a
53.3031453,-6.2926079,2,Rathdown Avenue (147),a
53.3031856,-6.292218,2,Rathdown Park (142),a
53.3033348,-6.2929177,2,Rathdown Avenue (148),a
53.3033588,-6.2893488,2,Rathdown Avenue (192),a
53.3034173,-6.2891898,2,Rathdown Avenue (417),a
53.3035012,-6.289019,2,Rathdown Avenue (191),a
53.3035469,-6.2889258,2,Rathdown Avenue (416),a
53.303616,-6.2991728,2,Fortfield Park (416),a
53.3036216,-6.288798,2,Rathdown Avenue (190),a
53.3036779,-6.2887018,2,Rathdown Avenue (189),a
53.3037308,-6.2886114,2,Rathdown Avenue (415),a
53.3037436,-6.291287,2,Rathdown Park (185),a
53.3037534,-6.2940942,2,Templeogue Road (739),a
53.3037534,-6.2940942,2,Templeogue Road (739),a
53.3037586,-6.2936361,2,Rathdown Avenue (426),a
53.3037586,-6.2936361,2,Rathdown Avenue (426),a
53.3037586,-6.2936361,2,Rathdown Drive (223),a
53.3037586,-6.2936361,2,Rathdown Drive (223),a
53.3038027,-6.2940041,2,Templeogue Road (759),a
53.3038027,-6.2940041,2,Templeogue Road (759),a
53.3038063,-6.2885111,2,Rathdown Avenue (188),a
53.3038279,-6.2939579,2,Templeogue Road (923),a
53.3038279,-6.2939579,2,Templeogue Road (923),a
53.3038413,-6.2937915,2,Rathdown Avenue (427),a
53.3038413,-6.2937915,2,Rathdown Avenue (427),a
53.3038522,-6.2938113,2,Rathdown Avenue (626),a
53.3038522,-6.2938113,2,Rathdown Avenue (626),a
53.3038709,-6.2884254,2,Rathdown Avenue (414),a
53.3038826,-6.2938673,2,Rathdown Avenue (428),a
53.3038826,-6.2938673,2,Rathdown Avenue (428),a
53.3038826,-6.2938673,2,Templeogue Road (924),a
53.3038826,-6.2938673,2,Templeogue Road (924),a
53.3039248,-6.2883705,2,Rathdown Avenue (187),a
53.303933,-6.2937809,2,Templeogue Road (758),a
53.303933,-6.2937809,2,Templeogue Road (758),a
53.3039632,-6.2883314,2,Rathdown Avenue (186),a
