lat,lon,sz,names,len_cat
53.2514951,-9.1281162,2,Silver Strand (250),a
53.2515045,-9.1281526,2,Silver Strand (251),a
53.2553756,-9.0545805,2,Martin Connolly Causeway (068),a
53.2554116,-9.0545895,2,Martin Connolly Causeway (599),a
53.2568963,-9.111481,2,Blakes Hill (232),a
53.2568963,-9.111481,2,Blakes Hill (232),a
53.2570396,-9.111359,2,Blakes Hill (235),a
53.2570396,-9.111359,2,Blakes Hill (235),a
53.2570458,-9.1328995,2,Barna Road (293),a
53.2571999,-9.1112349,2,Blakes Hill (237),a
53.2571999,-9.1112349,2,Blakes Hill (237),a
53.2572941,-9.1327891,2,Barna Road (156),a
53.2573439,-9.1111355,2,Blakes Hill (238),a
53.2573439,-9.1111355,2,Blakes Hill (238),a
53.2573645,-9.0920132,2,Upper Salthill Road (467),a
53.2573659,-9.0919133,2,Upper Salthill Road (468),a
53.2573691,-9.0916753,2,Upper Salthill Road (469),a
53.2573717,-9.0921779,2,Upper Salthill Road (904),a
53.2573817,-9.0911042,2,Upper Salthill Road (906),a
53.2573893,-9.0909569,2,Upper Salthill Road (249),a
53.2574001,-9.0908948,2,Upper Salthill Road (907),a
53.2574025,-9.0924504,2,Upper Salthill Road (192),a
53.2574037,-9.0906323,2,Upper Salthill Road (897),a
53.2574059,-9.0905096,2,Upper Salthill Road (909),a
53.257411,-9.0906904,2,Upper Salthill Road (899),a
53.2574121,-9.09039,2,Upper Salthill Road (908),a
53.2574355,-9.0907726,2,Threadneedle Road (544),a
53.2574355,-9.0907726,2,Upper Salthill Road (145),a
53.2574355,-9.0907726,2,Upper Salthill Road (908),a
53.2574557,-9.1326959,2,Barna Road (295),a
53.2574653,-9.0928377,2,Upper Salthill Road (903),a
53.257466,-9.0897942,2,Upper Salthill Road (894),a
53.2575119,-9.1110251,2,Blakes Hill (240),a
53.2575119,-9.1110251,2,Blakes Hill (240),a
53.2575178,-9.0907911,2,Threadneedle Road (545),a
53.2575439,-9.0907915,2,Threadneedle Road (546),a
53.2575529,-9.0907906,2,Threadneedle Road (193),a
53.2575539,-9.1109951,2,Blakes Hill (241),a
53.2575539,-9.1109951,2,Blakes Hill (241),a
