lat,lon,sz,names,len_cat,street,street_nodes,street_id,node_id,source_city,source_city_id
44.317503,-76.1841801,2,Stone's Creek Lane (489),a,Stone's Creek Lane,1,11393870,221448489,Gananoque,132393
44.3203488,-76.1771269,2,Windsor Lane (816),a,Windsor Lane,18,11393873,221448816,Gananoque,132393
44.3204211,-76.1771033,2,Windsor Lane (817),a,Windsor Lane,18,11393873,221448817,Gananoque,132393
44.3205935,-76.1769688,2,Windsor Lane (818),a,Windsor Lane,18,11393873,221448818,Gananoque,132393
44.320722,-76.1767331,2,Windsor Lane (819),a,Windsor Lane,18,11393873,221448819,Gananoque,132393
44.3208515,-76.1763971,2,Windsor Lane (820),a,Windsor Lane,18,11393873,221448820,Gananoque,132393
44.3209339,-76.1762608,2,Windsor Lane (821),a,Windsor Lane,18,11393873,221448821,Gananoque,132393
44.3211881,-76.1760527,2,Windsor Lane (822),a,Windsor Lane,18,11393873,221448822,Gananoque,132393
44.3212965,-76.1759487,2,Windsor Lane (292),a,Windsor Lane,18,11393873,362776292,Gananoque,132393
44.3218792,-76.1753893,2,Windsor Lane (823),a,Windsor Lane,18,11393873,221448823,Gananoque,132393
44.3220863,-76.1751389,2,Windsor Lane (293),a,Windsor Lane,18,11393873,362776293,Gananoque,132393
44.3221344,-76.1750808,2,Windsor Lane (824),a,Windsor Lane,18,11393873,221448824,Gananoque,132393
44.322285,-76.1747724,2,Windsor Lane (294),a,Windsor Lane,18,11393873,362776294,Gananoque,132393
44.3224195,-76.1744971,2,Windsor Lane (825),a,Windsor Lane,18,11393873,221448825,Gananoque,132393
44.3224429,-76.1744378,2,Windsor Lane (295),a,Windsor Lane,18,11393873,362776295,Gananoque,132393
44.3226599,-76.1738874,2,Windsor Lane (826),a,Windsor Lane,18,11393873,221448826,Gananoque,132393
44.322742,-76.1737762,2,Windsor Lane (827),a,Windsor Lane,18,11393873,221448827,Gananoque,132393
44.3228417,-76.1737154,2,Windsor Lane (828),a,Windsor Lane,18,11393873,221448828,Gananoque,132393
44.3230487,-76.1737196,2,Windsor Lane (829),a,Windsor Lane,18,11393873,221448829,Gananoque,132393
44.3230487,-76.1737196,2,Windsor Street (129),a,Windsor Street,5,11393878,221449129,Gananoque,132393
44.3230487,-76.1737196,2,Maple Street South (361),a,Maple Street South,6,11393883,221449361,Gananoque,132393
44.323116,-76.1730495,2,Windsor Street (296),a,Windsor Street,5,11393878,362776296,Gananoque,132393
44.3231208,-76.1730013,2,Windsor Street (128),a,Windsor Street,5,11393878,221449128,Gananoque,132393
44.3231208,-76.1730013,2,Windsor Street (130),a,Windsor Street,5,11393878,221449130,Gananoque,132393
44.3231208,-76.1730013,2,Osborne Street (612),a,Osborne Street,3,11393887,221449612,Gananoque,132393
44.3231263,-76.172304,2,Windsor Street (127),a,Windsor Street,5,11393878,221449127,Gananoque,132393
44.323333,-76.1626515,2,Water Street West (679),a,Water Street West,22,11393900,221450679,Gananoque,132393
44.323333,-76.1626515,2,Kate Street (467),a,Kate Street,6,11393918,221452467,Gananoque,132393
44.3233377,-76.1627053,2,Kate Street (469),a,Kate Street,6,11393918,221452469,Gananoque,132393
44.3233445,-76.172973,2,Osborne Street (613),a,Osborne Street,3,11393887,221449613,Gananoque,132393
44.3233541,-76.1625909,2,Water Street West (395),a,Water Street West,22,11393900,507085395,Gananoque,132393
44.3233629,-76.183897,2,County Road 2 (759),a,County Road 2,5,11393919,221452759,Gananoque,132393
44.3233629,-76.183897,2,County Road 2 (760),a,County Road 2,5,11393919,221452760,Gananoque,132393
44.3233735,-76.1627765,2,Kate Street (470),a,Kate Street,6,11393918,221452470,Gananoque,132393
44.3233939,-76.1625326,2,Water Street West (678),a,Water Street West,22,11393900,221450678,Gananoque,132393
44.323611,-76.1671718,2,Bay Road (838),a,Bay Road,19,11393905,470338838,Gananoque,132393
44.3236358,-76.1673855,2,Bay Road (830),a,Bay Road,19,11393905,470338830,Gananoque,132393
44.3236511,-76.1667712,2,Bay Road (834),a,Bay Road,19,11393905,470338834,Gananoque,132393
44.3237127,-76.1633211,2,Kate Street (409),a,Kate Street,6,11393918,507085409,Gananoque,132393
44.3237299,-76.1633486,2,Kate Street (473),a,Kate Street,6,11393918,221452473,Gananoque,132393
44.3237455,-76.1663467,2,Bay Road (833),a,Bay Road,19,11393905,470338833,Gananoque,132393
44.3237533,-76.1829842,2,County Road 2 (414),a,County Road 2,5,11393919,318634414,Gananoque,132393
44.3237578,-76.1633747,2,St. Lawrence Street (896),a,St. Lawrence Street,12,11393874,221448896,Gananoque,132393
44.3237578,-76.1633747,2,Kate Street (475),a,Kate Street,6,11393918,221452475,Gananoque,132393
44.3237939,-76.1633629,2,St. Lawrence Street (897),a,St. Lawrence Street,12,11393874,221448897,Gananoque,132393
44.3238193,-76.1661726,2,Bay Road (831),a,Bay Road,19,11393905,470338831,Gananoque,132393
44.3238453,-76.1633008,2,St. Lawrence Street (898),a,St. Lawrence Street,12,11393874,221448898,Gananoque,132393
44.323907,-76.1760568,2,Hillside Drive (525),a,Hillside Drive,3,11393886,221449525,Gananoque,132393
44.3239123,-76.1619035,2,Water Street West (673),a,Water Street West,22,11393900,221450673,Gananoque,132393
44.3239123,-76.1619035,2,Water Street West (677),a,Water Street West,22,11393900,221450677,Gananoque,132393
44.3239123,-76.1619035,2,Market Street (939),a,Market Street,8,11393903,221450939,Gananoque,132393
44.3239326,-76.1761953,2,Hillside Drive (526),a,Hillside Drive,3,11393886,221449526,Gananoque,132393
44.3239326,-76.1761953,2,Ontario Street (181),a,Ontario Street,3,11393917,221452181,Gananoque,132393
44.3239927,-76.1659377,2,Bay Road (832),a,Bay Road,19,11393905,470338832,Gananoque,132393
44.3240396,-76.1617491,2,Water Street West (033),a,Water Street West,22,11393900,386144033,Gananoque,132393
44.3240399,-76.1762601,2,Ontario Street (182),a,Ontario Street,3,11393917,221452182,Gananoque,132393
44.3240998,-76.1739412,2,Maple Street South (357),a,Maple Street South,6,11393883,221449357,Gananoque,132393
44.3240998,-76.1739412,2,Maple Street South (362),a,Maple Street South,6,11393883,221449362,Gananoque,132393
44.3240998,-76.1739412,2,Hillside Drive (524),a,Hillside Drive,3,11393886,221449524,Gananoque,132393
44.3241259,-76.1616443,2,Water Street West (674),a,Water Street West,22,11393900,221450674,Gananoque,132393
