lat,lon,sz,names,len_cat
44.7735991,-79.3523826,2,Davis Drive (007),a
44.7736197,-79.3519397,2,Davis Drive (008),a
44.773621,-79.3532793,2,Renee Drive (720),a
44.773647,-79.3538347,2,Renee Drive (726),a
44.7737165,-79.3468059,2,Severn River Road (571),a
44.7738477,-79.3459174,2,Severn River Road (572),a
44.7739209,-79.3509833,2,Davis Drive (009),a
44.774044,-79.3501583,2,Davis Drive (011),a
44.774044,-79.3501583,2,Davis Drive (011),a
44.7740894,-79.3539232,2,Renee Drive (732),a
44.77421,-79.3541725,2,Renee Drive (738),a
44.7742364,-79.3547532,2,Renee Drive (743),a
44.7742899,-79.3805338,2,Bagley Road (681),a
44.774332,-79.3803304,2,Bagley Road (682),a
44.7743858,-79.3501359,2,Davis Drive (012),a
44.7743858,-79.3501359,2,Davis Drive (012),a
44.7743983,-79.3548956,2,Renee Drive (479),a
44.7744546,-79.3807188,2,Bagley Road (680),a
44.7745008,-79.3549858,2,Renee Drive (749),a
44.7745013,-79.3808439,2,Bagley Road (679),a
44.7746001,-79.3789201,2,Bagley Road (687),a
44.7746532,-79.3499514,2,Davis Drive (014),a
44.7746532,-79.3499514,2,Davis Drive (014),a
44.7746762,-79.3798405,2,Bagley Road (683),a
44.7746767,-79.390065,2,Graham Road (523),a
44.7746835,-79.3797266,2,Bagley Road (684),a
44.7746899,-79.378273,2,Bagley Road (688),a
44.7747115,-79.3791571,2,Bagley Road (686),a
44.7747169,-79.3549923,2,Renee Drive (755),a
44.7747169,-79.3549923,2,Shamrock Marina (232),a
44.7747169,-79.3549923,2,Shamrock Marina Road (531),a
44.7747528,-79.3769948,2,Bagley Road (690),a
44.7747553,-79.3809758,2,Bagley Road (678),a
44.7747574,-79.3554818,2,Shamrock Marina (498),a
44.7747585,-79.3780309,2,Bagley Road (689),a
44.7747784,-79.3794333,2,Bagley Road (685),a
44.7748051,-79.3894311,2,Godfrey Road (607),a
44.7748051,-79.3894311,2,Graham Road (525),a
44.7748059,-79.3560693,2,Shamrock Marina (499),a
44.7748295,-79.3764298,2,Bagley Road (691),a
44.7748295,-79.3764298,2,Catherine Bagley Lane (684),a
44.7748441,-79.3821613,2,Bagley Road (665),a
44.7748441,-79.3821613,2,Bagley Road (676),a
44.7748441,-79.3821613,2,Bowers Lane (975),a
44.7748541,-79.3433105,2,Severn River Road (573),a
44.7748616,-79.381491,2,Bagley Road (677),a
44.7748713,-79.3568603,2,Shamrock Marina (500),a
44.7748805,-79.3569719,2,Shamrock Marina (235),a
44.7748998,-79.3571047,2,Shamrock Marina (501),a
44.7749022,-79.3830823,2,Bagley Road (668),a
44.7749522,-79.3745626,2,Catherine Bagley Lane (688),a
44.7749522,-79.3745626,2,Catherine Bagley Lane (688),a
44.7749618,-79.3898019,2,Godfrey Road (521),a
44.7749625,-79.2965383,2,Laidlaw Avenue (577),a
44.7749729,-79.3753835,2,Catherine Bagley Lane (685),a
44.7749879,-79.3751682,2,Catherine Bagley Lane (686),a
44.7749885,-79.3898651,2,Godfrey Road (608),a
44.7749934,-79.3842503,2,Bagley Road (670),a
44.7750252,-79.369581,2,Rockcastle Road (316),a
44.775028,-79.3862511,2,Bagley Road (673),a
44.775028,-79.3862511,2,Bagley Road (673),a
44.7750321,-79.3853586,2,Bagley Road (672),a
44.7750321,-79.3853586,2,Bagley Road (672),a
44.7750572,-79.3730809,2,Catherine Bagley Lane (689),a
44.7750572,-79.3730809,2,Catherine Bagley Lane (689),a
44.7750589,-79.3425337,2,Severn River Road (574),a
44.7750927,-79.3870076,2,Bagley Road (674),a
44.7752326,-79.3708643,2,Catherine Bagley Lane (691),a
44.7752406,-79.3872815,2,Bagley Road (675),a
44.7752406,-79.3872815,2,Graham Road (527),a
44.7752406,-79.3872815,2,Graham Road (528),a
44.7752457,-79.3548256,2,Shamrock Marina Road (533),a
44.7752469,-79.2955809,2,Coopers Falls Road (153),a
44.7752469,-79.2955809,2,Coopers Falls Road (157),a
44.7752469,-79.2955809,2,Laidlaw Avenue (563),a
44.7752469,-79.2955809,2,Laidlaw Avenue (582),a
44.7752639,-79.3699029,2,Rockcastle Road (318),a
44.7752798,-79.2959261,2,Coopers Falls Road (158),a
44.7752806,-79.3602503,2,Shamrock Marina (243),a
44.775281,-79.3704711,2,Catherine Bagley Lane (693),a
44.7753,-79.3598542,2,Shamrock Marina (236),a
44.7753145,-79.2962945,2,Coopers Falls Road (151),a
44.7753145,-79.2962945,2,Coopers Falls Road (159),a
44.7753179,-79.2951295,2,Coopers Falls Road (154),a
44.775318,-79.3602113,2,Shamrock Marina (242),a
44.7753387,-79.3599736,2,Shamrock Marina (238),a
44.7753446,-79.3907395,2,Godfrey Road (609),a
44.7753484,-79.3601431,2,Shamrock Marina (240),a
44.7753593,-79.3702793,2,Catherine Bagley Lane (695),a
44.7753593,-79.3702793,2,Rockcastle Road (308),a
44.7753593,-79.3702793,2,Rockcastle Road (320),a
44.7753702,-79.3385562,2,Severn River Road (578),a
44.7753702,-79.3385562,2,Severn River Road (578),a
44.7753728,-79.296674,2,Coopers Falls Road (152),a
44.7753728,-79.296674,2,Coopers Falls Road (216),a
44.7753811,-79.2947254,2,Coopers Falls Road (155),a
44.7753827,-79.338796,2,Severn River Road (577),a
44.7755948,-79.3391438,2,Severn River Road (576),a
44.7755986,-79.3394091,2,Severn River Road (575),a
44.7756394,-79.3490512,2,Davis Drive (017),a
44.7756394,-79.3490512,2,Davis Drive (017),a
44.7756416,-79.3912089,2,Godfrey Road (610),a
44.7757596,-79.3914288,2,Godfrey Road (611),a
44.7758137,-79.3548853,2,Shamrock Marina Road (536),a
44.7758842,-79.337998,2,East Severn River Road (263),a
44.7758842,-79.337998,2,East Severn River Road (263),a
44.7758842,-79.337998,2,Severn River Road (565),a
44.7758842,-79.337998,2,Severn River Road (565),a
44.7758842,-79.337998,2,Severn River Road (579),a
44.7758842,-79.337998,2,Severn River Road (579),a
44.7760106,-79.3705011,2,Rockcastle Road (311),a
44.7763295,-79.3382886,2,Severn River Road (566),a
44.7763295,-79.3382886,2,Severn River Road (566),a
44.7764296,-79.3365036,2,East Severn River Road (264),a
44.7764296,-79.3365036,2,East Severn River Road (264),a
44.7765095,-79.3808888,2,Bowers Lane (976),a
44.7765095,-79.3808888,2,Graham Road (530),a
44.7765095,-79.3808888,2,Graham Road (541),a
44.7765625,-79.3357415,2,East Severn River Road (265),a
44.7768418,-79.3795651,2,Graham Road (542),a
44.776899,-79.3384492,2,Severn River Road (567),a
44.7769292,-79.3355793,2,East Severn River Road (266),a
44.7771455,-79.3486165,2,Davis Drive (019),a
44.7771455,-79.3486165,2,Davis Drive (019),a
44.7771552,-79.3775467,2,Graham Road (544),a
44.7771773,-79.3352642,2,East Severn River Road (267),a
44.7772073,-79.3553892,2,Shamrock Marina Road (538),a
44.7776904,-79.3483229,2,Davis Drive (022),a
44.7776904,-79.3483229,2,Davis Drive (022),a
44.7777502,-79.3757101,2,Graham Road (546),a
44.777785,-79.3349314,2,Cowbell Line (712),a
44.7778064,-79.3347968,2,Cowbell Line (711),a
44.7778468,-79.3560409,2,Shamrock Marina Road (539),a
44.7778692,-79.3345742,2,Cowbell Line (710),a
44.7779367,-79.3344843,2,Cowbell Line (709),a
44.7780377,-79.3731362,2,Graham Road (547),a
44.7780377,-79.3731362,2,Graham Road (547),a
44.7781458,-79.3561715,2,Shamrock Marina Road (541),a
44.7781617,-79.3336733,2,Cowbell Line (701),a
44.7781885,-79.3343194,2,Cowbell Line (699),a
44.7781885,-79.3343194,2,Cowbell Line (708),a
44.7781885,-79.3343194,2,Manson Lane (224),a
44.7781887,-79.2820415,2,Coopers Falls Road (156),a
44.7781887,-79.2820415,2,Coopers Falls Road (160),a
44.7781887,-79.2820415,2,Cronk Sideroad (529),a
44.778298,-79.3331385,2,Cowbell Line (702),a
44.7784471,-79.3715448,2,Graham Road (519),a
44.7784471,-79.3715448,2,Graham Road (549),a
44.7784471,-79.3715448,2,Rockcastle Road (314),a
44.778586,-79.334154,2,Manson Lane (223),a
44.7786333,-79.3562714,2,Shamrock Marina Road (542),a
44.7788717,-79.333989,2,Manson Lane (222),a
44.7789973,-79.3385028,2,Severn River Road (568),a
44.7791675,-79.3339712,2,Manson Lane (221),a
44.7796469,-79.3281197,2,Cowbell Line (706),a
44.7796535,-79.3384334,2,Severn River Road (569),a
44.7797017,-79.2922852,2,Laidlaw Avenue (564),a
44.779704,-79.3562283,2,Shamrock Marina Road (543),a
44.7797612,-79.3562487,2,Shamrock Marina Road (489),a
44.7798329,-79.2746618,2,Coopers Falls Road (161),a
44.7798661,-79.330793,2,Cowbell Line (703),a
44.7799599,-79.3304364,2,Cowbell Line (704),a
44.7799815,-79.3300692,2,Cowbell Line (705),a
44.7799826,-79.2739829,2,Coopers Falls Road (162),a
44.7800247,-79.3478898,2,Davis Drive (024),a
44.7800247,-79.3478898,2,Davis Drive (024),a
44.7801254,-79.2730629,2,Coopers Falls Road (163),a
44.7801693,-79.3215684,2,Cowbell Line (707),a
44.780216,-79.3339966,2,Manson Lane (220),a
44.780216,-79.3339966,2,Southwood Road (452),a
44.7802245,-79.3341539,2,Southwood Road (216),a
44.7802653,-79.3477186,2,Davis Drive (026),a
44.7802653,-79.3477186,2,Davis Drive (026),a
44.7802727,-79.3351897,2,Southwood Road (451),a
44.7803057,-79.3356031,2,Southwood Road (450),a
44.7803057,-79.3356031,2,Southwood Road (450),a
44.7803838,-79.3358284,2,Southwood Road (449),a
44.7803838,-79.3358284,2,Southwood Road (449),a
44.780412,-79.3367432,2,Southwood Road (236),a
44.780412,-79.3367432,2,Southwood Road (236),a
44.7804244,-79.3358836,2,Southwood Road (215),a
44.7804244,-79.3358836,2,Southwood Road (215),a
44.78043,-79.3363402,2,Southwood Road (235),a
44.78043,-79.3363402,2,Southwood Road (235),a
44.7804594,-79.3359184,2,Southwood Road (448),a
44.7804594,-79.3359184,2,Southwood Road (448),a
44.7804684,-79.271445,2,Coopers Falls Road (165),a
44.780471,-79.2919591,2,Laidlaw Avenue (565),a
44.7805289,-79.3359757,2,Southwood Road (234),a
44.7805289,-79.3359757,2,Southwood Road (234),a
