lat,lon,sz,names,len_cat
43.0506344,-79.7539694,2,Westbrook Road (225),a
43.0507146,-79.7538941,2,Westbrook Road (226),a
43.0515927,-79.7534957,2,Westbrook Road (227),a
43.0516645,-79.7534697,2,Westbrook Road (228),a
43.0516733,-79.7534572,2,Westbrook Road (229),a
43.0516733,-79.7534572,2,York Street (100),a
43.0516733,-79.7534572,2,York Street (102),a
43.0518425,-79.7541045,2,York Street (099),a
43.0518707,-79.7542145,2,York Street (098),a
43.051906,-79.7566327,2,York Street (081),a
43.0519182,-79.7544468,2,York Street (097),a
43.0519182,-79.7544468,2,York Street (097),a
43.0519376,-79.7545692,2,York Street (096),a
43.0519376,-79.7545692,2,York Street (096),a
43.0519405,-79.7564969,2,York Street (082),a
43.0519568,-79.7546793,2,York Street (095),a
43.0519568,-79.7546793,2,York Street (095),a
43.0519659,-79.7563491,2,York Street (083),a
43.0519761,-79.7548017,2,York Street (094),a
43.0519761,-79.7548017,2,York Street (094),a
43.0519824,-79.7562014,2,York Street (084),a
43.0519824,-79.7562014,2,York Street (084),a
43.0519865,-79.7549243,2,York Street (093),a
43.0519865,-79.7549243,2,York Street (093),a
43.0519988,-79.7560537,2,York Street (085),a
43.0519988,-79.7560537,2,York Street (085),a
43.0520057,-79.7550344,2,York Street (092),a
43.0520057,-79.7550344,2,York Street (092),a
43.0520152,-79.755906,2,York Street (086),a
43.0520152,-79.755906,2,York Street (086),a
43.052016,-79.755157,2,York Street (091),a
43.052016,-79.755157,2,York Street (091),a
43.0520176,-79.7553043,2,York Street (090),a
43.0520176,-79.7553043,2,York Street (090),a
43.0520226,-79.7557585,2,York Street (087),a
43.0520226,-79.7557585,2,York Street (087),a
43.0520282,-79.7554514,2,York Street (089),a
43.0520282,-79.7554514,2,York Street (089),a
43.05203,-79.755611,2,York Street (088),a
43.05203,-79.755611,2,York Street (088),a
43.0527565,-79.7529854,2,Westbrook Road (143),a
43.0527565,-79.7529854,2,Westbrook Road (144),a
43.0529793,-79.7528883,2,Westbrook Road (141),a
43.0529793,-79.7528883,2,Westbrook Road (142),a
43.0554933,-79.7686064,2,Short Road (119),a
43.0554933,-79.7686064,2,Short Road (119),a
43.0555012,-79.7684958,2,Short Road (118),a
43.0555012,-79.7684958,2,Short Road (118),a
43.0555012,-79.7684958,2,Sinclairville Road (051),a
43.0555012,-79.7684958,2,Sinclairville Road (051),a
43.0555012,-79.7684958,2,Sinclairville Road (052),a
43.0555012,-79.7684958,2,Sinclairville Road (052),a
43.0555217,-79.7687287,2,Short Road (120),a
43.0555217,-79.7687287,2,Short Road (120),a
43.0558087,-79.7686247,2,Sinclairville Road (053),a
43.0558087,-79.7686247,2,Sinclairville Road (053),a
43.0559171,-79.7686593,2,Sinclairville Road (054),a
43.0559171,-79.7686593,2,Sinclairville Road (054),a
43.0560256,-79.768694,2,Sinclairville Road (055),a
43.0560256,-79.768694,2,Sinclairville Road (055),a
43.0561339,-79.7687164,2,Sinclairville Road (056),a
43.0561339,-79.7687164,2,Sinclairville Road (056),a
43.056251,-79.7687263,2,Sinclairville Road (057),a
43.056251,-79.7687263,2,Sinclairville Road (057),a
43.0563119,-79.7710337,2,Short Road (123),a
43.05635,-79.75142,2,Westbrook Road (190),a
43.0563682,-79.7687363,2,Sinclairville Road (058),a
43.0563682,-79.7687363,2,Sinclairville Road (058),a
43.0564764,-79.7687464,2,Sinclairville Road (059),a
43.0564764,-79.7687464,2,Sinclairville Road (059),a
43.0565933,-79.7687318,2,Sinclairville Road (060),a
43.0565933,-79.7687318,2,Sinclairville Road (060),a
43.0567012,-79.7687173,2,Sinclairville Road (061),a
43.0567012,-79.7687173,2,Sinclairville Road (061),a
43.0568181,-79.7687027,2,Sinclairville Road (062),a
43.0568181,-79.7687027,2,Sinclairville Road (062),a
43.0571067,-79.759573,2,Barlow Road (115),a
43.057261,-79.768566,2,Sinclairville Road (063),a
43.057261,-79.768566,2,Sinclairville Road (063),a
43.0577727,-79.7683971,2,Sinclairville Road (162),a
43.0577727,-79.7683971,2,Sinclairville Road (162),a
43.0577727,-79.7683971,2,Sinclairville Road (163),a
43.0577727,-79.7683971,2,Sinclairville Road (163),a
43.0587905,-79.7670668,2,Barlow Road (116),a
43.0589805,-79.767984,2,Barlow Road (117),a
43.0589805,-79.767984,2,Barlow Road (117),a
43.0589805,-79.767984,2,Sinclairville Road (033),a
43.0589805,-79.767984,2,Sinclairville Road (033),a
43.0591599,-79.767919,2,Sinclairville Road (034),a
43.0591599,-79.767919,2,Sinclairville Road (034),a
43.0593036,-79.7678793,2,Sinclairville Road (035),a
43.0593036,-79.7678793,2,Sinclairville Road (035),a
43.0594474,-79.7678519,2,Sinclairville Road (036),a
43.0594474,-79.7678519,2,Sinclairville Road (036),a
43.0595911,-79.7678244,2,Sinclairville Road (037),a
43.0595911,-79.7678244,2,Sinclairville Road (037),a
43.0597441,-79.7678091,2,Sinclairville Road (038),a
43.0597441,-79.7678091,2,Sinclairville Road (038),a
43.059888,-79.7677939,2,Sinclairville Road (039),a
43.059888,-79.7677939,2,Sinclairville Road (039),a
43.060032,-79.767791,2,Sinclairville Road (040),a
43.060032,-79.767791,2,Sinclairville Road (040),a
43.0601762,-79.7678004,2,Sinclairville Road (041),a
43.0601762,-79.7678004,2,Sinclairville Road (041),a
43.0603294,-79.7678097,2,Sinclairville Road (042),a
43.0603294,-79.7678097,2,Sinclairville Road (042),a
43.0604737,-79.7678313,2,Sinclairville Road (043),a
43.0604737,-79.7678313,2,Sinclairville Road (043),a
43.060618,-79.767853,2,Sinclairville Road (044),a
43.060618,-79.767853,2,Sinclairville Road (044),a
43.0621159,-79.7681423,2,Sinclairville Road (045),a
43.0621159,-79.7681423,2,Sinclairville Road (045),a
43.062233,-79.76814,2,Sinclairville Road (046),a
43.062233,-79.76814,2,Sinclairville Road (046),a
43.06235,-79.7681376,2,Sinclairville Road (047),a
43.06235,-79.7681376,2,Sinclairville Road (047),a
43.062457,-79.7681355,2,Sinclairville Road (048),a
43.062457,-79.7681355,2,Sinclairville Road (048),a
43.062457,-79.7681355,2,Sinclairville Road (066),a
43.062457,-79.7681355,2,Sinclairville Road (066),a
43.062476,-79.7681351,2,Sinclairville Road (067),a
43.062476,-79.7681351,2,Sinclairville Road (067),a
43.0625929,-79.7681205,2,Sinclairville Road (068),a
43.0625929,-79.7681205,2,Sinclairville Road (068),a
43.0627098,-79.7681058,2,Sinclairville Road (069),a
43.0627098,-79.7681058,2,Sinclairville Road (069),a
43.0628266,-79.7680789,2,Sinclairville Road (070),a
43.0628266,-79.7680789,2,Sinclairville Road (070),a
43.0629435,-79.7680643,2,Sinclairville Road (071),a
43.0629435,-79.7680643,2,Sinclairville Road (071),a
43.0630513,-79.7680376,2,Sinclairville Road (072),a
43.0630513,-79.7680376,2,Sinclairville Road (072),a
43.0631679,-79.7679984,2,Sinclairville Road (073),a
43.0631679,-79.7679984,2,Sinclairville Road (073),a
43.0632846,-79.7679592,2,Sinclairville Road (074),a
43.0632846,-79.7679592,2,Sinclairville Road (074),a
43.0636344,-79.7678294,2,Sinclairville Road (075),a
43.0636344,-79.7678294,2,Sinclairville Road (075),a
43.0638575,-79.7526822,2,Berry Road (234),a
43.0638935,-79.7526815,2,Berry Road (235),a
43.0647516,-79.7821886,2,Woodburn Road (434),a
43.0648628,-79.7952499,2,Haldibrook Road (880),a
43.0652303,-79.7671834,2,Sinclairville Road (076),a
43.0652303,-79.7671834,2,Sinclairville Road (076),a
43.0652384,-79.7521507,2,Berry Road (236),a
43.0654867,-79.7818792,2,Woodburn Road (435),a
43.0655764,-79.7818406,2,Woodburn Road (436),a
43.0660038,-79.7984247,2,Haldibrook Road (878),a
43.0660188,-79.7984145,2,Haldibrook Road (879),a
43.0668076,-79.7515416,2,Berry Road (237),a
43.0670736,-79.7812214,2,Woodburn Road (437),a
43.0670736,-79.7812214,2,Woodburn Road (437),a
43.0673113,-79.750011,2,Hall Road (800),a
43.0675314,-79.7510234,2,Hall Road (801),a
43.0675692,-79.7511945,2,Berry Road (239),a
43.0675692,-79.7511945,2,Hall Road (802),a
43.0675692,-79.7511945,2,Hall Road (803),a
43.0675788,-79.7512435,2,Berry Road (238),a
43.0675788,-79.7512435,2,Hall Road (804),a
43.0675788,-79.7512435,2,Hall Road (840),a
43.0676057,-79.7661778,2,Sinclairville Road (077),a
43.0680589,-79.7465665,2,Westbrook Road (196),a
43.0682329,-79.7509477,2,Berry Road (240),a
43.0683101,-79.754729,2,Hall Road (841),a
43.0683478,-79.7548756,2,Hall Road (842),a
43.0687532,-79.7805185,2,Woodburn Road (438),a
43.0687532,-79.7805185,2,Woodburn Road (438),a
43.0687532,-79.7805185,2,Woodburn Road (445),a
43.0687532,-79.7805185,2,Woodburn Road (445),a
