lat,lon,sz,names,len_cat
34.3268956,132.5488886,2,矢野安浦線 (680),a
34.3268956,132.5489505,2,矢野安浦線 (755),a
34.3269078,132.5488177,2,矢野安浦線 (756),a
34.3269115,132.5490217,2,矢野安浦線 (679),a
34.3269246,132.5487555,2,矢野安浦線 (681),a
34.3269455,132.5490765,2,矢野安浦線 (754),a
34.3269566,132.5486876,2,矢野安浦線 (757),a
34.3269774,132.5491064,2,矢野安浦線 (678),a
34.326983,132.5486342,2,矢野安浦線 (682),a
34.3270153,132.5491235,2,矢野安浦線 (753),a
34.3270615,132.5491347,2,矢野安浦線 (677),a
34.3271271,132.5491275,2,矢野安浦線 (752),a
34.3271806,132.5491151,2,矢野安浦線 (676),a
34.3272815,132.5490795,2,矢野安浦線 (675),a
34.3273175,132.5484977,2,矢野安浦線 (683),a
34.3273963,132.5490355,2,矢野安浦線 (674),a
34.3275004,132.5484328,2,矢野安浦線 (758),a
34.3275136,132.5489792,2,矢野安浦線 (711),a
34.3276892,132.5483811,2,矢野安浦線 (684),a
34.3277113,132.5488927,2,矢野安浦線 (673),a
34.3277573,132.5488762,2,矢野安浦線 (712),a
34.3277916,132.54887,2,矢野安浦線 (751),a
34.3278182,132.5483631,2,矢野安浦線 (759),a
34.3278391,132.5488656,2,矢野安浦線 (713),a
34.3278869,132.5488673,2,矢野安浦線 (750),a
34.3279378,132.548874,2,矢野安浦線 (749),a
34.3279461,132.548359,2,矢野安浦線 (685),a
34.3279758,132.5488866,2,矢野安浦線 (672),a
34.3280231,132.5489169,2,矢野安浦線 (748),a
34.3280585,132.5483631,2,矢野安浦線 (760),a
34.3280685,132.5489743,2,矢野安浦線 (671),a
34.3280875,132.5490054,2,矢野安浦線 (774),a
34.3281084,132.5500005,2,矢野安浦線 (714),a
34.328114,132.550078,2,矢野安浦線 (663),a
34.3281224,132.549925,2,矢野安浦線 (664),a
34.3281283,132.5483698,2,矢野安浦線 (761),a
34.3281308,132.5490763,2,矢野安浦線 (670),a
34.3281418,132.5502161,2,矢野安浦線 (662),a
34.3281746,132.5498107,2,矢野安浦線 (665),a
34.3282036,132.5503264,2,矢野安浦線 (716),a
34.3282524,132.5483859,2,矢野安浦線 (762),a
34.3282606,132.5492762,2,矢野安浦線 (669),a
34.3282672,132.5504236,2,矢野安浦線 (709),a
34.3282819,132.5496188,2,矢野安浦線 (666),a
34.3283111,132.5495088,2,矢野安浦線 (667),a
34.3283166,132.5494143,2,矢野安浦線 (668),a
34.3283389,132.5484079,2,矢野安浦線 (686),a
34.3283841,132.5506107,2,矢野安浦線 (715),a
34.3284435,132.5507128,2,矢野安浦線 (710),a
34.3285126,132.5507851,2,矢野安浦線 (717),a
34.3285128,132.5484603,2,矢野安浦線 (687),a
34.328549,132.5508239,2,矢野安浦線 (661),a
34.3285735,132.5484717,2,矢野安浦線 (763),a
34.3286112,132.5508387,2,矢野安浦線 (718),a
34.3286178,132.5518446,2,矢野安浦線 (733),a
34.3286228,132.5519059,2,矢野安浦線 (649),a
34.3286245,132.5517856,2,矢野安浦線 (734),a
34.3286311,132.5484757,2,矢野安浦線 (764),a
34.3286357,132.5533457,2,矢野安浦線 (641),a
34.3286357,132.5533457,2,矢野安浦線 (641),a
34.3286369,132.5517139,2,矢野安浦線 (650),a
34.3286583,132.5530991,2,矢野安浦線 (642),a
34.3286583,132.5530991,2,矢野安浦線 (642),a
34.3286588,132.5516635,2,矢野安浦線 (735),a
34.3286718,132.5508393,2,矢野安浦線 (660),a
34.3286733,132.552116,2,矢野安浦線 (648),a
34.3286812,132.5484601,2,矢野安浦線 (688),a
34.3286854,132.5516354,2,矢野安浦線 (736),a
34.3287012,132.5535917,2,矢野安浦線 (640),a
34.3287012,132.5535917,2,矢野安浦線 (640),a
34.3287175,132.5484261,2,矢野安浦線 (765),a
34.3287272,132.5523282,2,矢野安浦線 (647),a
34.3287275,132.550828,2,矢野安浦線 (719),a
34.3287275,132.5516058,2,矢野安浦線 (737),a
34.3287323,132.5528015,2,矢野安浦線 (643),a
34.3287524,132.5483864,2,矢野安浦線 (689),a
34.3287566,132.552711,2,矢野安浦線 (644),a
34.3287609,132.5524975,2,矢野安浦線 (646),a
34.3287626,132.552624,2,矢野安浦線 (645),a
34.3287773,132.5483309,2,矢野安浦線 (766),a
34.3287845,132.5515772,2,矢野安浦線 (651),a
34.3287873,132.5508186,2,矢野安浦線 (720),a
34.3287928,132.5482642,2,矢野安浦線 (690),a
34.3287972,132.5481954,2,矢野安浦線 (767),a
34.3288028,132.5481136,2,矢野安浦線 (768),a
34.3288324,132.5480235,2,矢野安浦線 (691),a
34.3288703,132.5479473,2,矢野安浦線 (773),a
34.3288818,132.5507951,2,矢野安浦線 (659),a
34.3289053,132.5479043,2,矢野安浦線 (692),a
34.3289134,132.5515288,2,矢野安浦線 (652),a
34.3289689,132.550773,2,矢野安浦線 (721),a
34.3289722,132.5478481,2,矢野安浦線 (769),a
34.3290386,132.5507646,2,矢野安浦線 (658),a
34.3290437,132.5478012,2,矢野安浦線 (693),a
34.3290878,132.5514659,2,矢野安浦線 (653),a
34.3290952,132.5507757,2,矢野安浦線 (722),a
34.3291395,132.5507918,2,矢野安浦線 (724),a
34.3291616,132.5514261,2,矢野安浦線 (732),a
34.3291646,132.5477305,2,矢野安浦線 (694),a
34.3291723,132.5508044,2,矢野安浦線 (657),a
34.3292037,132.5513926,2,矢野安浦線 (731),a
34.3292103,132.5508347,2,矢野安浦線 (723),a
34.3292126,132.5476992,2,矢野安浦線 (770),a
34.3292327,132.5513585,2,矢野安浦線 (654),a
34.3292436,132.5508723,2,矢野安浦線 (725),a
34.3292593,132.5476617,2,矢野安浦線 (708),a
34.3292713,132.5509192,2,矢野安浦線 (726),a
34.3292768,132.5512692,2,矢野安浦線 (730),a
34.3292944,132.550963,2,矢野安浦線 (656),a
34.3293012,132.5475973,2,矢野安浦線 (771),a
34.3293045,132.5511982,2,矢野安浦線 (729),a
34.32931,132.5510104,2,矢野安浦線 (727),a
34.3293189,132.5511445,2,矢野安浦線 (728),a
34.3293231,132.5510884,2,矢野安浦線 (655),a
34.329341,132.5475262,2,矢野安浦線 (772),a
34.329386,132.547432,2,矢野安浦線 (695),a
34.3295399,132.5470418,2,矢野安浦線 (696),a
34.3295825,132.546975,2,矢野安浦線 (741),a
34.3296354,132.5469317,2,矢野安浦線 (697),a
34.3296965,132.5469013,2,矢野安浦線 (740),a
34.3297684,132.5468873,2,矢野安浦線 (698),a
34.3298726,132.5468664,2,矢野安浦線 (739),a
34.3299807,132.5468703,2,矢野安浦線 (699),a
34.3301997,132.5469016,2,矢野安浦線 (700),a
34.3304591,132.5469526,2,矢野安浦線 (701),a
34.3307826,132.5469771,2,矢野安浦線 (702),a
34.3308959,132.5469629,2,矢野安浦線 (743),a
34.330989,132.5469469,2,矢野安浦線 (744),a
34.3311039,132.5469172,2,矢野安浦線 (703),a
34.3311894,132.5468798,2,矢野安浦線 (745),a
34.3312514,132.5468476,2,矢野安浦線 (746),a
34.331325,132.5467955,2,矢野安浦線 (704),a
34.3315509,132.5465895,2,矢野安浦線 (742),a
34.3315777,132.546565,2,矢野安浦線 (705),a
34.331972,132.54621,2,矢野安浦線 (706),a
34.3320865,132.5460872,2,矢野安浦線 (747),a
34.3321849,132.5459708,2,矢野安浦線 (707),a
34.3322741,132.545836,2,矢野安浦線 (738),a
34.3323728,132.54569,2,矢野安浦線 (079),a
34.3324278,132.5455989,2,矢野安浦線 (102),a
34.3324938,132.5454997,2,矢野安浦線 (900),a
34.3325481,132.545394,2,矢野安浦線 (864),a
34.3326054,132.5452083,2,矢野安浦線 (782),a
34.3326408,132.5447799,2,矢野安浦線 (783),a
34.3326408,132.5447799,2,矢野安浦線 (783),a
34.3327069,132.5445795,2,矢野安浦線 (784),a
34.3327069,132.5445795,2,矢野安浦線 (784),a
34.332789,132.5444902,2,矢野安浦線 (785),a
34.332789,132.5444902,2,矢野安浦線 (785),a
34.3328385,132.5444538,2,矢野安浦線 (917),a
34.3328385,132.5444538,2,矢野安浦線 (917),a
34.3328849,132.5444269,2,矢野安浦線 (921),a
34.3328849,132.5444269,2,矢野安浦線 (921),a
34.3329302,132.5444134,2,矢野安浦線 (786),a
34.3329302,132.5444134,2,矢野安浦線 (786),a
34.3329868,132.5444001,2,矢野安浦線 (918),a
34.3329868,132.5444001,2,矢野安浦線 (918),a
34.3330345,132.5443981,2,矢野安浦線 (922),a
34.3330345,132.5443981,2,矢野安浦線 (922),a
34.3330771,132.5443984,2,矢野安浦線 (787),a
34.3330771,132.5443984,2,矢野安浦線 (787),a
34.3332927,132.544429,2,矢野安浦線 (788),a
34.3332927,132.544429,2,矢野安浦線 (788),a
34.3333689,132.5444202,2,矢野安浦線 (919),a
34.3333689,132.5444202,2,矢野安浦線 (919),a
34.3334265,132.5444014,2,矢野安浦線 (920),a
34.3334265,132.5444014,2,矢野安浦線 (920),a
34.3335252,132.5443596,2,矢野安浦線 (789),a
