lat,lon,sz,names,len_cat
43.6623517,-74.3707041,2,Adirondack Trail (126),a
43.6623517,-74.3707041,2,Adirondack Trail (126),a
43.6659716,-74.3645063,2,Adirondack Trail (127),a
43.6663343,-74.3638665,2,Adirondack Trail (128),a
43.6665484,-74.36358,2,Adirondack Trail (129),a
43.6668179,-74.3632935,2,Adirondack Trail (130),a
43.6673325,-74.3628017,2,Adirondack Trail (131),a
43.667785,-74.3624388,2,Adirondack Trail (132),a
43.6688039,-74.3617034,2,Adirondack Trail (133),a
43.6701854,-74.3607532,2,Adirondack Trail (134),a
43.6708451,-74.3604572,2,Adirondack Trail (135),a
43.6716326,-74.3602948,2,Adirondack Trail (136),a
43.6723509,-74.3603044,2,Adirondack Trail (137),a
43.6728379,-74.3602519,2,Adirondack Trail (138),a
43.673242,-74.360142,2,Adirondack Trail (139),a
43.6735735,-74.3599654,2,Adirondack Trail (140),a
43.6740674,-74.3596789,2,Adirondack Trail (141),a
43.6742293,-74.3527829,2,Timberlake Road (145),a
43.6743917,-74.3538834,2,Timberlake Road (361),a
43.6744266,-74.3534208,2,Timberlake Road (144),a
43.6744627,-74.354189,2,Timberlake Road (143),a
43.6745543,-74.3592109,2,Adirondack Trail (142),a
43.674643,-74.354676,2,Timberlake Road (142),a
43.674656,-74.355267,2,Timberlake Road (141),a
43.674656,-74.355267,2,Timberlake Road (148),a
43.674893,-74.355395,2,Timberlake Road (147),a
43.674893,-74.355395,2,Timberlake Road (147),a
43.674986,-74.3586379,2,Adirondack Trail (143),a
43.6752889,-74.3581371,2,Adirondack Trail (364),a
43.6752889,-74.3581371,2,Adirondack Trail (364),a
43.6757803,-74.3573248,2,Adirondack Trail (144),a
43.6757803,-74.3573248,2,Adirondack Trail (144),a
43.6761602,-74.3567137,2,Adirondack Trail (145),a
43.6761602,-74.3567137,2,Adirondack Trail (145),a
43.6761602,-74.3567137,2,Timberlake Road (146),a
43.6761602,-74.3567137,2,Timberlake Road (146),a
43.6765608,-74.356112,2,Adirondack Trail (146),a
43.6781384,-74.3545534,2,Adirondack Trail (147),a
43.6795458,-74.3533118,2,Adirondack Trail (532),a
43.6798241,-74.3530632,2,Adirondack Trail (148),a
43.6799623,-74.3529428,2,Adirondack Trail (219),a
43.6815224,-74.3515784,2,Adirondack Trail (149),a
43.6833159,-74.3500417,2,Adirondack Trail (150),a
43.6839509,-74.3494562,2,Adirondack Trail (151),a
43.684533,-74.3487895,2,Adirondack Trail (152),a
43.6856032,-74.3474398,2,Adirondack Trail (153),a
43.6876559,-74.3447851,2,Adirondack Trail (220),a
43.6876559,-74.3447851,2,Adirondack Trail (220),a
43.6877711,-74.2308575,2,County Road 4 (222),a
43.6877851,-74.230788,2,County Road 4 (221),a
43.6878197,-74.231004,2,County Road 4 (223),a
43.6878377,-74.2307042,2,County Road 4 (220),a
43.6878911,-74.2306947,2,County Road 4 (219),a
43.6878955,-74.2307886,2,County Road 4 (218),a
43.6879379,-74.2309352,2,County Road 4 (217),a
43.6879934,-74.2310673,2,County Road 4 (216),a
43.6879934,-74.2310673,2,County Road 4 (224),a
43.6880756,-74.3442686,2,Adirondack Trail (154),a
43.6880756,-74.3442686,2,Adirondack Trail (154),a
43.6882367,-74.2313132,2,County Road 4 (225),a
43.6885371,-74.343789,2,Adirondack Trail (155),a
43.6885782,-74.2314549,2,County Road 4 (226),a
43.6889238,-74.2317062,2,County Road 4 (227),a
43.6890427,-74.343358,2,Adirondack Trail (156),a
43.6892523,-74.231903,2,County Road 4 (228),a
43.6894951,-74.3431197,2,Adirondack Trail (221),a
43.6895366,-74.3430978,2,Adirondack Trail (157),a
43.6897489,-74.2320162,2,County Road 4 (229),a
43.6903087,-74.2318627,2,County Road 4 (230),a
43.6907038,-74.2318696,2,County Road 4 (231),a
43.6908197,-74.2319813,2,County Road 4 (232),a
43.6909502,-74.2322611,2,County Road 4 (839),a
43.6910518,-74.2325634,2,County Road 4 (840),a
43.6911476,-74.3424718,2,Adirondack Trail (158),a
43.691249,-74.2329231,2,County Road 4 (233),a
43.6917076,-74.2333766,2,County Road 4 (841),a
43.6921288,-74.23385,2,County Road 4 (234),a
43.6922371,-74.2339472,2,County Road 4 (842),a
43.6924433,-74.2341047,2,County Road 4 (843),a
43.6926219,-74.234275,2,County Road 4 (844),a
43.6929821,-74.2348754,2,County Road 4 (845),a
43.6932845,-74.2353257,2,County Road 4 (235),a
43.6936027,-74.2355915,2,County Road 4 (236),a
43.6936182,-74.3414757,2,Adirondack Trail (159),a
43.6939671,-74.235732,2,County Road 4 (237),a
43.694343,-74.2357589,2,County Road 4 (238),a
43.6946837,-74.2358249,2,County Road 4 (239),a
43.6948514,-74.3408537,2,Adirondack Trail (160),a
43.6952202,-74.2361271,2,County Road 4 (846),a
43.6954389,-74.2361843,2,County Road 4 (240),a
43.6958449,-74.3403008,2,Adirondack Trail (161),a
43.695882,-74.2362676,2,County Road 4 (847),a
43.695882,-74.2362676,2,County Road 4 (847),a
43.6960236,-74.2363443,2,County Road 4 (848),a
43.6960236,-74.2363443,2,County Road 4 (848),a
43.696239,-74.2365167,2,County Road 4 (241),a
43.696239,-74.2365167,2,County Road 4 (241),a
43.696382,-74.2366521,2,County Road 4 (242),a
43.696382,-74.2366521,2,County Road 4 (242),a
43.6964798,-74.3398129,2,Adirondack Trail (162),a
43.6965039,-74.2368212,2,County Road 4 (849),a
43.6965039,-74.2368212,2,County Road 4 (849),a
43.6966147,-74.2370809,2,County Road 4 (850),a
43.6966147,-74.2370809,2,County Road 4 (850),a
43.6969102,-74.2379622,2,County Road 4 (851),a
43.6969102,-74.2379622,2,County Road 4 (851),a
43.6971103,-74.2383454,2,County Road 4 (852),a
43.6971103,-74.2383454,2,County Road 4 (852),a
43.6972919,-74.240338,2,County Road 4 (857),a
43.6973073,-74.2400826,2,County Road 4 (856),a
43.6973382,-74.2404999,2,County Road 4 (246),a
43.697375,-74.2386605,2,County Road 4 (853),a
43.697375,-74.2386605,2,County Road 4 (853),a
43.6973874,-74.2398563,2,County Road 4 (245),a
43.6974889,-74.2388266,2,County Road 4 (854),a
43.6974889,-74.2388266,2,County Road 4 (854),a
43.697552,-74.2392981,2,County Road 4 (244),a
43.6975608,-74.2389823,2,County Road 4 (243),a
43.6975782,-74.2391374,2,County Road 4 (855),a
43.6977058,-74.2410793,2,County Road 4 (247),a
43.6978799,-74.241411,2,County Road 4 (858),a
43.6980123,-74.2417303,2,County Road 4 (859),a
43.6981489,-74.2419551,2,County Road 4 (248),a
43.6989019,-74.2427863,2,County Road 4 (860),a
43.6997601,-74.2436318,2,County Road 4 (249),a
43.7000305,-74.2437409,2,County Road 4 (250),a
43.7000764,-74.3356258,2,Adirondack Trail (163),a
43.7002963,-74.2437613,2,County Road 4 (251),a
43.7003274,-74.3353758,2,Adirondack Trail (222),a
43.7003977,-74.3353019,2,Adirondack Trail (164),a
43.7007571,-74.3350614,2,Adirondack Trail (165),a
43.7008473,-74.2436633,2,County Road 4 (861),a
43.7009562,-74.3349599,2,Adirondack Trail (166),a
