lat,lon,sz,names,len_cat
51.6951515,-8.5273016,2,The Follies (172),a
51.6951949,-8.5273629,2,The Follies (171),a
51.6952195,-8.5273617,2,The Follies (170),a
51.695285,-8.5272681,2,The Follies (169),a
51.6952948,-8.488505,2,Forthill (506),a
51.6953835,-8.4889243,2,Forthill (504),a
51.6954122,-8.5270568,2,The Follies (168),a
51.6955012,-8.4895894,2,Forthill (502),a
51.6955082,-8.5269392,2,The Follies (167),a
51.6955207,-8.493899,2,Forthill (483),a
51.6955346,-8.494053,2,Forthill (481),a
51.695535,-8.526938,2,The Follies (166),a
51.695555,-8.526956,2,The Follies (165),a
51.6955671,-8.490211,2,Forthill (500),a
51.6955783,-8.4942229,2,Forthill (479),a
51.6955818,-8.4925035,2,Forthill (488),a
51.6955829,-8.4931942,2,Forthill (485),a
51.6955943,-8.5272227,2,The Follies (164),a
51.6955996,-8.4922552,2,Forthill (490),a
51.6956119,-8.5272847,2,The Follies (163),a
51.6956205,-8.4942911,2,Forthill (477),a
51.6956383,-8.4919895,2,Forthill (492),a
51.6956446,-8.4909424,2,Forthill (498),a
51.6956472,-8.5273483,2,The Follies (162),a
51.6956588,-8.4916592,2,Forthill (494),a
51.6956644,-8.4913277,2,Forthill (496),a
51.6956707,-8.4943362,2,Forthill (475),a
51.6956877,-8.5273784,2,The Follies (161),a
51.6957171,-8.4943645,2,Forthill (474),a
51.6957883,-8.5274252,2,The Follies (160),a
51.6960147,-8.4944561,2,Forthill (473),a
51.6961045,-8.494534,2,Forthill (471),a
51.6961927,-8.494682,2,Forthill (469),a
51.6962077,-8.5295972,2,Compass Hill (155),a
51.6962087,-8.5297845,2,Compass Hill (156),a
51.6962303,-8.5299332,2,Compass Hill (157),a
51.6962337,-8.5294696,2,Compass Hill (154),a
51.6962944,-8.530054,2,Compass Hill (158),a
51.6962955,-8.5293103,2,Compass Hill (153),a
51.6963142,-8.4949266,2,Forthill (467),a
51.6963736,-8.5291563,2,Compass Hill (152),a
51.6963866,-8.5301465,2,Compass Hill (159),a
51.6964188,-8.5150599,2,The Dock (605),a
51.6965038,-8.5288553,2,Compass Hill (151),a
51.6965428,-8.5302412,2,Compass Hill (160),a
51.6965685,-8.5150022,2,The Dock (603),a
51.6965905,-8.5286383,2,Compass Hill (150),a
51.6966513,-8.5284213,2,Compass Hill (149),a
51.6966568,-8.495524,2,Forthill (465),a
51.69666,-8.5303042,2,Compass Hill (161),a
51.6966637,-8.5149941,2,The Dock (602),a
51.6966947,-8.5259575,2,Compass Hill (142),a
51.6966947,-8.5259575,2,Compass Hill (142),a
51.6966947,-8.5257195,2,Compass Hill (141),a
51.6966947,-8.5257195,2,Compass Hill (141),a
51.696699,-8.5281414,2,Compass Hill (148),a
51.696725,-8.5262795,2,Compass Hill (143),a
51.696725,-8.5262795,2,Compass Hill (143),a
51.6967445,-8.5150073,2,The Dock (600),a
51.6967467,-8.5255166,2,Compass Hill (140),a
51.6967467,-8.5255166,2,Compass Hill (140),a
51.6967554,-8.5277494,2,Compass Hill (147),a
51.6967575,-8.5265881,2,Compass Hill (144),a
51.6967575,-8.5265881,2,Compass Hill (144),a
51.6967814,-8.5302832,2,Compass Hill (162),a
51.6967858,-8.5273994,2,Compass Hill (146),a
51.6967901,-8.5270984,2,Compass Hill (145),a
51.6968846,-8.4958911,2,Forthill (462),a
51.6968942,-8.5250406,2,Compass Hill (139),a
51.6968942,-8.5250406,2,Compass Hill (139),a
51.6969105,-8.5249911,2,Compass Hill (385),a
51.6969105,-8.5249911,2,Compass Hill (385),a
51.696955,-8.5302272,2,Compass Hill (163),a
51.6970765,-8.5244876,2,Compass Hill (138),a
51.6970765,-8.5244876,2,Compass Hill (138),a
51.6970912,-8.5301635,2,Compass Hill (164),a
51.6971496,-8.5242451,2,Compass Hill (384),a
51.6971671,-8.4963879,2,Forthill (460),a
51.6972326,-8.5239697,2,Compass Hill (137),a
51.6972672,-8.5208704,2,Pier Road (252),a
51.6972711,-8.4965916,2,Forthill (458),a
51.6972804,-8.5300382,2,Compass Hill (165),a
51.6973994,-8.4969367,2,Forthill (486),a
51.6974018,-8.5234937,2,Compass Hill (136),a
51.6974314,-8.5203946,2,Pier Road (251),a
51.6974496,-8.5299122,2,Compass Hill (166),a
51.6974844,-8.4971796,2,Forthill (485),a
51.6975147,-8.523217,2,Compass Hill (135),a
51.6975187,-8.5202284,2,Pier Road (250),a
51.6975475,-8.523133,2,Compass Hill (383),a
51.6975545,-8.5201603,2,Pier Road (249),a
51.6975593,-8.4974467,2,Forthill (456),a
51.6976025,-8.5297467,2,Compass Hill (386),a
51.6976102,-8.5229721,2,Compass Hill (134),a
51.6976268,-8.4977014,2,Forthill (484),a
51.6976442,-8.5228648,2,Compass Hill (382),a
51.6976718,-8.4979682,2,Forthill (454),a
51.6977357,-8.4983341,2,Forthill (452),a
51.6977487,-8.5295408,2,Compass Hill (168),a
51.6977639,-8.5198279,2,Pier Road (248),a
51.697768,-8.5224735,2,Compass Hill (381),a
51.6978184,-8.5223141,2,Compass Hill (133),a
51.6978312,-8.5222749,2,Compass Hill (380),a
51.6978776,-8.5292633,2,Compass Hill (387),a
51.6979837,-8.5289723,2,Compass Hill (169),a
51.6979876,-8.5217961,2,Compass Hill (132),a
51.6980172,-8.5216938,2,Compass Hill (379),a
51.6980787,-8.5214812,2,Compass Hill (131),a
51.6981181,-8.5285928,2,Compass Hill (170),a
51.6982176,-8.5212992,2,Compass Hill (130),a
51.6983278,-8.5189332,2,Pier Road (247),a
51.6983348,-8.5279571,2,Compass Hill (171),a
51.6984345,-8.5209492,2,Compass Hill (129),a
51.6984415,-8.5276524,2,Compass Hill (388),a
51.6985331,-8.5324973,2,The Avenue (261),a
51.698538,-8.5327661,2,The Avenue (250),a
51.6985765,-8.5272894,2,Compass Hill (172),a
51.6986055,-8.5206901,2,Compass Hill (378),a
51.6986163,-8.532654,2,The Avenue (249),a
51.6986163,-8.532654,2,The Avenue (260),a
51.6986168,-8.5185226,2,Pier Road (246),a
51.6986168,-8.5185226,2,Worlds End (923),a
51.6986267,-8.5314273,2,The Avenue (253),a
51.6986293,-8.520654,2,Compass Hill (377),a
51.6986299,-8.5312057,2,The Avenue (254),a
51.6986409,-8.5184884,2,Pier Road (245),a
51.6986534,-8.5310871,2,The Avenue (739),a
51.698679,-8.5316623,2,The Avenue (252),a
51.6986847,-8.530993,2,The Avenue (255),a
51.6987022,-8.5186755,2,Worlds End (922),a
51.6987209,-8.5205152,2,Compass Hill (376),a
51.6987521,-8.5269494,2,Compass Hill (173),a
51.6987521,-8.5269494,2,Compass Hill (173),a
51.6987608,-8.5187084,2,Worlds End (920),a
51.6987929,-8.5337712,2,The Causeway (174),a
51.6988335,-8.5186796,2,Worlds End (918),a
51.6988444,-8.51824,2,Pier Road (244),a
51.6988904,-8.5267685,2,Compass Hill (174),a
51.6988904,-8.5267685,2,Compass Hill (174),a
51.6988922,-8.5336372,2,The Causeway (288),a
51.6989017,-8.5323338,2,The Avenue (248),a
51.6989017,-8.5323338,2,The Avenue (251),a
51.6989075,-8.5186322,2,Worlds End (915),a
51.6989334,-8.5201933,2,Compass Hill (128),a
51.6989719,-8.5180981,2,Pier Road (243),a
51.6989754,-8.5304992,2,The Avenue (257),a
51.6989866,-8.5185643,2,Worlds End (913),a
51.6990567,-8.5185458,2,Worlds End (910),a
51.6990685,-8.5266561,2,Compass Hill (175),a
51.6990685,-8.5266561,2,Compass Hill (175),a
51.6990707,-8.5304508,2,The Avenue (258),a
51.6991147,-8.5333482,2,The Causeway (737),a
51.6991318,-8.5198869,2,Compass Hill (375),a
51.6991653,-8.5180019,2,Pier Road (242),a
51.6991762,-8.5321131,2,The Avenue (247),a
51.6991766,-8.5184553,2,Worlds End (908),a
51.6991971,-8.5304016,2,The Avenue (259),a
51.6991971,-8.5304016,2,The Avenue (265),a
51.6992,-8.5301995,2,The Avenue (266),a
51.6992035,-8.5332458,2,The Causeway (287),a
51.6992252,-8.530028,2,The Avenue (267),a
51.699237,-8.5197243,2,Compass Hill (127),a
51.699248,-8.5266239,2,Compass Hill (176),a
51.699248,-8.5266239,2,Compass Hill (176),a
51.6992779,-8.5298481,2,The Avenue (149),a
51.6992824,-8.5309357,2,The Avenue (264),a
51.6992991,-8.5183853,2,Worlds End (907),a
51.69935,-8.5296899,2,The Avenue (268),a
51.6993766,-8.5195367,2,Compass Hill (374),a
51.6994139,-8.5179485,2,Pier Road (241),a
51.6994331,-8.5265868,2,Compass Hill (177),a
51.6994331,-8.5265868,2,Compass Hill (177),a
51.6994396,-8.53192,2,The Avenue (246),a
51.6994396,-8.53192,2,The Avenue (263),a
51.6994407,-8.5183544,2,Worlds End (906),a
51.6994744,-8.5194592,2,Compass Hill (126),a
51.6995119,-8.5294873,2,The Avenue (269),a
51.6995669,-8.5183112,2,Worlds End (905),a
51.6995945,-8.5329129,2,The Avenue (262),a
51.6995945,-8.5329129,2,The Causeway (286),a
51.6996235,-8.5293875,2,The Avenue (270),a
51.6996405,-8.5194163,2,Compass Hill (125),a
51.6996717,-8.5179119,2,Pier Road (240),a
51.6996844,-8.5265156,2,Compass Hill (178),a
51.6996844,-8.5265156,2,Compass Hill (178),a
