lat,lon,sz,names,len_cat
59.41175,9.704034,2,Grorudveien (418),a
59.4121394,9.7462379,2,Raubergveien (112),a
59.4121394,9.7462379,2,Raubergveien (112),a
59.412399,9.703965,2,Grorudveien (752),a
59.412885,9.703906,2,Grorudveien (753),a
59.412997,9.703865,2,Grorudveien (754),a
59.41318,9.703773,2,Grorudveien (755),a
59.413308,9.703676,2,Grorudveien (756),a
59.413676,9.70334,2,Grorudveien (757),a
59.413894,9.703151,2,Grorudveien (758),a
59.414019,9.703062,2,Grorudveien (759),a
59.414373,9.702864,2,Grorudveien (760),a
59.414618,9.702775,2,Grorudveien (761),a
59.4147155,9.7027208,2,Grorudveien (762),a
59.414883,9.702635,2,Grorudveien (763),a
59.415089,9.7024781,2,Grorudveien (764),a
59.415262,9.702324,2,Grorudveien (765),a
59.4154144,9.7021644,2,Grorudveien (766),a
59.4155371,9.7020307,2,Grorudveien (767),a
59.415615,9.701943,2,Grorudveien (768),a
59.415773,9.701819,2,Grorudveien (769),a
59.415773,9.701819,2,Grorudveien (769),a
59.415938,9.701775,2,Grorudveien (770),a
59.415938,9.701775,2,Grorudveien (770),a
59.416091,9.701725,2,Grorudveien (771),a
59.416091,9.701725,2,Grorudveien (771),a
59.416244,9.701659,2,Grorudveien (772),a
59.416244,9.701659,2,Grorudveien (772),a
59.416307,9.701624,2,Grorudveien (773),a
59.416307,9.701624,2,Grorudveien (773),a
59.416515,9.701539,2,Grorudveien (774),a
59.416515,9.701539,2,Grorudveien (774),a
59.416775,9.701457,2,Grorudveien (775),a
59.416775,9.701457,2,Grorudveien (775),a
59.417073,9.701428,2,Grorudveien (776),a
59.417073,9.701428,2,Grorudveien (776),a
59.417261,9.701379,2,Grorudveien (777),a
59.417261,9.701379,2,Grorudveien (777),a
59.41745,9.701277,2,Grorudveien (778),a
59.41745,9.701277,2,Grorudveien (778),a
59.417766,9.700984,2,Grorudveien (779),a
59.417766,9.700984,2,Grorudveien (779),a
59.417838,9.700897,2,Grorudveien (780),a
59.417838,9.700897,2,Grorudveien (780),a
59.418046,9.70069,2,Grorudveien (781),a
59.418046,9.70069,2,Grorudveien (781),a
59.41819,9.70057,2,Grorudveien (782),a
59.41819,9.70057,2,Grorudveien (782),a
59.418343,9.700433,2,Grorudveien (783),a
59.418343,9.700433,2,Grorudveien (783),a
59.418743,9.700017,2,Grorudveien (784),a
59.418743,9.700017,2,Grorudveien (784),a
59.418822,9.69995,2,Grorudveien (785),a
59.418822,9.69995,2,Grorudveien (785),a
59.419047,9.699865,2,Grorudveien (786),a
59.419047,9.699865,2,Grorudveien (786),a
59.419308,9.699801,2,Grorudveien (787),a
59.419308,9.699801,2,Grorudveien (787),a
59.419874,9.699725,2,Grorudveien (788),a
59.419874,9.699725,2,Grorudveien (788),a
59.420116,9.69973,2,Grorudveien (789),a
59.420116,9.69973,2,Grorudveien (789),a
59.420269,9.699697,2,Grorudveien (790),a
59.420269,9.699697,2,Grorudveien (790),a
59.42053,9.699562,2,Grorudveien (791),a
59.420845,9.699462,2,Grorudveien (792),a
59.420926,9.699428,2,Grorudveien (793),a
59.42115,9.699469,2,Grorudveien (794),a
59.421295,9.699525,2,Grorudveien (795),a
59.421545,9.699546,2,Grorudveien (796),a
59.421545,9.699546,2,Grorudveien (796),a
59.421653,9.699513,2,Grorudveien (797),a
59.421653,9.699513,2,Grorudveien (797),a
59.421896,9.699361,2,Grorudveien (798),a
59.421896,9.699361,2,Grorudveien (798),a
59.422122,9.699253,2,Grorudveien (799),a
