lat,lon,sz,names,len_cat
34.8849295,135.7275738,2,宇治淀線 (098),a
34.8849295,135.7275738,2,宇治淀線 (098),a
34.8852361,135.7270074,2,宇治淀線 (097),a
34.8852361,135.7270074,2,宇治淀線 (097),a
34.8870245,135.7237035,2,宇治淀線 (589),a
34.8872734,135.723302,2,宇治淀線 (588),a
34.8872734,135.723302,2,市田・島田線 (489),a
34.8875325,135.7229162,2,宇治淀線 (587),a
34.8877577,135.7225976,2,宇治淀線 (586),a
34.8878731,135.7224593,2,宇治淀線 (585),a
34.8894468,135.7211057,2,宇治淀線 (579),a
34.889874,135.7208826,2,宇治淀線 (578),a
34.8901936,135.7207316,2,宇治淀線 (577),a
34.8904249,135.7206361,2,宇治淀線 (576),a
34.8907995,135.7204995,2,宇治淀線 (575),a
34.8911333,135.7203893,2,宇治淀線 (574),a
34.8918505,135.7201601,2,宇治淀線 (573),a
34.8922376,135.7200384,2,北川顔10号線 (488),a
34.8922376,135.7200384,2,宇治淀線 (572),a
34.8926019,135.7199221,2,宇治淀線 (571),a
34.8931821,135.7109673,2,八幡宇治線 (890),a
34.8940322,135.7161393,2,際目橋 (226),a
34.8940322,135.7161393,2,際目橋 (226),a
34.8941533,135.7148153,2,八幡宇治線 (321),a
34.8941533,135.7148153,2,八幡宇治線 (321),a
34.8942916,135.7153675,2,八幡宇治線 (891),a
34.8942916,135.7153675,2,八幡宇治線 (891),a
34.894334,135.7160416,2,際目橋 (227),a
34.894334,135.7160416,2,際目橋 (227),a
34.8946012,135.7165895,2,八幡宇治線 (892),a
34.8946012,135.7165895,2,八幡宇治線 (892),a
34.8972591,135.7044904,2,京都守口線 (258),a
34.8972591,135.7044904,2,京都守口線 (258),a
34.8972913,135.7045295,2,京都守口線 (798),a
34.8972913,135.7045295,2,京都守口線 (798),a
34.897645,135.7050015,2,京都守口線 (797),a
34.897645,135.7050015,2,京都守口線 (797),a
34.8978465,135.7052646,2,京都守口線 (796),a
34.8980225,135.7055394,2,京都守口線 (795),a
34.8980225,135.7055394,2,京都守口線 (806),a
34.8988228,135.7172869,2,新町淀停車場線 (960),a
34.8992161,135.7171009,2,新町淀停車場線 (959),a
34.8994112,135.7170005,2,新町淀停車場線 (128),a
34.8995635,135.7169205,2,新町淀停車場線 (958),a
34.899773,135.71678,2,新町淀停車場線 (741),a
34.8998359,135.716889,2,新町淀停車場線 (740),a
34.8999818,135.7171071,2,新町淀停車場線 (739),a
34.8999921,135.7171197,2,新町淀停車場線 (738),a
34.900002,135.7171311,2,新町淀停車場線 (737),a
34.9000147,135.7171447,2,新町淀停車場線 (412),a
34.9000566,135.7171892,2,新町淀停車場線 (017),a
34.9000718,135.7172009,2,新町淀停車場線 (410),a
34.9000718,135.7172009,2,新町淀停車場線 (411),a
34.9001171,135.7089171,2,京都守口線 (805),a
34.9001849,135.7090264,2,京都守口線 (804),a
34.900193,135.7173201,2,新町淀停車場線 (407),a
34.9001999,135.7173268,2,新町淀停車場線 (408),a
34.9002109,135.7173377,2,新町淀停車場線 (406),a
34.9002246,135.7173511,2,新町淀停車場線 (405),a
34.9002246,135.7173511,2,新町淀停車場線 (409),a
34.9002383,135.7091126,2,京都守口線 (803),a
34.9002496,135.7173757,2,新町淀停車場線 (727),a
34.9010652,135.7181869,2,新町淀停車場線 (726),a
34.901108,135.7182301,2,新町淀停車場線 (725),a
34.9012485,135.7163945,2,天神橋 (443),a
34.9013071,135.7184153,2,新町淀停車場線 (724),a
34.9013391,135.7108876,2,京都守口線 (802),a
34.9013428,135.7165072,2,天神橋 (439),a
34.9016273,135.7113525,2,京都守口線 (801),a
34.901692,135.7117026,2,宇治淀線 (178),a
34.901743,135.7117852,2,宇治淀線 (181),a
34.9017897,135.7116144,2,京都守口線 (800),a
34.9017897,135.7116144,2,宇治淀線 (179),a
34.9018432,135.7117006,2,京都守口線 (794),a
34.9018432,135.7117006,2,宇治淀線 (180),a
34.9020256,135.7191359,2,新町淀停車場線 (723),a
34.9020794,135.719187,2,新町淀停車場線 (722),a
34.9020794,135.719187,2,新町淀停車場線 (735),a
34.9022464,135.7193967,2,新町淀停車場線 (734),a
34.9023073,135.7194683,2,新町淀停車場線 (733),a
34.9024,135.7125985,2,京都守口線 (793),a
34.9024741,135.712718,2,京都守口線 (792),a
34.9025538,135.719766,2,新町淀停車場線 (732),a
34.9026379,135.7129821,2,京都守口線 (791),a
34.9027315,135.7131331,2,京都守口線 (790),a
34.9028335,135.7132975,2,京都守口線 (789),a
34.9028807,135.7201394,2,新町淀停車場線 (731),a
34.9030438,135.7203651,2,新町淀停車場線 (721),a
34.9030438,135.7203651,2,新町淀停車場線 (730),a
34.9033791,135.7141774,2,京都守口線 (272),a
34.9033791,135.7141774,2,京都守口線 (272),a
34.9033791,135.7141774,2,京都守口線 (788),a
34.9033791,135.7141774,2,京都守口線 (788),a
34.9035223,135.72053,2,新町淀停車場線 (719),a
34.9036816,135.7145618,2,京都守口線 (271),a
34.9036816,135.7145618,2,京都守口線 (271),a
34.9038397,135.7147588,2,京都守口線 (270),a
34.9038397,135.7147588,2,京都守口線 (270),a
34.9039783,135.7149094,2,京都守口線 (269),a
34.9039783,135.7149094,2,京都守口線 (269),a
34.9040919,135.7207263,2,新町淀停車場線 (718),a
