lat,lon,sz,names,len_cat
55.6134258,12.5130841,2,Dæmningsvej (298),a
55.6134258,12.5130841,2,Dæmningsvej (471),a
55.6134745,12.5131726,2,Dæmningsvej (857),a
55.6135155,12.5132546,2,Dæmningsvej (856),a
55.6136251,12.5133902,2,Dæmningsvej (598),a
55.6142068,12.5139857,2,Dæmningsvej (597),a
55.6147068,12.521173,2,Birkedamsvej (431),a
55.6150153,12.5220876,2,Birkedamsvej (432),a
55.6153262,12.5175999,2,Selinevej (465),a
55.6153262,12.5175999,2,Selinevej (465),a
55.6153912,12.5154491,2,Dæmningsvej (392),a
55.6153912,12.5154491,2,Dæmningsvej (392),a
55.6154506,12.52322,2,Birkedamsvej (430),a
55.6154506,12.52322,2,Birkedamsvej (433),a
55.6154506,12.52322,2,Kalvebod Sti (840),a
55.6155576,12.5653202,2,Fælledpromenaden (427),a
55.6155576,12.5653202,2,Fælledpromenaden (427),a
55.6157148,12.5238136,2,Birkedamsvej (429),a
55.6159739,12.5243493,2,Birkedamsvej (428),a
55.6162428,12.5165453,2,Dæmningsvej (715),a
55.6162428,12.5165453,2,Dæmningsvej (715),a
55.6162428,12.5165453,2,Dæmningsvej (716),a
55.6162428,12.5165453,2,Dæmningsvej (716),a
55.616246,12.5656113,2,Fælledpromenaden (939),a
55.616246,12.5656113,2,Fælledpromenaden (939),a
55.6162943,12.5249656,2,Birkedamsvej (427),a
55.61634,12.5672154,2,Else Alfelts Vej (730),a
55.61634,12.5672154,2,Else Alfelts Vej (730),a
55.616408,12.5725932,2,Robert Jacobsens Vej (000),a
55.6164323,12.5722117,2,Robert Jacobsens Vej (999),a
55.6164698,12.5699115,2,Richard Mortensens Vej (198),a
55.6165794,12.5699634,2,Richard Mortensens Vej (197),a
55.6166168,12.5699816,2,Richard Mortensens Vej (196),a
55.6166259,12.5255389,2,Birkedamsvej (426),a
55.6166262,12.5722501,2,Robert Jacobsens Vej (997),a
55.6166262,12.5722501,2,Robert Jacobsens Vej (998),a
55.6166864,12.5674435,2,Else Alfelts Vej (729),a
55.6166864,12.5674435,2,Else Alfelts Vej (729),a
55.6168442,12.570097,2,Richard Mortensens Vej (195),a
55.6168634,12.5200901,2,Selinevej (466),a
55.6170095,12.5261322,2,Birkedamsvej (425),a
55.6171169,12.5677243,2,Else Alfelts Vej (728),a
55.6171812,12.5727712,2,Robert Jacobsens Vej (001),a
55.6172155,12.5702854,2,Richard Mortensens Vej (194),a
55.6173316,12.5703443,2,Richard Mortensens Vej (193),a
55.6174132,12.5728187,2,Robert Jacobsens Vej (002),a
55.6174377,12.572413,2,Robert Jacobsens Vej (996),a
55.6174499,12.5267363,2,Birkedamsvej (424),a
55.6174542,12.5679457,2,Else Alfelts Vej (727),a
55.6174643,12.5704116,2,Richard Mortensens Vej (192),a
55.6176657,12.5661856,2,Fælledpromenaden (940),a
55.6176657,12.5661856,2,Fælledpromenaden (940),a
55.6176741,12.5762236,2,Ørestads Boulevard (378),a
55.6176741,12.5762236,2,Ørestads Boulevard (378),a
55.6176772,12.5705447,2,Richard Mortensens Vej (191),a
55.6176772,12.5705447,2,Richard Mortensens Vej (217),a
55.6176824,12.5760048,2,Ørestads Boulevard (377),a
