lat,lon,sz,names,len_cat
43.7620512,-74.628563,2,Sagamore Road (259),a
43.7620512,-74.628563,2,Sagamore Road (259),a
43.7622263,-74.628529,2,Sagamore Road (263),a
43.7622263,-74.628529,2,Sagamore Road (263),a
43.7625607,-74.628705,2,Sagamore Road (264),a
43.7625607,-74.628705,2,Sagamore Road (264),a
43.7633478,-74.6295963,2,Sagamore Road (265),a
43.7633478,-74.6295963,2,Sagamore Road (265),a
43.7640566,-74.630442,2,Sagamore Road (266),a
43.7640864,-74.6304895,2,Sagamore Road (105),a
43.7641493,-74.63059,2,Sagamore Road (267),a
43.7643511,-74.630708,2,Sagamore Road (268),a
43.7646661,-74.6306194,2,Sagamore Road (269),a
43.7649466,-74.6306671,2,Sagamore Road (057),a
43.7649466,-74.6306671,2,Sagamore Road (058),a
43.7653055,-74.630739,2,Sagamore Road (115),a
43.7656086,-74.631125,2,Sagamore Road (276),a
43.7656374,-74.6319884,2,Sagamore Road (277),a
43.7656941,-74.630889,2,Sagamore Road (275),a
43.7659217,-74.630129,2,Sagamore Road (274),a
43.766055,-74.6287164,2,Sagamore Road (272),a
43.766055,-74.6287164,2,Sagamore Road (272),a
43.7661865,-74.6292863,2,Sagamore Road (273),a
43.7661865,-74.6292863,2,Sagamore Road (273),a
43.7666861,-74.6331074,2,Sagamore Road (278),a
43.7675217,-74.6333392,2,Sagamore Road (279),a
43.7685641,-74.6338172,2,Sagamore Road (280),a
43.7689341,-74.6342377,2,Sagamore Road (281),a
43.7696213,-74.6362027,2,Sagamore Road (282),a
43.7701395,-74.6365431,2,Sagamore Road (106),a
43.7704584,-74.6367526,2,Sagamore Road (283),a
43.7706833,-74.6369296,2,Sagamore Road (112),a
43.7706833,-74.6369296,2,Sagamore Road (114),a
43.7717398,-74.6377611,2,Sagamore Road (014),a
43.7717398,-74.6377611,2,Sagamore Road (014),a
43.7719688,-74.6379386,2,Sagamore Road (015),a
43.7721052,-74.6380449,2,Sagamore Road (113),a
43.7723507,-74.6382364,2,Sagamore Road (016),a
43.7726242,-74.638437,2,Sagamore Road (017),a
43.7727989,-74.6385711,2,Sagamore Road (018),a
43.773761,-74.63876,2,Sagamore Road (019),a
43.7746535,-74.6388184,2,Sagamore Road (020),a
43.7751416,-74.6390544,2,Sagamore Road (021),a
43.7751416,-74.6390544,2,Sagamore Road (021),a
43.7787554,-74.6410092,2,Sagamore Road (022),a
43.7787554,-74.6410092,2,Sagamore Road (022),a
43.779513,-74.6411712,2,Sagamore Road (023),a
43.7801141,-74.6417206,2,Sagamore Road (024),a
43.7803312,-74.7771026,2,Browns Tract Road (099),a
43.7806114,-74.7763756,2,Browns Tract Road (100),a
43.7807985,-74.6418541,2,Sagamore Road (025),a
43.7808498,-74.7751935,2,Browns Tract Road (101),a
43.7811568,-74.7655113,2,Browns Tract Road (106),a
43.7811667,-74.768085,2,Browns Tract Road (105),a
43.7813396,-74.7700265,2,Browns Tract Road (104),a
43.7813396,-74.7700265,2,Browns Tract Road (104),a
43.7814481,-74.7730199,2,Browns Tract Road (102),a
43.7815128,-74.7724715,2,Browns Tract Road (103),a
43.7815456,-74.7637818,2,Browns Tract Road (107),a
43.7815628,-74.7628658,2,Browns Tract Road (108),a
43.7817888,-74.6406981,2,Sagamore Road (026),a
43.782034,-74.7602807,2,Browns Tract Road (109),a
43.782034,-74.7602807,2,Browns Tract Road (109),a
43.7822357,-74.75926,2,Browns Tract Road (110),a
43.7822357,-74.75926,2,Browns Tract Road (110),a
43.7823608,-74.7584515,2,Browns Tract Road (111),a
43.7823608,-74.7584515,2,Browns Tract Road (111),a
43.7824682,-74.7577761,2,Browns Tract Road (112),a
43.7824682,-74.7577761,2,Browns Tract Road (112),a
43.7825169,-74.7563967,2,Browns Tract Road (113),a
43.782658,-74.640331,2,Sagamore Road (027),a
43.7832071,-74.6404073,2,Sagamore Road (028),a
43.7833434,-74.7545519,2,Browns Tract Road (114),a
43.7836424,-74.6409937,2,Sagamore Road (029),a
43.7838878,-74.7534007,2,Browns Tract Road (115),a
43.7846629,-74.751808,2,Browns Tract Road (116),a
43.7850429,-74.7510145,2,Browns Tract Road (117),a
43.7852458,-74.7503479,2,Browns Tract Road (455),a
43.7852458,-74.7503479,2,Browns Tract Road (455),a
43.7853789,-74.7499108,2,Browns Tract Road (118),a
43.7853789,-74.7499108,2,Browns Tract Road (118),a
43.7854787,-74.7495971,2,Browns Tract Road (119),a
43.7854787,-74.7495971,2,Browns Tract Road (119),a
43.7863305,-74.6426266,2,Sagamore Road (030),a
43.7864781,-74.6426888,2,Sagamore Road (031),a
43.786784,-74.6426309,2,Sagamore Road (032),a
43.7870799,-74.6425832,2,Sagamore Road (033),a
43.7874919,-74.6425467,2,Sagamore Road (034),a
43.7881325,-74.642758,2,Sagamore Road (035),a
43.7886432,-74.6428803,2,Sagamore Road (036),a
43.7891083,-74.6431314,2,Sagamore Road (037),a
43.789628,-74.6435316,2,Sagamore Road (038),a
43.790207,-74.6443513,2,Sagamore Road (039),a
43.7904804,-74.6451441,2,Sagamore Road (040),a
43.7907177,-74.6453689,2,Sagamore Road (041),a
43.7925056,-74.6452697,2,Sagamore Road (042),a
43.7973892,-74.6475597,2,Sagamore Road (043),a
43.7974124,-74.6487115,2,Sagamore Road (044),a
43.7976823,-74.649345,2,Sagamore Road (045),a
43.7983045,-74.6499024,2,Sagamore Road (046),a
43.7984753,-74.6500295,2,Sagamore Road (013),a
43.7993472,-74.6498916,2,Sagamore Road (047),a
43.8005599,-74.6496266,2,Sagamore Road (048),a
43.8012711,-74.6496454,2,Sagamore Road (049),a
43.802107,-74.6500483,2,Sagamore Road (050),a
43.8038609,-74.6520851,2,Sagamore Road (051),a
43.8038609,-74.6520851,2,Sagamore Road (051),a
43.8045212,-74.67759,2,State Highway 28 (159),a
43.8047697,-74.6757918,2,State Highway 28 (160),a
43.8047697,-74.6757918,2,State Highway 28 (160),a
43.8050672,-74.6530743,2,Sagamore Road (052),a
43.8056944,-74.6533651,2,Sagamore Road (053),a
43.8057979,-74.6637496,2,State Highway 28 (167),a
43.8057979,-74.6637496,2,State Highway 28 (167),a
43.8058083,-74.6641973,2,State Highway 28 (166),a
43.8058083,-74.6641973,2,State Highway 28 (166),a
43.8058238,-74.6633163,2,State Highway 28 (168),a
43.8058238,-74.6633163,2,State Highway 28 (168),a
43.8058349,-74.6674616,2,State Highway 28 (161),a
43.8059097,-74.6649954,2,State Highway 28 (165),a
43.8059147,-74.6627338,2,State Highway 28 (169),a
43.8059147,-74.6627338,2,State Highway 28 (169),a
43.8059555,-74.6664376,2,State Highway 28 (162),a
43.8059643,-74.6653928,2,State Highway 28 (164),a
43.8059854,-74.6657844,2,State Highway 28 (163),a
43.8060299,-74.6177727,2,State Highway 28 (417),a
43.8060448,-74.6620082,2,State Highway 28 (170),a
43.8060448,-74.6620082,2,State Highway 28 (170),a
43.8060573,-74.6181251,2,State Highway 28 (993),a
43.8060746,-74.6184844,2,State Highway 28 (989),a
43.8061619,-74.6194681,2,State Highway 28 (988),a
43.8061894,-74.6421386,2,State Highway 28 (967),a
43.8062363,-74.6400286,2,State Highway 28 (968),a
43.8062363,-74.6400286,2,State Highway 28 (968),a
43.8062382,-74.6425939,2,State Highway 28 (966),a
43.8062563,-74.6391616,2,State Highway 28 (969),a
43.8062563,-74.6391616,2,State Highway 28 (969),a
43.8062611,-74.6199242,2,State Highway 28 (987),a
43.8062865,-74.6377914,2,State Highway 28 (970),a
43.8062865,-74.6377914,2,State Highway 28 (970),a
43.8062946,-74.6607063,2,State Highway 28 (171),a
43.8063068,-74.6368509,2,State Highway 28 (971),a
43.8063618,-74.6357884,2,State Highway 28 (972),a
43.8063807,-74.6355059,2,State Highway 28 (734),a
43.8063811,-74.6430727,2,State Highway 28 (965),a
43.8064381,-74.6204075,2,State Highway 28 (986),a
43.8064584,-74.6343441,2,State Highway 28 (973),a
43.806593,-74.6323378,2,State Highway 28 (974),a
43.8065937,-74.6591453,2,State Highway 28 (010),a
43.8065937,-74.6591453,2,State Highway 28 (172),a
43.8066057,-74.6434593,2,State Highway 28 (964),a
43.8066664,-74.6310639,2,State Highway 28 (975),a
43.8066748,-74.620855,2,State Highway 28 (985),a
43.8066835,-74.6587363,2,State Highway 28 (011),a
43.8067512,-74.6209991,2,State Highway 28 (416),a
43.8067815,-74.6297724,2,State Highway 28 (976),a
43.8068015,-74.6436984,2,State Highway 28 (963),a
43.8068258,-74.6582723,2,State Highway 28 (012),a
43.8069896,-74.6438494,2,State Highway 28 (962),a
43.8069978,-74.6578326,2,State Highway 28 (013),a
43.8070794,-74.6272223,2,State Highway 28 (977),a
43.8070794,-74.6272223,2,State Highway 28 (977),a
43.80714,-74.6541703,2,Sagamore Road (054),a
43.8071486,-74.6217487,2,State Highway 28 (984),a
43.8072093,-74.6574018,2,State Highway 28 (014),a
43.8072155,-74.6439908,2,State Highway 28 (961),a
43.8073096,-74.6221289,2,State Highway 28 (983),a
43.807392,-74.6245463,2,State Highway 28 (978),a
43.8074161,-74.6224747,2,State Highway 28 (982),a
43.8074544,-74.6239276,2,State Highway 28 (979),a
43.8074733,-74.6228507,2,State Highway 28 (981),a
43.8075063,-74.623302,2,State Highway 28 (980),a
43.8078753,-74.6561899,2,State Highway 28 (015),a
43.8079213,-74.6442056,2,State Highway 28 (959),a
43.8079421,-74.6546343,2,Sagamore Road (055),a
43.8085104,-74.6549798,2,County Road 2 (620),a
43.8085104,-74.6549798,2,Sagamore Road (056),a
43.8085104,-74.6549798,2,State Highway 28 (016),a
43.8085937,-74.7064203,2,Sucker Brook Bay Trail (472),a
