lat,lon,sz,names,len_cat
40.693156,-74.0195461,2,Craig Road North (313),a
40.693156,-74.0195461,2,Craig Road North (910),a
40.6931612,-74.0188101,2,Carder Road (066),a
40.6931612,-74.0188101,2,Carder Road (669),a
40.6931612,-74.0188101,2,Craig Road North (318),a
40.6931612,-74.0188101,2,Craig Road North (915),a
40.6931612,-74.0188101,2,Hay Road (697),a
40.6931612,-74.0188101,2,Hay Road (740),a
40.693169,-74.0186681,2,Carder Road (067),a
40.693169,-74.0186681,2,Carder Road (670),a
40.6931772,-74.0191086,2,Craig Road North (317),a
40.6931772,-74.0191086,2,Craig Road North (914),a
40.6931781,-74.0194425,2,Craig Road North (314),a
40.6931781,-74.0194425,2,Craig Road North (911),a
40.6931862,-74.0193601,2,Craig Road North (315),a
40.6931862,-74.0193601,2,Craig Road North (912),a
40.6931862,-74.019222,2,Craig Road North (316),a
40.6931862,-74.019222,2,Craig Road North (913),a
40.6931962,-74.0170305,2,Carder Road (073),a
40.6931962,-74.0170305,2,Carder Road (676),a
40.6932526,-74.0171288,2,Carder Road (072),a
40.6932526,-74.0171288,2,Carder Road (675),a
40.6932556,-74.0175141,2,Carder Road (069),a
40.6932556,-74.0175141,2,Carder Road (672),a
40.6932667,-74.0172776,2,Carder Road (070),a
40.6932667,-74.0172776,2,Carder Road (673),a
40.6932687,-74.0172032,2,Carder Road (071),a
40.6932687,-74.0172032,2,Carder Road (674),a
40.6983002,-74.0003334,2,Pier 3 Plaza (241),a
40.6983002,-74.0003334,2,Pier 3 Plaza (241),a
40.6983022,-74.0004621,2,Pier 3 Plaza (248),a
40.6983022,-74.0004621,2,Pier 3 Plaza (248),a
40.6983201,-74.0002642,2,Pier 3 Plaza (253),a
40.6983201,-74.0002642,2,Pier 3 Plaza (253),a
40.6983287,-74.0002341,2,Pier 3 Plaza (247),a
40.6983287,-74.0002341,2,Pier 3 Plaza (247),a
40.6983616,-74.0005007,2,Pier 3 Plaza (254),a
40.6983616,-74.0005007,2,Pier 3 Plaza (254),a
40.6983754,-74.0001456,2,Pier 3 Plaza (246),a
40.6983754,-74.0001456,2,Pier 3 Plaza (246),a
40.6984344,-74.000548,2,Pier 3 Plaza (249),a
40.6984344,-74.000548,2,Pier 3 Plaza (249),a
40.6984405,-74.0001617,2,Pier 3 Plaza (245),a
40.6984405,-74.0001617,2,Pier 3 Plaza (245),a
40.698469,-74.0005345,2,Pier 3 Plaza (250),a
40.698469,-74.0005345,2,Pier 3 Plaza (250),a
40.698473,-74.0001349,2,Pier 3 Plaza (244),a
40.698473,-74.0001349,2,Pier 3 Plaza (244),a
40.6984974,-74.0005024,2,Pier 3 Plaza (251),a
40.6984974,-74.0005024,2,Pier 3 Plaza (251),a
40.69853,-74.0005292,2,Pier 3 Plaza (252),a
40.69853,-74.0005292,2,Pier 3 Plaza (252),a
40.6986032,-74.0002073,2,Pier 3 Plaza (243),a
40.6986032,-74.0002073,2,Pier 3 Plaza (243),a
40.6986265,-74.0002734,2,Pier 3 Plaza (255),a
40.6986265,-74.0002734,2,Pier 3 Plaza (255),a
40.6986845,-74.000438,2,Pier 3 Plaza (242),a
40.6986845,-74.000438,2,Pier 3 Plaza (242),a
40.7017678,-74.0112425,2,South Street (677),a
40.7017678,-74.0112425,2,South Street (677),a
40.7017865,-74.0111627,2,South Street (184),a
40.7017865,-74.0111627,2,South Street (184),a
40.7018231,-73.9976686,2,Granite Prospect (620),a
40.7018547,-73.9976227,2,Granite Prospect (608),a
40.7018881,-73.9975714,2,Granite Prospect (621),a
40.7019179,-73.9975211,2,Granite Prospect (609),a
40.7019408,-73.9974773,2,Granite Prospect (622),a
40.7019635,-73.9974178,2,Granite Prospect (610),a
40.7019808,-73.9973582,2,Granite Prospect (611),a
40.701993,-73.9973065,2,Granite Prospect (623),a
40.7020006,-73.9972571,2,Granite Prospect (612),a
40.7020037,-73.9971935,2,Granite Prospect (624),a
40.7020042,-73.9972074,2,Granite Prospect (619),a
40.7020424,-73.9971681,2,Granite Prospect (607),a
40.7020527,-73.997161,2,Granite Prospect (618),a
40.7020654,-73.9972073,2,Granite Prospect (615),a
40.7020753,-73.9974099,2,Granite Prospect (617),a
40.7020767,-73.9972717,2,Granite Prospect (616),a
40.7020844,-73.9973296,2,Granite Prospect (614),a
40.7020912,-73.9973936,2,Granite Prospect (613),a
40.704373,-74.0110975,2,South William Street (267),a
40.704373,-74.0110975,2,South William Street (267),a
40.704373,-74.0110975,2,South William Street (958),a
40.704373,-74.0110975,2,South William Street (958),a
40.7044117,-74.0109866,2,South William Street (012),a
40.7044117,-74.0109866,2,South William Street (012),a
40.7044117,-74.0109866,2,South William Street (654),a
40.7044117,-74.0109866,2,South William Street (654),a
40.7044574,-74.0108704,2,South William Street (269),a
40.7044574,-74.0108704,2,South William Street (960),a
40.7045137,-74.0107536,2,South William Street (203),a
40.7045137,-74.0107536,2,South William Street (915),a
40.704541,-74.010697,2,South William Street (270),a
40.704541,-74.010697,2,South William Street (961),a
40.704641,-74.010513,2,South William Street (271),a
40.704641,-74.010513,2,South William Street (962),a
40.7046785,-74.012555,2,Marketfield Street (140),a
