lat,lon,sz,names,len_cat,street,street_nodes,street_id,node_id,source_city,source_city_id
43.8086361,-79.3987321,2,Bayview Avenue (623),a,Bayview Avenue,257,5369013,560026623,Markham,37680
43.8096174,-79.3989968,2,Bayview Avenue (482),a,Bayview Avenue,257,5369013,328294482,Markham,37680
43.8171856,-79.3365226,2,Esna Park Drive (781),a,Esna Park Drive,161,5368988,91819781,Markham,37680
43.8172515,-79.3366074,2,Esna Park Drive (772),a,Esna Park Drive,161,5368988,91819772,Markham,37680
43.8172515,-79.3366074,2,Esna Park Drive (774),a,Esna Park Drive,161,5368988,91819774,Markham,37680
43.8172515,-79.3366074,2,Esna Park Drive (783),a,Esna Park Drive,161,5368988,91819783,Markham,37680
43.8174712,-79.4008314,2,Bayview Avenue (659),a,Bayview Avenue,257,5369013,361370659,Markham,37680
43.8176162,-79.3367319,2,Esna Park Drive (765),a,Esna Park Drive,161,5368988,91819765,Markham,37680
43.8176162,-79.3367319,2,Esna Park Drive (773),a,Esna Park Drive,161,5368988,91819773,Markham,37680
43.8177972,-79.3367654,2,Esna Park Drive (767),a,Esna Park Drive,161,5368988,91819767,Markham,37680
43.817967,-79.3367631,2,Esna Park Drive (768),a,Esna Park Drive,161,5368988,91819768,Markham,37680
43.8181223,-79.3367279,2,Esna Park Drive (769),a,Esna Park Drive,161,5368988,91819769,Markham,37680
43.8181499,-79.4009878,2,Bayview Avenue (551),a,Bayview Avenue,257,5369013,93044551,Markham,37680
43.8181499,-79.4009878,2,Bayview Avenue (566),a,Bayview Avenue,257,5369013,93044566,Markham,37680
43.8181499,-79.4009878,2,Bayview Avenue (669),a,Bayview Avenue,257,5369013,93044669,Markham,37680
43.8182053,-79.4010926,2,Bayview Avenue (564),a,Bayview Avenue,257,5369013,93044564,Markham,37680
43.8182219,-79.4009372,2,Bayview Avenue (552),a,Bayview Avenue,257,5369013,93044552,Markham,37680
43.8182794,-79.3366789,2,Esna Park Drive (770),a,Esna Park Drive,161,5368988,91819770,Markham,37680
43.8183973,-79.3366247,2,Esna Park Drive (771),a,Esna Park Drive,161,5368988,91819771,Markham,37680
43.8183973,-79.3366247,2,Esna Park Drive (805),a,Esna Park Drive,161,5368988,91819805,Markham,37680
43.8185539,-79.3365186,2,Esna Park Drive (806),a,Esna Park Drive,161,5368988,91819806,Markham,37680
43.8185622,-79.3298268,2,Ferrier Street (111),a,Ferrier Street,47,5369355,98382111,Markham,37680
43.8186845,-79.3363979,2,Esna Park Drive (692),a,Esna Park Drive,161,5368988,328297692,Markham,37680
43.8191541,-79.3301003,2,Ferrier Street (112),a,Ferrier Street,47,5369355,98382112,Markham,37680
43.8191757,-79.3265422,2,Acadia Avenue (346),a,Acadia Avenue,16,5369780,328291346,Markham,37680
43.8192979,-79.3265901,2,Acadia Avenue (955),a,Acadia Avenue,16,5369780,99423955,Markham,37680
43.8193434,-79.326601,2,Acadia Avenue (956),a,Acadia Avenue,16,5369780,99423956,Markham,37680
43.819357,-79.3357046,2,Esna Park Drive (693),a,Esna Park Drive,161,5368988,328297693,Markham,37680
43.8195167,-79.3355852,2,Esna Park Drive (807),a,Esna Park Drive,161,5368988,91819807,Markham,37680
43.8196446,-79.3266842,2,Acadia Avenue (957),a,Acadia Avenue,16,5369780,99423957,Markham,37680
43.8196599,-79.3354914,2,Esna Park Drive (694),a,Esna Park Drive,161,5368988,328297694,Markham,37680
