lat,lon,sz,names,len_cat
44.0211038,-79.5002583,2,Bathurst Street (635),a
44.0212884,-79.5001759,2,Bathurst Street (203),a
44.0212884,-79.5001759,2,Old Bathurst Street (037),a
44.0213463,-79.500373,2,Old Bathurst Street (287),a
44.0215501,-79.5000218,2,Bathurst Street (207),a
44.0216048,-79.4999878,2,Bathurst Street (213),a
44.0218121,-79.499859,2,Bathurst Street (204),a
44.0222191,-79.4995233,2,Bathurst Street (208),a
44.0228439,-79.4989801,2,Bathurst Street (209),a
44.0229435,-79.4754872,2,Bennington Road (221),a
44.0229435,-79.4754872,2,Laplante Street (468),a
44.0229469,-79.475437,2,Bennington Road (220),a
44.0229523,-79.475518,2,Laplante Street (467),a
44.0229799,-79.4755569,2,Laplante Street (466),a
44.0230141,-79.4755942,2,Laplante Street (465),a
44.0231795,-79.498685,2,Bathurst Street (210),a
44.0232349,-79.4757818,2,Connecticut Lane (452),a
44.0232374,-79.4757721,2,Connecticut Lane (451),a
44.0232374,-79.4757721,2,Laplante Street (464),a
44.023394,-79.4733917,2,Bennington Road (747),a
44.0234322,-79.4731418,2,Bennington Road (748),a
44.0234322,-79.4731418,2,Yonge Street (566),a
44.0235417,-79.4760145,2,Laplante Street (463),a
44.0235607,-79.4760297,2,Laplante Street (462),a
44.0235607,-79.4760297,2,Vermont Avenue (424),a
44.0235768,-79.4983149,2,Bathurst Street (205),a
44.0237326,-79.475298,2,New England Court (425),a
44.0237326,-79.475298,2,Vermont Avenue (222),a
44.0237584,-79.4737325,2,Connecticut Lane (450),a
44.0237874,-79.4737066,2,Connecticut Lane (449),a
44.0237874,-79.4737066,2,Connecticut Lane (457),a
44.0238194,-79.473698,2,Connecticut Lane (456),a
44.0238601,-79.4736998,2,Connecticut Lane (455),a
44.0238601,-79.4736998,2,Connecticut Lane (455),a
44.0239249,-79.4720414,2,Widdifield Avenue (319),a
44.0239249,-79.4720414,2,Widdifield Avenue (319),a
44.0240256,-79.4721636,2,Widdifield Avenue (321),a
44.0240256,-79.4721636,2,Widdifield Avenue (321),a
44.024032,-79.4764052,2,Laplante Street (461),a
44.0240859,-79.477273,2,New England Court (439),a
44.0241139,-79.477254,2,New England Court (438),a
44.0241147,-79.473754,2,Connecticut Lane (454),a
44.0241147,-79.473754,2,Connecticut Lane (454),a
44.0241147,-79.473754,2,Kalinda Road (962),a
44.0241147,-79.473754,2,Kalinda Road (962),a
44.0241147,-79.473754,2,Vermont Avenue (155),a
44.0241147,-79.473754,2,Vermont Avenue (155),a
44.0241166,-79.4722362,2,Widdifield Avenue (322),a
44.0241166,-79.4722362,2,Widdifield Avenue (322),a
44.0241329,-79.477237,2,New England Court (437),a
44.0241499,-79.477218,2,New England Court (436),a
44.0241659,-79.477197,2,New England Court (435),a
44.0241809,-79.477173,2,New England Court (434),a
44.0241939,-79.477149,2,New England Court (433),a
44.0242059,-79.477122,2,New England Court (432),a
44.0242159,-79.477095,2,New England Court (431),a
44.0242239,-79.477066,2,New England Court (430),a
44.024298,-79.4723313,2,Widdifield Avenue (323),a
44.024298,-79.4723313,2,Widdifield Avenue (323),a
44.024329,-79.4765306,2,Laplante Street (460),a
44.024329,-79.4765306,2,New England Court (429),a
44.0244324,-79.4756558,2,New England Court (426),a
44.0244696,-79.4723768,2,Widdifield Avenue (324),a
44.0244696,-79.4723768,2,Widdifield Avenue (324),a
44.0244907,-79.4758384,2,New England Court (428),a
44.0244907,-79.4757314,2,New England Court (427),a
44.0245073,-79.471153,2,Foxtail Ridge (882),a
44.0245236,-79.4710278,2,Foxtail Ridge (883),a
44.0245443,-79.471227,2,Foxtail Ridge (881),a
44.0245579,-79.4709022,2,Foxtail Ridge (884),a
44.0245698,-79.4746874,2,Isaac Phillips Way (421),a
44.0245743,-79.4746003,2,Isaac Phillips Way (422),a
44.0245906,-79.4747561,2,Isaac Phillips Way (420),a
44.0246169,-79.471275,2,Foxtail Ridge (880),a
44.0246257,-79.47479,2,Isaac Phillips Way (419),a
44.0246773,-79.4748101,2,Isaac Phillips Way (418),a
44.0247124,-79.4738941,2,Isaac Phillips Way (423),a
44.0247124,-79.4738941,2,Kalinda Road (400),a
44.0247124,-79.4738941,2,Kalinda Road (960),a
44.0247276,-79.4701242,2,Foxtail Ridge (885),a
44.0249,-79.47739,2,Oaktree Crescent (013),a
44.02491,-79.47746,2,Oaktree Crescent (012),a
44.02491,-79.47746,2,Oaktree Crescent (997),a
44.02493,-79.4775,2,Oaktree Crescent (996),a
44.0249303,-79.4724898,2,Widdifield Avenue (325),a
44.0249303,-79.4724898,2,Widdifield Avenue (325),a
44.02497,-79.47754,2,Oaktree Crescent (995),a
44.02497,-79.4771,2,Oaktree Crescent (014),a
44.0250205,-79.4724999,2,Widdifield Avenue (326),a
44.0250205,-79.4724999,2,Widdifield Avenue (326),a
44.0250329,-79.4687188,2,Foxtail Ridge (886),a
44.0250891,-79.4685091,2,Foxtail Ridge (887),a
44.02509,-79.47759,2,Oaktree Crescent (994),a
44.0250926,-79.4725106,2,Widdifield Avenue (327),a
44.0250926,-79.4725106,2,Widdifield Avenue (327),a
44.0250985,-79.4968557,2,Bathurst Street (211),a
44.0250985,-79.4968557,2,Bathurst Street (211),a
44.0251168,-79.4748688,2,Isaac Phillips Way (385),a
44.0251168,-79.4748688,2,Isaac Phillips Way (500),a
44.0251272,-79.468367,2,Foxtail Ridge (888),a
44.0251373,-79.4724845,2,Widdifield Avenue (328),a
44.0251373,-79.4724845,2,Widdifield Avenue (328),a
44.025164,-79.4724588,2,Widdifield Avenue (329),a
44.025164,-79.4724588,2,Widdifield Avenue (329),a
44.0251657,-79.4776303,2,Oaktree Crescent (993),a
44.0251991,-79.4723955,2,Widdifield Avenue (330),a
44.0251991,-79.4723955,2,Widdifield Avenue (330),a
44.0252329,-79.4681896,2,Foxtail Ridge (889),a
44.02524,-79.47767,2,Oaktree Crescent (992),a
44.02524,-79.47591,2,Oaktree Crescent (015),a
44.0252593,-79.471552,2,Foxtail Ridge (790),a
44.0252593,-79.471552,2,Foxtail Ridge (790),a
44.0252637,-79.4739936,2,Kalinda Road (156),a
44.0252637,-79.4739936,2,Kalinda Road (401),a
44.02527,-79.47585,2,Oaktree Crescent (016),a
44.02527,-79.47585,2,Oaktree Crescent (998),a
44.02532,-79.47581,2,Oaktree Crescent (999),a
44.0253685,-79.4715926,2,Foxtail Ridge (879),a
44.0253685,-79.4715926,2,Foxtail Ridge (879),a
44.0253685,-79.4715926,2,Widdifield Avenue (331),a
44.0253685,-79.4715926,2,Widdifield Avenue (331),a
44.0253685,-79.4715926,2,Widdifield Avenue (332),a
44.0253685,-79.4715926,2,Widdifield Avenue (332),a
44.0253929,-79.4680357,2,Foxtail Ridge (890),a
44.0254157,-79.4749285,2,Isaac Phillips Way (501),a
44.02542,-79.47583,2,Oaktree Crescent (000),a
44.0254939,-79.4735963,2,Yonge Street (049),a
44.0254939,-79.4735963,2,Yonge Street (064),a
44.0256,-79.47788,2,Oaktree Crescent (991),a
44.0256365,-79.4964239,2,Bathurst Street (212),a
44.0256365,-79.4964239,2,Bathurst Street (212),a
44.0256468,-79.4701879,2,Cassie Road (808),a
44.0256468,-79.4701879,2,Widdifield Avenue (306),a
44.0256468,-79.4701879,2,Widdifield Avenue (333),a
44.0257,-79.47688,2,Oaktree Crescent (007),a
44.0257,-79.4768,2,Oaktree Crescent (006),a
44.0257113,-79.4702125,2,Cassie Road (932),a
44.02572,-79.47695,2,Oaktree Crescent (008),a
44.0257568,-79.4730301,2,Caribou Valley Circle (590),a
44.0257568,-79.4730301,2,Caribou Valley Circle (590),a
44.02576,-79.47702,2,Oaktree Crescent (009),a
44.0257648,-79.472955,2,Caribou Valley Circle (591),a
44.0257648,-79.472955,2,Caribou Valley Circle (591),a
44.0257649,-79.474098,2,Kalinda Road (160),a
44.025767,-79.4749962,2,Isaac Phillips Way (502),a
44.025767,-79.4749962,2,Isaac Phillips Way (503),a
44.025767,-79.4749962,2,Kalinda Road (181),a
44.02577,-79.47649,2,Oaktree Crescent (005),a
44.0257757,-79.473092,2,Caribou Valley Circle (589),a
44.0257757,-79.473092,2,Caribou Valley Circle (589),a
44.0257902,-79.4728296,2,Caribou Valley Circle (592),a
44.0257902,-79.4728296,2,Caribou Valley Circle (592),a
44.0257925,-79.4748168,2,Kalinda Road (685),a
44.0258005,-79.4741185,2,Kalinda Road (163),a
44.0258123,-79.4731409,2,Caribou Valley Circle (588),a
44.0258123,-79.4731409,2,Caribou Valley Circle (588),a
44.0258142,-79.47465,2,Kalinda Road (177),a
44.02583,-79.47593,2,Oaktree Crescent (001),a
44.0258356,-79.4744933,2,Kalinda Road (684),a
44.0258361,-79.4741632,2,Kalinda Road (167),a
44.0258397,-79.4731652,2,Caribou Valley Circle (587),a
44.0258397,-79.4731652,2,Caribou Valley Circle (587),a
44.0258526,-79.4742259,2,Kalinda Road (170),a
44.025853,-79.4743027,2,Kalinda Road (173),a
44.02586,-79.47597,2,Oaktree Crescent (002),a
44.0258757,-79.496263,2,Bathurst Street (202),a
44.0258757,-79.496263,2,Bathurst Street (202),a
44.02588,-79.47711,2,Oaktree Crescent (010),a
44.02588,-79.47609,2,Oaktree Crescent (004),a
44.02588,-79.47603,2,Oaktree Crescent (003),a
44.0258848,-79.4731765,2,Caribou Valley Circle (586),a
44.0258848,-79.4731765,2,Caribou Valley Circle (586),a
44.0258925,-79.4676984,2,Foxtail Ridge (891),a
44.0258925,-79.4676984,2,Foxtail Ridge (893),a
44.0258925,-79.4676984,2,Widdifield Avenue (317),a
44.0258936,-79.4691209,2,Widdifield Avenue (309),a
44.0259173,-79.4722398,2,Caribou Valley Circle (557),a
44.0259173,-79.4722398,2,Caribou Valley Circle (557),a
44.0259173,-79.4722398,2,Caribou Valley Circle (593),a
44.0259173,-79.4722398,2,Caribou Valley Circle (593),a
44.0259173,-79.4722398,2,Caribou Valley Circle (859),a
44.0259173,-79.4722398,2,Caribou Valley Circle (859),a
44.0259302,-79.4677981,2,Widdifield Avenue (703),a
44.025957,-79.4731871,2,Caribou Valley Circle (585),a
44.025957,-79.4731871,2,Caribou Valley Circle (585),a
44.02596,-79.4781,2,Oaktree Crescent (990),a
44.0259762,-79.4678959,2,Widdifield Avenue (316),a
44.0259767,-79.4719638,2,Caribou Valley Circle (558),a
44.0259767,-79.4719638,2,Caribou Valley Circle (558),a
44.0259867,-79.4686818,2,Widdifield Avenue (311),a
44.0260235,-79.4680694,2,Widdifield Avenue (315),a
44.0260278,-79.4717503,2,Caribou Valley Circle (559),a
44.0260278,-79.4717503,2,Caribou Valley Circle (559),a
44.0260382,-79.4684933,2,Widdifield Avenue (312),a
44.02604,-79.47814,2,Oaktree Crescent (989),a
44.0260435,-79.4750794,2,Isaac Phillips Way (504),a
44.0260466,-79.470378,2,Cassie Road (810),a
44.0260527,-79.4682309,2,Widdifield Avenue (314),a
44.0260544,-79.4683556,2,Widdifield Avenue (313),a
44.0260563,-79.4732095,2,Caribou Valley Circle (584),a
44.0260563,-79.4732095,2,Caribou Valley Circle (584),a
44.0260564,-79.4716045,2,Caribou Valley Circle (560),a
44.0260564,-79.4716045,2,Caribou Valley Circle (560),a
44.0260868,-79.4714493,2,Caribou Valley Circle (561),a
44.0260868,-79.4714493,2,Caribou Valley Circle (561),a
44.026121,-79.4713112,2,Caribou Valley Circle (562),a
44.026121,-79.4713112,2,Caribou Valley Circle (562),a
44.0261468,-79.4712232,2,Caribou Valley Circle (563),a
44.0261535,-79.4737436,2,Yonge Street (047),a
44.0261535,-79.4737436,2,Yonge Street (048),a
44.0261535,-79.4737436,2,Yonge Street (058),a
44.0261604,-79.4675293,2,Foxtail Ridge (894),a
