lat,lon,sz,names,len_cat
43.7152545,-79.5369168,2,Weston Road (136),a
43.7152545,-79.5369168,2,Weston Road (627),a
43.7152545,-79.5369168,2,Weston Road (962),a
43.7158119,-79.5073411,2,Jane Street (400),a
43.7158119,-79.5073411,2,Jane Street (752),a
43.716146,-79.537333,2,Weston Road (178),a
43.716146,-79.537333,2,Weston Road (636),a
43.716146,-79.537333,2,Weston Road (961),a
43.7167905,-79.5376535,2,Weston Road (177),a
43.7167905,-79.5376535,2,Weston Road (177),a
43.7167905,-79.5376535,2,Weston Road (635),a
43.7167905,-79.5376535,2,Weston Road (635),a
43.717537,-79.5379282,2,Weston Road (175),a
43.717537,-79.5379282,2,Weston Road (633),a
43.7179124,-79.5379531,2,Weston Road (174),a
43.7179124,-79.5379531,2,Weston Road (632),a
43.7180236,-79.5379237,2,Weston Road (109),a
43.7180236,-79.5379237,2,Weston Road (173),a
43.7180236,-79.5379237,2,Weston Road (610),a
43.7180236,-79.5379237,2,Weston Road (631),a
43.7253753,-79.3084387,2,Eglinton Avenue East (117),a
43.7253753,-79.3084387,2,Eglinton Avenue East (117),a
43.7255345,-79.3094711,2,Eglinton Avenue East (473),a
43.7257078,-79.3105831,2,Eglinton Avenue East (118),a
43.7257152,-79.3106394,2,Eglinton Avenue East (119),a
43.725924,-79.3119627,2,Eglinton Avenue East (120),a
43.725924,-79.3119627,2,Eglinton Avenue East (553),a
43.7260475,-79.3127347,2,Eglinton Avenue East (093),a
43.7260475,-79.3127347,2,Eglinton Avenue East (554),a
43.7291242,-79.5070346,2,Peacham Crescent (026),a
43.7291242,-79.5070346,2,Peacham Crescent (901),a
43.7291247,-79.5070718,2,Peacham Crescent (027),a
43.7291247,-79.5070718,2,Peacham Crescent (902),a
43.7291253,-79.5071214,2,Peacham Crescent (028),a
43.7291253,-79.5071214,2,Peacham Crescent (903),a
43.729135,-79.5071709,2,Peacham Crescent (029),a
43.729135,-79.5071709,2,Peacham Crescent (904),a
43.7291443,-79.5071955,2,Peacham Crescent (030),a
43.7291443,-79.5071955,2,Peacham Crescent (905),a
43.7291591,-79.5069468,2,Peacham Crescent (025),a
43.7291591,-79.5069468,2,Peacham Crescent (900),a
43.7291807,-79.5072194,2,Peacham Crescent (031),a
43.7291807,-79.5072194,2,Peacham Crescent (906),a
43.729194,-79.506859,2,Peacham Crescent (024),a
43.729194,-79.506859,2,Peacham Crescent (899),a
43.729202,-79.5067843,2,Peacham Crescent (023),a
43.729202,-79.5067843,2,Peacham Crescent (898),a
43.7292168,-79.5072309,2,Peacham Crescent (032),a
43.7292168,-79.5072309,2,Peacham Crescent (907),a
43.729219,-79.5067094,2,Peacham Crescent (022),a
43.729219,-79.5067094,2,Peacham Crescent (897),a
43.7292888,-79.5072291,2,Peacham Crescent (033),a
43.7292888,-79.5072291,2,Peacham Crescent (908),a
43.729352,-79.50724,2,Peacham Crescent (034),a
43.729352,-79.50724,2,Peacham Crescent (909),a
43.7293857,-79.5102359,2,Exbury Road (761),a
43.7293857,-79.5102359,2,Exbury Road (853),a
43.7294065,-79.5058977,2,Peacham Crescent (021),a
43.7294065,-79.5058977,2,Peacham Crescent (037),a
43.7294065,-79.5058977,2,Peacham Crescent (896),a
43.7294065,-79.5058977,2,Peacham Crescent (912),a
43.7294065,-79.5058977,2,Sherman Court (254),a
43.7294065,-79.5058977,2,Sherman Court (290),a
43.7294351,-79.5100965,2,Exbury Road (762),a
43.7294351,-79.5100965,2,Exbury Road (854),a
43.7295059,-79.5099208,2,Exbury Road (763),a
43.7295059,-79.5099208,2,Exbury Road (855),a
43.7295661,-79.5108154,2,Jane Street (141),a
43.7295661,-79.5108154,2,Jane Street (500),a
43.7295993,-79.5106797,2,Jane Street (064),a
43.7295993,-79.5106797,2,Jane Street (337),a
43.7296073,-79.5097189,2,Exbury Road (764),a
43.7296073,-79.5097189,2,Exbury Road (856),a
43.7296452,-79.5048736,2,Peacham Crescent (038),a
43.7296452,-79.5048736,2,Peacham Crescent (913),a
43.7296529,-79.5047741,2,Peacham Crescent (039),a
43.7296529,-79.5047741,2,Peacham Crescent (914),a
43.7296699,-79.5046991,2,Peacham Crescent (040),a
43.7296699,-79.5046991,2,Peacham Crescent (915),a
43.7296864,-79.5107871,2,Jane Street (065),a
43.7296864,-79.5107871,2,Jane Street (140),a
43.7296864,-79.5107871,2,Jane Street (230),a
43.7296864,-79.5107871,2,Jane Street (338),a
43.7296864,-79.5107871,2,Jane Street (499),a
43.7296968,-79.504686,2,Peacham Crescent (041),a
43.7296968,-79.504686,2,Peacham Crescent (916),a
43.7297328,-79.5046852,2,Peacham Crescent (042),a
43.7297328,-79.5046852,2,Peacham Crescent (917),a
43.7297783,-79.5047213,2,Peacham Crescent (043),a
43.7297783,-79.5047213,2,Peacham Crescent (918),a
43.729805,-79.506074,2,Sherman Court (255),a
43.729805,-79.506074,2,Sherman Court (291),a
43.7298327,-79.5047572,2,Peacham Crescent (044),a
43.7298327,-79.5047572,2,Peacham Crescent (919),a
43.7298676,-79.5074258,2,Peacham Crescent (035),a
43.7298676,-79.5074258,2,Peacham Crescent (910),a
43.729878,-79.5091734,2,Exbury Road (194),a
43.729878,-79.5091734,2,Exbury Road (894),a
43.7298793,-79.5108327,2,Jane Street (110),a
43.7298793,-79.5108327,2,Jane Street (178),a
43.7298793,-79.5108327,2,Jane Street (198),a
43.7298793,-79.5108327,2,Jane Street (257),a
43.7299077,-79.5091135,2,Exbury Road (765),a
43.7299077,-79.5091135,2,Exbury Road (857),a
43.7299586,-79.5090006,2,Exbury Road (766),a
43.7299586,-79.5090006,2,Exbury Road (858),a
43.7299856,-79.5089007,2,Exbury Road (767),a
43.7299856,-79.5089007,2,Exbury Road (859),a
43.7300183,-79.5087481,2,Exbury Road (768),a
