lat,lon,sz,names,len_cat,street,street_nodes,street_id,node_id,source_city,source_city_id
43.6483816,-79.4571561,2,Constance Street (907),a,Constance Street,22,5470285,579785907,Old Toronto,38121
43.6483816,-79.4571561,2,Constance Street (913),a,Constance Street,22,5470285,579785913,Old Toronto,38121
43.648467,-79.4567236,2,Constance Street (912),a,Constance Street,22,5470285,579785912,Old Toronto,38121
43.6529049,-79.412769,2,Love You More Lane (706),a,Love You More Lane,6,24897842,611920706,Old Toronto,38121
43.6532105,-79.4128953,2,Love You More Lane (707),a,Love You More Lane,6,24897842,611920707,Old Toronto,38121
43.6648832,-79.3464157,2,West Avenue (680),a,West Avenue,8,5469222,611924680,Old Toronto,38121
43.6711794,-79.2911107,2,Avion Avenue (079),a,Avion Avenue,7,5470779,611919079,Old Toronto,38121
43.6727043,-79.4555092,2,Rutland Street (638),a,Rutland Street,9,5471152,611919638,Old Toronto,38121
43.6747605,-79.3892312,2,Frichot Avenue (955),a,Frichot Avenue,6,5469390,611918955,Old Toronto,38121
43.6760158,-79.4627889,2,Chambers Avenue (687),a,Chambers Avenue,13,5471136,579785687,Old Toronto,38121
43.6760315,-79.4628047,2,Chambers Avenue (686),a,Chambers Avenue,13,5471136,579785686,Old Toronto,38121
43.6760943,-79.4628305,2,Chambers Avenue (685),a,Chambers Avenue,13,5471136,579785685,Old Toronto,38121
43.6791699,-79.4594837,2,Prescott Avenue (983),a,Prescott Avenue,31,5470682,579787983,Old Toronto,38121
43.6794083,-79.4595862,2,Prescott Avenue (982),a,Prescott Avenue,31,5470682,579787982,Old Toronto,38121
43.6794673,-79.4596116,2,Prescott Avenue (137),a,Prescott Avenue,31,5470682,473726137,Old Toronto,38121
43.6796638,-79.4596961,2,Prescott Avenue (981),a,Prescott Avenue,31,5470682,579787981,Old Toronto,38121
43.6798598,-79.4597804,2,Prescott Avenue (980),a,Prescott Avenue,31,5470682,579787980,Old Toronto,38121
43.6801935,-79.4348247,2,Robina Avenue (227),a,Robina Avenue,5,5470188,579788227,Old Toronto,38121
43.6886069,-79.398882,2,Deer Park Crescent (875),a,Deer Park Crescent,22,5469765,99901875,Old Toronto,38121
43.6888454,-79.3989096,2,Deer Park Crescent (038),a,Deer Park Crescent,22,5469765,579786038,Old Toronto,38121
43.6889741,-79.3989087,2,Deer Park Crescent (039),a,Deer Park Crescent,22,5469765,579786039,Old Toronto,38121
43.7020955,-79.3836642,2,Belle Ayre Boulevard (627),a,Belle Ayre Boulevard,6,5469821,611922627,Old Toronto,38121
43.7034988,-79.3768115,2,Le May Road (156),a,Le May Road,7,5469790,611921156,Old Toronto,38121
43.7038179,-79.404246,2,Eastbourne Avenue (853),a,Eastbourne Avenue,20,5469735,611923853,Old Toronto,38121
43.7045075,-79.4045186,2,Eastbourne Avenue (854),a,Eastbourne Avenue,20,5469735,611923854,Old Toronto,38121
43.7049859,-79.4047077,2,Eastbourne Avenue (855),a,Eastbourne Avenue,20,5469735,611923855,Old Toronto,38121
43.7115803,-79.3845522,2,Fairfield Road (308),a,Fairfield Road,11,5470231,611922308,Old Toronto,38121
43.7116214,-79.3843434,2,Fairfield Road (309),a,Fairfield Road,11,5470231,611922309,Old Toronto,38121
43.7280502,-79.4006361,2,Ranleigh Avenue (653),a,Ranleigh Avenue,21,5470409,611921653,Old Toronto,38121
43.7281426,-79.4001976,2,Ranleigh Avenue (652),a,Ranleigh Avenue,21,5470409,611921652,Old Toronto,38121
43.7285248,-79.3983071,2,Ranleigh Avenue (651),a,Ranleigh Avenue,21,5470409,611921651,Old Toronto,38121
43.7285725,-79.3980771,2,Ranleigh Avenue (650),a,Ranleigh Avenue,21,5470409,611921650,Old Toronto,38121
