lat,lon,sz,names,len_cat
44.7545926,-79.9577017,2,Overhead Bridge Road (322),a
44.7548391,-79.9573062,2,Overhead Bridge Road (323),a
44.7554132,-79.9565404,2,Overhead Bridge Road (324),a
44.7556708,-79.9562759,2,Overhead Bridge Road (325),a
44.7562168,-79.9558574,2,Overhead Bridge Road (326),a
44.756337,-79.9538963,2,West Street (631),a
44.7566053,-79.9556197,2,Overhead Bridge Road (327),a
44.7568732,-79.9554845,2,Overhead Bridge Road (329),a
44.7568916,-79.9543676,2,West Street (635),a
44.7571059,-79.9554101,2,Overhead Bridge Road (331),a
44.7571894,-79.9269142,2,County Road 93 (391),a
44.7573344,-79.9553893,2,Overhead Bridge Road (333),a
44.7575633,-79.9554186,2,Overhead Bridge Road (335),a
44.7575998,-79.95498,2,West Street (638),a
44.7577225,-79.9551115,2,West Street (641),a
44.7577781,-79.9554649,2,Overhead Bridge Road (337),a
44.7578459,-79.9553199,2,West Street (644),a
44.7578832,-79.9554931,2,Overhead Bridge Road (338),a
44.7578832,-79.9554931,2,West Street (648),a
44.7579736,-79.926932,2,County Road 93 (392),a
44.7581997,-79.9555778,2,Overhead Bridge Road (339),a
44.7583446,-79.9246799,2,Murray Road (593),a
44.758506,-79.955713,2,Overhead Bridge Road (341),a
44.7585633,-79.9269839,2,County Road 93 (393),a
44.7585633,-79.9269839,2,County Road 93 (393),a
44.7585917,-79.9557817,2,Overhead Bridge Road (343),a
44.7586802,-79.9249516,2,Murray Road (594),a
44.7587364,-79.9559104,2,Overhead Bridge Road (344),a
44.7588176,-79.9270303,2,County Road 93 (542),a
44.7588176,-79.9270303,2,County Road 93 (542),a
44.7588496,-79.9559978,2,Overhead Bridge Road (346),a
44.7589207,-79.9560223,2,Overhead Bridge Road (347),a
44.7589511,-79.9560338,2,Overhead Bridge Road (349),a
44.7589511,-79.9560338,2,Robert Street West (052),a
44.7590353,-79.9559721,2,Robert Street West (050),a
44.7591111,-79.9558273,2,Robert Street West (048),a
44.7591166,-79.9270849,2,County Road 93 (394),a
44.7591166,-79.9270849,2,County Road 93 (394),a
44.7593161,-79.9271155,2,County Road 93 (395),a
44.7593161,-79.9271155,2,County Road 93 (395),a
44.7596329,-79.9546052,2,Lafontaine Road East (047),a
44.7596329,-79.9546052,2,Robert Street West (046),a
44.7596437,-79.924959,2,Brunelle Sideroad (455),a
44.7596608,-79.924752,2,Brunelle Sideroad (456),a
44.7596637,-79.9251735,2,Brunelle Sideroad (454),a
44.7596795,-79.9272024,2,County Road 93 (372),a
44.7596795,-79.9272024,2,County Road 93 (372),a
44.7596795,-79.9272024,2,County Road 93 (396),a
44.7596795,-79.9272024,2,County Road 93 (396),a
44.7596831,-79.9253373,2,Brunelle Sideroad (453),a
44.7597057,-79.9245569,2,Brunelle Sideroad (457),a
44.75973,-79.924475,2,Brunelle Sideroad (458),a
44.7597696,-79.925917,2,Murray Road (595),a
44.7597696,-79.925917,2,Murray Road (595),a
44.7597934,-79.925962,2,Brunelle Sideroad (452),a
44.7597934,-79.925962,2,Brunelle Sideroad (452),a
44.7597934,-79.925962,2,Murray Road (596),a
44.7597934,-79.925962,2,Murray Road (596),a
44.7597934,-79.925962,2,Murray Road (601),a
44.7597934,-79.925962,2,Murray Road (601),a
44.7597953,-79.9549204,2,Lafontaine Road East (053),a
44.7598148,-79.9242835,2,Brunelle Sideroad (459),a
44.759998,-79.9272786,2,County Road 93 (373),a
44.759998,-79.9272786,2,County Road 93 (373),a
44.7600246,-79.9238356,2,Brunelle Sideroad (460),a
44.7600377,-79.9553773,2,Lafontaine Road East (052),a
44.7601732,-79.9533688,2,Robert Street West (044),a
44.7602598,-79.9263375,2,Murray Road (602),a
44.7602598,-79.9263375,2,Murray Road (602),a
44.7603511,-79.926411,2,James Street (851),a
44.7603511,-79.926411,2,James Street (851),a
44.7603511,-79.926411,2,Murray Road (583),a
44.7603511,-79.926411,2,Murray Road (583),a
44.7603511,-79.926411,2,Murray Road (603),a
44.7603511,-79.926411,2,Murray Road (603),a
44.7603948,-79.9263122,2,James Street (853),a
44.7603948,-79.9263122,2,James Street (853),a
44.7604234,-79.9561393,2,Lafontaine Road East (051),a
44.7604866,-79.927462,2,County Road 93 (374),a
44.7604866,-79.927462,2,County Road 93 (374),a
44.7606578,-79.9266752,2,Murray Road (584),a
44.7606578,-79.9266752,2,Murray Road (584),a
44.760817,-79.9519041,2,Robert Street West (040),a
44.7608204,-79.9253487,2,James Street (846),a
44.7608204,-79.9253487,2,James Street (855),a
44.7608204,-79.9253487,2,Maria Street (924),a
44.7608741,-79.9252301,2,James Street (848),a
44.7608849,-79.9254026,2,Maria Street (928),a
44.760904,-79.92188,2,Brunelle Sideroad (461),a
44.7610527,-79.9513611,2,Champlain Road (405),a
44.7610527,-79.9513611,2,Champlain Road (405),a
44.7610527,-79.9513611,2,Robert Street West (035),a
44.7610527,-79.9513611,2,Robert Street West (035),a
44.7610527,-79.9513611,2,Robert Street West (039),a
44.7610527,-79.9513611,2,Robert Street West (039),a
44.761078,-79.9574013,2,Lafontaine Road East (048),a
44.761168,-79.9212678,2,Brunelle Sideroad (462),a
44.761174,-79.9277505,2,County Road 93 (375),a
44.7612616,-79.9243087,2,James Street (849),a
44.7612616,-79.9243087,2,James Street (857),a
44.7612616,-79.9243087,2,Marchand Drive (621),a
44.7612863,-79.9515643,2,Champlain Road (403),a
44.7612863,-79.9515643,2,Champlain Road (403),a
44.7613014,-79.9257509,2,Maria Street (930),a
44.7613014,-79.9257509,2,Maria Street (930),a
44.7613503,-79.9243792,2,Marchand Drive (622),a
44.7613649,-79.9240569,2,James Street (858),a
44.7614145,-79.9581088,2,Lafontaine Road East (050),a
44.761417,-79.958114,2,Lafontaine Road East (049),a
44.7614329,-79.9517062,2,Champlain Road (404),a
44.7614807,-79.9237808,2,James Street (860),a
44.7614863,-79.951751,2,Champlain Road (398),a
44.7615167,-79.9237049,2,James Street (862),a
44.7615472,-79.9274544,2,Murray Road (585),a
44.7615472,-79.9274544,2,Murray Road (585),a
44.7615585,-79.9236352,2,James Street (864),a
44.7616058,-79.9235727,2,James Street (866),a
44.7616065,-79.9518421,2,Champlain Road (409),a
44.7616578,-79.9235182,2,James Street (868),a
44.7616665,-79.9279745,2,County Road 93 (376),a
44.7617139,-79.9234724,2,James Street (870),a
44.7617685,-79.9519453,2,Champlain Road (412),a
44.7617733,-79.9234358,2,James Street (872),a
44.7619712,-79.9278098,2,Murray Road (586),a
44.7620548,-79.9281825,2,County Road 93 (377),a
44.7621006,-79.9279041,2,Murray Road (587),a
44.7621016,-79.9521183,2,Champlain Road (410),a
44.7622224,-79.9279854,2,Murray Road (588),a
44.7622471,-79.9264576,2,Maria Street (932),a
44.7622471,-79.9264576,2,Maria Street (932),a
44.7622666,-79.9231816,2,James Street (874),a
44.7622977,-79.925132,2,Dube Drive (195),a
44.7622977,-79.925132,2,Marchand Drive (623),a
44.7622977,-79.925132,2,Marchand Drive (624),a
44.7623291,-79.9231652,2,James Street (876),a
44.7623383,-79.9250363,2,Dube Drive (196),a
44.7623489,-79.9265159,2,Maria Street (935),a
44.7623489,-79.9265159,2,Maria Street (935),a
44.7623925,-79.9231589,2,James Street (878),a
44.762456,-79.9231628,2,James Street (880),a
44.7625134,-79.9281524,2,Murray Road (589),a
44.7625134,-79.9281524,2,Murray Road (597),a
44.7625187,-79.9231769,2,James Street (883),a
44.7625312,-79.9281626,2,Murray Road (598),a
44.7625447,-79.9523378,2,Champlain Road (401),a
44.7625799,-79.9232009,2,James Street (885),a
44.7626139,-79.9285279,2,County Road 93 (378),a
44.7626139,-79.9285279,2,Main Street (418),a
44.7626383,-79.9266472,2,Maria Street (938),a
44.7626383,-79.9266472,2,Maria Street (938),a
44.7626388,-79.9232345,2,James Street (887),a
44.7626682,-79.9254451,2,Marchand Drive (625),a
44.7626682,-79.9254451,2,Marchand Drive (625),a
44.7626736,-79.9232599,2,James Street (889),a
44.7627102,-79.9266961,2,Maria Street (941),a
44.7627102,-79.9266961,2,Maria Street (941),a
44.7628534,-79.9255836,2,Marchand Drive (626),a
44.7628534,-79.9255836,2,Marchand Drive (626),a
44.7628794,-79.9283044,2,Murray Road (599),a
44.7628831,-79.9255896,2,Marchand Drive (627),a
44.7628831,-79.9255896,2,Marchand Drive (627),a
44.7629245,-79.9255888,2,Marchand Drive (628),a
44.7629245,-79.9255888,2,Marchand Drive (628),a
44.7629253,-79.9236516,2,Dube Drive (197),a
44.7629651,-79.9255777,2,Marchand Drive (629),a
44.7629651,-79.9255777,2,Marchand Drive (629),a
44.7629849,-79.9235129,2,Dube Drive (198),a
44.7629849,-79.9235129,2,James Street (842),a
44.7629849,-79.9235129,2,James Street (891),a
44.7629962,-79.9255615,2,Marchand Drive (630),a
44.7629962,-79.9255615,2,Marchand Drive (630),a
44.7630204,-79.9288041,2,Main Street (419),a
44.7630763,-79.9269906,2,Maria Street (943),a
44.7630763,-79.9269906,2,Maria Street (943),a
44.7630777,-79.9254636,2,Marchand Drive (631),a
44.7630777,-79.9254636,2,Marchand Drive (631),a
44.7630888,-79.9288631,2,Main Street (420),a
44.7632767,-79.9526404,2,Champlain Road (397),a
44.7635927,-79.9527786,2,Champlain Road (393),a
44.7636002,-79.9242455,2,Marchand Drive (632),a
44.7636565,-79.9292864,2,Main Street (385),a
44.7636565,-79.9292864,2,Main Street (421),a
44.7636565,-79.9292864,2,Thompsons Road (483),a
44.763665,-79.9240945,2,James Street (828),a
44.763665,-79.9240945,2,James Street (845),a
44.763665,-79.9240945,2,Marchand Drive (633),a
44.7637066,-79.9528377,2,Champlain Road (400),a
44.7637833,-79.927589,2,Charles Street (831),a
44.7637833,-79.927589,2,Maria Street (902),a
44.7637833,-79.927589,2,Maria Street (945),a
44.7638412,-79.9274543,2,Charles Street (832),a
44.7638826,-79.9287807,2,Murray Road (591),a
44.7638826,-79.9287807,2,Murray Road (600),a
44.7638826,-79.9287807,2,Thompsons Road (484),a
44.7639141,-79.9241719,2,James Street (832),a
44.7639499,-79.9407641,2,Poyntz Street (278),a
44.7640381,-79.9242341,2,James Street (835),a
44.764052,-79.9255221,2,Charles Street (842),a
44.764052,-79.9255221,2,Charles Street (842),a
44.764054,-79.9255497,2,Charles Street (841),a
44.764054,-79.9255497,2,Charles Street (841),a
44.7640555,-79.9254809,2,Charles Street (843),a
44.7640555,-79.9254809,2,Charles Street (843),a
44.764068,-79.9256014,2,Charles Street (840),a
44.764068,-79.9256014,2,Charles Street (840),a
44.7640707,-79.9254315,2,Charles Street (844),a
44.7640707,-79.9254315,2,Charles Street (844),a
44.7640937,-79.9256432,2,Charles Street (839),a
44.7640937,-79.9256432,2,Charles Street (839),a
44.7641319,-79.9530933,2,Champlain Road (392),a
44.764235,-79.9280086,2,Maria Street (894),a
44.764235,-79.9280086,2,Maria Street (906),a
44.764235,-79.9280086,2,Thompsons Road (247),a
44.7643854,-79.9258842,2,Charles Street (838),a
44.7643854,-79.9258842,2,Charles Street (838),a
44.7644021,-79.9246603,2,Charles Street (845),a
44.7644056,-79.9259248,2,Charles Street (837),a
44.7644056,-79.9259248,2,Charles Street (837),a
44.7644124,-79.9261254,2,Charles Street (833),a
44.7644124,-79.9261254,2,Charles Street (833),a
