lat,lon,sz,names,len_cat
-37.8917225,144.9905749,2,Head Street (389),a
-37.8917225,144.9905749,2,Head Street (625),a
-37.8917187,144.9905424,2,Head Street (390),a
-37.8917187,144.9905424,2,Head Street (626),a
-37.891707,144.9904422,2,Head Street (205),a
-37.891707,144.9904422,2,Head Street (206),a
-37.891707,144.9904422,2,Head Street (414),a
-37.891707,144.9904422,2,Head Street (419),a
-37.8915955,144.9896164,2,Head Street (058),a
-37.8915955,144.9896164,2,Head Street (058),a
-37.8915955,144.9896164,2,Head Street (434),a
-37.8915955,144.9896164,2,Head Street (434),a
-37.8915748,144.9894548,2,Head Street (059),a
-37.8915748,144.9894548,2,Head Street (059),a
-37.8915748,144.9894548,2,Head Street (435),a
-37.8915748,144.9894548,2,Head Street (435),a
-37.891505,144.9889095,2,Head Street (060),a
-37.891505,144.9889095,2,Head Street (060),a
-37.891505,144.9889095,2,Head Street (436),a
-37.891505,144.9889095,2,Head Street (436),a
-37.8913985,144.990734,2,St Kilda Street (770),a
-37.8913985,144.990734,2,St Kilda Street (855),a
-37.8913821,144.9879499,2,Head Street (061),a
-37.8913821,144.9879499,2,Head Street (061),a
-37.8913821,144.9879499,2,Head Street (437),a
-37.8913821,144.9879499,2,Head Street (437),a
-37.8913803,144.9907333,2,St Kilda Street (769),a
-37.8913803,144.9907333,2,St Kilda Street (854),a
-37.8913575,144.9907299,2,St Kilda Street (300),a
-37.8913575,144.9907299,2,St Kilda Street (768),a
-37.8913575,144.9907299,2,St Kilda Street (853),a
-37.8913385,144.9907249,2,St Kilda Street (564),a
-37.8913385,144.9907249,2,St Kilda Street (984),a
-37.8913087,144.990715,2,St Kilda Street (565),a
-37.8913087,144.990715,2,St Kilda Street (985),a
-37.8912674,144.987054,2,Head Street (062),a
-37.8912674,144.987054,2,Head Street (062),a
-37.8912674,144.987054,2,Head Street (438),a
-37.8912674,144.987054,2,Head Street (438),a
-37.8912646,144.9906992,2,St Kilda Street (566),a
-37.8912646,144.9906992,2,St Kilda Street (986),a
-37.8912223,144.9906783,2,St Kilda Street (567),a
-37.8912223,144.9906783,2,St Kilda Street (987),a
-37.8911897,144.9906582,2,St Kilda Street (568),a
-37.8911897,144.9906582,2,St Kilda Street (988),a
-37.8911829,144.9863942,2,Head Street (063),a
-37.8911829,144.9863942,2,Head Street (063),a
-37.8911829,144.9863942,2,Head Street (439),a
-37.8911829,144.9863942,2,Head Street (439),a
-37.8911587,144.9906348,2,St Kilda Street (563),a
-37.8911587,144.9906348,2,St Kilda Street (983),a
-37.8911293,144.9906101,2,Ormond Esplanade (008),a
-37.8911293,144.9906101,2,Ormond Esplanade (280),a
-37.8911293,144.9906101,2,St Kilda Street (299),a
-37.8911293,144.9906101,2,St Kilda Street (642),a
-37.8911293,144.9906101,2,St Kilda Street (893),a
-37.8911065,144.9905841,2,Ormond Esplanade (453),a
-37.8911065,144.9905841,2,Ormond Esplanade (628),a
-37.8910523,144.9905115,2,Ormond Esplanade (007),a
-37.8910523,144.9905115,2,Ormond Esplanade (279),a
-37.8910431,144.9906935,2,St Kilda Street (066),a
-37.8910431,144.9906935,2,St Kilda Street (604),a
-37.8910339,144.9904841,2,Ormond Esplanade (452),a
-37.8910339,144.9904841,2,Ormond Esplanade (627),a
-37.8910285,144.9907076,2,St Kilda Street (643),a
-37.8910285,144.9907076,2,St Kilda Street (894),a
-37.8909896,144.9904095,2,Ormond Esplanade (006),a
-37.8909896,144.9904095,2,Ormond Esplanade (278),a
-37.8909896,144.9907386,2,St Kilda Street (067),a
-37.8909896,144.9907386,2,St Kilda Street (605),a
-37.8909405,144.9907712,2,St Kilda Street (068),a
-37.8909405,144.9907712,2,St Kilda Street (606),a
-37.8908621,144.9902,2,Ormond Esplanade (077),a
-37.8908621,144.9902,2,Ormond Esplanade (077),a
-37.8908621,144.9902,2,Ormond Esplanade (129),a
-37.8908621,144.9902,2,Ormond Esplanade (129),a
-37.8908621,144.9902,2,Ormond Esplanade (252),a
-37.8908621,144.9902,2,Ormond Esplanade (252),a
-37.8908621,144.9902,2,Ormond Esplanade (371),a
-37.8908621,144.9902,2,Ormond Esplanade (371),a
-37.8908503,144.9901806,2,Ormond Esplanade (069),a
-37.8908503,144.9901806,2,Ormond Esplanade (069),a
-37.8908503,144.9901806,2,Ormond Esplanade (593),a
-37.8908503,144.9901806,2,Ormond Esplanade (593),a
-37.8905419,144.9896686,2,Ormond Esplanade (070),a
-37.8905419,144.9896686,2,Ormond Esplanade (070),a
-37.8905419,144.9896686,2,Ormond Esplanade (594),a
-37.8905419,144.9896686,2,Ormond Esplanade (594),a
-37.8903168,144.9893018,2,Kingsley Street (784),a
-37.8903168,144.9893018,2,Kingsley Street (784),a
-37.8903168,144.9893018,2,Kingsley Street (815),a
-37.8903168,144.9893018,2,Kingsley Street (815),a
-37.8903168,144.9893018,2,Ormond Esplanade (010),a
-37.8903168,144.9893018,2,Ormond Esplanade (010),a
-37.8903168,144.9893018,2,Ormond Esplanade (282),a
-37.8903168,144.9893018,2,Ormond Esplanade (282),a
-37.8903168,144.9893018,2,Ormond Esplanade (730),a
-37.8903168,144.9893018,2,Ormond Esplanade (730),a
-37.890264,144.9893569,2,Kingsley Street (800),a
-37.890264,144.9893569,2,Kingsley Street (800),a
-37.890264,144.9893569,2,Kingsley Street (973),a
-37.890264,144.9893569,2,Kingsley Street (973),a
-37.8902445,144.9893764,2,Kingsley Street (050),a
-37.8902445,144.9893764,2,Kingsley Street (050),a
-37.8902445,144.9893764,2,Kingsley Street (954),a
-37.8902445,144.9893764,2,Kingsley Street (954),a
-37.8897284,144.9910507,2,Joyce Street (803),a
-37.8897284,144.9910507,2,St Kilda Street (768),a
-37.8897196,144.9909749,2,Joyce Street (806),a
-37.8897196,144.9909749,2,Joyce Street (979),a
-37.8897174,144.9909554,2,Joyce Street (055),a
-37.8897174,144.9909554,2,Joyce Street (959),a
-37.8896945,144.9899045,2,Kingsley Street (782),a
-37.8896945,144.9899045,2,Kingsley Street (782),a
-37.8896945,144.9899045,2,Kingsley Street (814),a
-37.8896945,144.9899045,2,Kingsley Street (814),a
-37.889661,144.9899365,2,Kingsley Street (049),a
-37.889661,144.9899365,2,Kingsley Street (049),a
-37.889661,144.9899365,2,Kingsley Street (953),a
-37.889661,144.9899365,2,Kingsley Street (953),a
-37.8896127,144.9900296,2,Joyce Street (054),a
-37.8896127,144.9900296,2,Joyce Street (054),a
-37.8896127,144.9900296,2,Joyce Street (958),a
-37.8896127,144.9900296,2,Joyce Street (958),a
-37.8896097,144.9900093,2,Joyce Street (805),a
-37.8896097,144.9900093,2,Joyce Street (805),a
-37.8896097,144.9900093,2,Joyce Street (978),a
-37.8896097,144.9900093,2,Joyce Street (978),a
-37.8895927,144.9899589,2,Joyce Street (803),a
-37.8895927,144.9899589,2,Joyce Street (803),a
-37.8895927,144.9899589,2,Joyce Street (819),a
-37.8895927,144.9899589,2,Joyce Street (819),a
-37.8895927,144.9899589,2,Kingsley Street (781),a
-37.8895927,144.9899589,2,Kingsley Street (781),a
-37.8895927,144.9899589,2,Kingsley Street (813),a
-37.8895927,144.9899589,2,Kingsley Street (813),a
-37.8895621,144.989908,2,Joyce Street (804),a
-37.8895621,144.989908,2,Joyce Street (804),a
-37.8895621,144.989908,2,Joyce Street (977),a
-37.8895621,144.989908,2,Joyce Street (977),a
-37.8895537,144.9898939,2,Joyce Street (053),a
-37.8895537,144.9898939,2,Joyce Street (053),a
-37.8895537,144.9898939,2,Joyce Street (957),a
-37.8895537,144.9898939,2,Joyce Street (957),a
-37.8893589,144.9877161,2,Foam Street (103),a
-37.8893589,144.9877161,2,Foam Street (103),a
-37.8893589,144.9877161,2,Foam Street (137),a
-37.8893589,144.9877161,2,Foam Street (137),a
-37.8893589,144.9877161,2,Ormond Esplanade (009),a
-37.8893589,144.9877161,2,Ormond Esplanade (009),a
-37.8893589,144.9877161,2,Ormond Esplanade (014),a
-37.8893589,144.9877161,2,Ormond Esplanade (014),a
-37.8893589,144.9877161,2,Ormond Esplanade (281),a
-37.8893589,144.9877161,2,Ormond Esplanade (281),a
-37.8893589,144.9877161,2,Ormond Esplanade (288),a
-37.8893589,144.9877161,2,Ormond Esplanade (288),a
-37.8892886,144.9877848,2,Foam Street (019),a
-37.8892886,144.9877848,2,Foam Street (019),a
-37.8892886,144.9877848,2,Foam Street (225),a
-37.8892886,144.9877848,2,Foam Street (225),a
-37.8890773,144.9872512,2,Ormond Esplanade (013),a
-37.8890773,144.9872512,2,Ormond Esplanade (013),a
-37.8890773,144.9872512,2,Ormond Esplanade (286),a
-37.8890773,144.9872512,2,Ormond Esplanade (286),a
-37.8890691,144.9872378,2,Ormond Esplanade (062),a
-37.8890691,144.9872378,2,Ormond Esplanade (062),a
-37.8890691,144.9872378,2,Ormond Esplanade (305),a
-37.8890691,144.9872378,2,Ormond Esplanade (305),a
-37.8890189,144.9871558,2,Ormond Esplanade (061),a
-37.8890189,144.9871558,2,Ormond Esplanade (061),a
-37.8890189,144.9871558,2,Ormond Esplanade (304),a
-37.8890189,144.9871558,2,Ormond Esplanade (304),a
-37.8889806,144.9889402,2,Joyce Street (802),a
-37.8889806,144.9889402,2,Joyce Street (802),a
-37.8889806,144.9889402,2,Joyce Street (818),a
-37.8889806,144.9889402,2,Joyce Street (818),a
-37.8889696,144.9870752,2,Ormond Esplanade (060),a
-37.8889696,144.9870752,2,Ormond Esplanade (060),a
-37.8889696,144.9870752,2,Ormond Esplanade (303),a
-37.8889696,144.9870752,2,Ormond Esplanade (303),a
-37.8888401,144.9868634,2,Ormond Esplanade (079),a
-37.8888401,144.9868634,2,Ormond Esplanade (079),a
-37.8888401,144.9868634,2,Ormond Esplanade (130),a
-37.8888401,144.9868634,2,Ormond Esplanade (130),a
-37.8888401,144.9868634,2,Ormond Esplanade (236),a
-37.8888401,144.9868634,2,Ormond Esplanade (236),a
-37.8888401,144.9868634,2,Ormond Esplanade (343),a
-37.8888401,144.9868634,2,Ormond Esplanade (343),a
-37.888805,144.9868059,2,Ormond Esplanade (063),a
-37.888805,144.9868059,2,Ormond Esplanade (063),a
-37.888805,144.9868059,2,Ormond Esplanade (587),a
-37.888805,144.9868059,2,Ormond Esplanade (587),a
-37.888805,144.9868059,2,Pine Avenue (038),a
-37.888805,144.9868059,2,Pine Avenue (038),a
-37.888805,144.9868059,2,Pine Avenue (792),a
-37.888805,144.9868059,2,Pine Avenue (792),a
-37.8887504,144.9868592,2,Pine Avenue (054),a
-37.8887504,144.9868592,2,Pine Avenue (054),a
-37.8887504,144.9868592,2,Pine Avenue (859),a
-37.8887504,144.9868592,2,Pine Avenue (859),a
-37.8887363,144.9868729,2,Pine Avenue (121),a
-37.8887363,144.9868729,2,Pine Avenue (121),a
-37.8887363,144.9868729,2,Pine Avenue (986),a
-37.8887363,144.9868729,2,Pine Avenue (986),a
-37.8885276,144.9863417,2,Ormond Esplanade (056),a
-37.8885276,144.9863417,2,Ormond Esplanade (056),a
-37.8885276,144.9863417,2,Ormond Esplanade (064),a
-37.8885276,144.9863417,2,Ormond Esplanade (064),a
-37.8885276,144.9863417,2,Ormond Esplanade (580),a
-37.8885276,144.9863417,2,Ormond Esplanade (580),a
-37.8885276,144.9863417,2,Ormond Esplanade (588),a
-37.8885276,144.9863417,2,Ormond Esplanade (588),a
-37.8884697,144.9912881,2,Phyllis Street (801),a
-37.8884697,144.9912881,2,St Kilda Street (767),a
-37.8884664,144.9862392,2,Ormond Esplanade (058),a
-37.8884664,144.9862392,2,Ormond Esplanade (058),a
-37.8884664,144.9862392,2,Ormond Esplanade (582),a
-37.8884664,144.9862392,2,Ormond Esplanade (582),a
-37.8884603,144.9912128,2,Phyllis Street (802),a
-37.8884603,144.9912128,2,Phyllis Street (975),a
