lat,lon,sz,names,len_cat,street,street_nodes,street_id,node_id,source_city,source_city_id
43.8278829,-79.4538818,2,Bathurst Street (741),a,Bathurst Street,329,5446829,95472741,Richmond Hill,37878
43.8289972,-79.4540819,2,Bathurst Street (742),a,Bathurst Street,329,5446829,95472742,Richmond Hill,37878
43.8289972,-79.4540819,2,Bathurst Street (666),a,Bathurst Street,329,5446829,579525666,Richmond Hill,37878
43.8290986,-79.4541063,2,Bathurst Street (745),a,Bathurst Street,329,5446829,95472745,Richmond Hill,37878
43.8290986,-79.4541063,2,Bathurst Street (667),a,Bathurst Street,329,5446829,579525667,Richmond Hill,37878
43.8291717,-79.4541214,2,Bathurst Street (342),a,Bathurst Street,329,5446829,408997342,Richmond Hill,37878
43.8292291,-79.453977,2,Highway 7 (450),a,Highway 7,249,5446603,579526450,Richmond Hill,37878
43.8293742,-79.4534107,2,Highway 7 (677),a,Highway 7,249,5446603,92701677,Richmond Hill,37878
43.8293742,-79.4534107,2,Highway 7 (737),a,Highway 7,249,5446603,92701737,Richmond Hill,37878
43.8293884,-79.4539384,2,Highway 7 (658),a,Highway 7,249,5446603,92701658,Richmond Hill,37878
43.8294309,-79.4541749,2,Bathurst Street (747),a,Bathurst Street,329,5446829,95472747,Richmond Hill,37878
43.8294309,-79.4541749,2,Bathurst Street (748),a,Bathurst Street,329,5446829,95472748,Richmond Hill,37878
43.8294557,-79.4536803,2,Highway 7 (653),a,Highway 7,249,5446603,92701653,Richmond Hill,37878
43.8294557,-79.4536803,2,Highway 7 (656),a,Highway 7,249,5446603,92701656,Richmond Hill,37878
43.8295087,-79.4528072,2,Highway 7 (689),a,Highway 7,249,5446603,297028689,Richmond Hill,37878
43.8296277,-79.4521567,2,Highway 7 (681),a,Highway 7,249,5446603,92701681,Richmond Hill,37878
43.8296563,-79.4528802,2,Highway 7 (651),a,Highway 7,249,5446603,92701651,Richmond Hill,37878
43.8296563,-79.4528802,2,Highway 7 (460),a,Highway 7,249,5446603,579526460,Richmond Hill,37878
43.8296827,-79.4518318,2,Highway 7 (552),a,Highway 7,249,5446603,357817552,Richmond Hill,37878
43.8297276,-79.4525329,2,Highway 7 (943),a,Highway 7,249,5446603,411693943,Richmond Hill,37878
43.8297693,-79.4513195,2,Highway 7 (220),a,Highway 7,249,5446603,328453220,Richmond Hill,37878
43.8298137,-79.4510357,2,Highway 7 (684),a,Highway 7,249,5446603,92701684,Richmond Hill,37878
43.8298137,-79.4510357,2,Highway 7 (458),a,Highway 7,249,5446603,579526458,Richmond Hill,37878
43.8298552,-79.450734,2,Highway 7 (709),a,Highway 7,249,5446603,297028709,Richmond Hill,37878
43.8299356,-79.4513618,2,Highway 7 (002),a,Highway 7,249,5446603,328454002,Richmond Hill,37878
43.8299608,-79.4511978,2,Highway 7 (701),a,Highway 7,249,5446603,297028701,Richmond Hill,37878
43.8299608,-79.4511978,2,Highway 7 (710),a,Highway 7,249,5446603,297028710,Richmond Hill,37878
43.8299741,-79.451109,2,Highway 7 (812),a,Highway 7,249,5446603,92701812,Richmond Hill,37878
43.8299741,-79.451109,2,Highway 7 (457),a,Highway 7,249,5446603,579526457,Richmond Hill,37878
43.8299929,-79.4509818,2,Highway 7 (677),a,Highway 7,249,5446603,297028677,Richmond Hill,37878
43.8299929,-79.4509818,2,Highway 7 (707),a,Highway 7,249,5446603,297028707,Richmond Hill,37878
