lat,lon,sz,names,len_cat
37.3230684,-121.9908321,2,Stevens Creek Boulevard (059),a
37.3230694,-121.9907188,2,Stevens Creek Boulevard (261),a
37.323072,-121.9904044,2,Rodonovan Drive (680),a
37.323072,-121.9904044,2,Stevens Creek Boulevard (260),a
37.3230748,-121.9900741,2,Stevens Creek Boulevard (259),a
37.3230761,-121.9899133,2,Stevens Creek Boulevard (058),a
37.3230795,-121.9895096,2,Casa View Drive (792),a
37.3230795,-121.9895096,2,Stevens Creek Boulevard (232),a
37.3230795,-121.9895096,2,Stevens Creek Boulevard (258),a
37.3230829,-122.0025451,2,Stevens Creek Boulevard (043),a
37.3230839,-122.0024412,2,Stevens Creek Boulevard (475),a
37.3230841,-122.0024167,2,Stevens Creek Boulevard (150),a
37.3230843,-121.9892022,2,Stevens Creek Boulevard (231),a
37.3230853,-121.9891021,2,Stevens Creek Boulevard (333),a
37.3230864,-122.0019781,2,Stevens Creek Boulevard (428),a
37.3230864,-122.0014448,2,Stevens Creek Boulevard (114),a
37.3230866,-122.0032584,2,Stevens Creek Boulevard (476),a
37.3230866,-122.003235,2,Stevens Creek Boulevard (044),a
37.3230867,-122.0033776,2,Stern Avenue (747),a
37.3230867,-122.0033776,2,Stevens Creek Boulevard (152),a
37.3230867,-122.0033776,2,Stevens Creek Boulevard (161),a
37.3230871,-121.9889192,2,Stevens Creek Boulevard (074),a
37.3230871,-121.9889192,2,Stevens Creek Boulevard (080),a
37.3230881,-122.001347,2,Stevens Creek Boulevard (214),a
37.3230889,-122.0034982,2,Stevens Creek Boulevard (481),a
37.3230912,-121.98851,2,Stevens Creek Boulevard (073),a
37.3230919,-122.0011382,2,Calvert Drive (062),a
37.3230919,-122.0011382,2,Calvert Drive (268),a
37.3230919,-122.0011382,2,Stevens Creek Boulevard (113),a
37.3230919,-122.0011382,2,Stevens Creek Boulevard (160),a
37.3230921,-122.0009311,2,Stevens Creek Boulevard (477),a
37.3230921,-122.000888,2,Stevens Creek Boulevard (159),a
37.3230924,-122.0008024,2,Stevens Creek Boulevard (478),a
37.3230924,-121.9883848,2,Stevens Creek Boulevard (072),a
37.3230927,-122.0007112,2,Stevens Creek Boulevard (479),a
37.3230929,-122.0006475,2,Stevens Creek Boulevard (480),a
37.3230935,-121.9882765,2,Stevens Creek Boulevard (389),a
37.3230937,-122.0003879,2,Stevens Creek Boulevard (132),a
37.3230937,-122.0003879,2,Stevens Creek Boulevard (158),a
37.3230947,-122.0038249,2,Stevens Creek Boulevard (162),a
37.323095,-121.9881321,2,Stevens Creek Boulevard (243),a
37.323095,-121.9881321,2,Stevens Creek Boulevard (268),a
37.323095,-121.9881321,2,Stevens Creek Boulevard (388),a
37.3230971,-122.0039035,2,Stevens Creek Boulevard (045),a
37.3230992,-121.998712,2,Stevens Creek Boulevard (131),a
37.3231021,-121.9984789,2,Stevens Creek Boulevard (234),a
37.3231021,-121.9984789,2,Stevens Creek Boulevard (454),a
37.3231076,-121.9978038,2,Stevens Creek Boulevard (140),a
37.3231076,-121.9978038,2,Stevens Creek Boulevard (310),a
37.3231085,-122.0042825,2,Stevens Creek Boulevard (163),a
37.3231085,-121.9979773,2,Stevens Creek Boulevard (233),a
37.3231092,-121.9925349,2,Cabot Avenue (795),a
37.3231092,-121.9925349,2,Cabot Avenue (796),a
37.3231092,-121.9925349,2,Stevens Creek Boulevard (184),a
37.3231092,-121.9925349,2,Stevens Creek Boulevard (194),a
37.3231094,-121.9976668,2,Stevens Creek Boulevard (254),a
37.3231101,-121.9926727,2,Stevens Creek Boulevard (240),a
37.3231104,-121.9868073,2,Stevens Creek Boulevard (235),a
37.3231104,-121.9868073,2,Stevens Creek Boulevard (235),a
37.3231104,-121.9868073,2,Stevens Creek Boulevard (253),a
37.3231104,-121.9868073,2,Stevens Creek Boulevard (253),a
37.3231104,-121.9868073,2,Stevens Creek Boulevard (267),a
37.3231104,-121.9868073,2,Stevens Creek Boulevard (267),a
37.3231105,-122.0046773,2,Stevens Creek Boulevard (164),a
37.3231105,-122.0046773,2,Stevens Creek Boulevard (313),a
37.3231109,-121.9927995,2,Stevens Creek Boulevard (046),a
37.3231125,-121.9930567,2,Stevens Creek Boulevard (884),a
37.3231144,-121.9861214,2,Stevens Creek Boulevard (051),a
37.3231153,-121.9924064,2,Stevens Creek Boulevard (183),a
37.3231158,-121.9971689,2,Stevens Creek Boulevard (135),a
37.3231158,-121.9971689,2,Stevens Creek Boulevard (309),a
37.3231158,-121.9933162,2,Stevens Creek Boulevard (432),a
37.3231168,-121.9856913,2,Stevens Creek Boulevard (050),a
37.3231176,-121.99388,2,Stevens Creek Boulevard (198),a
37.3231186,-121.9935386,2,Stevens Creek Boulevard (197),a
37.3231204,-121.996819,2,Stevens Creek Boulevard (133),a
37.3231204,-121.996819,2,Stevens Creek Boulevard (387),a
37.3231205,-121.9920542,2,Loma Linda Drive (638),a
37.3231205,-121.9920542,2,Stevens Creek Boulevard (182),a
37.3231205,-121.9920542,2,Stevens Creek Boulevard (283),a
37.3231208,-121.9919876,2,Stevens Creek Boulevard (248),a
37.3231209,-121.9919581,2,Stevens Creek Boulevard (282),a
37.3231215,-121.9915773,2,Stevens Creek Boulevard (281),a
37.3231217,-121.9848479,2,Stevens Creek Boulevard (049),a
37.3231226,-121.996464,2,Stevens Creek Boulevard (119),a
37.3231226,-121.996464,2,Stevens Creek Boulevard (386),a
37.3231227,-121.9947094,2,Stevens Creek Boulevard (199),a
37.323124,-121.995311,2,Stevens Creek Boulevard (117),a
37.323124,-121.995311,2,Stevens Creek Boulevard (202),a
37.3231249,-121.9950123,2,Stevens Creek Boulevard (200),a
37.3231254,-121.995222,2,Stevens Creek Boulevard (242),a
37.3231254,-121.9824007,2,Stevens Creek Boulevard (095),a
37.3231254,-121.9824007,2,Stevens Creek Boulevard (208),a
37.3231254,-121.9824007,2,Stevens Creek Boulevard (221),a
37.3231254,-121.9824007,2,Woodhams Road (541),a
37.323126,-121.9840988,2,Stevens Creek Boulevard (234),a
37.323127,-121.9823093,2,Stevens Creek Boulevard (066),a
37.3231274,-121.9838548,2,Richfield Drive (624),a
