lat,lon,sz,names,len_cat,street,street_nodes,street_id,node_id,source_city,source_city_id
43.7024106,-79.2536274,2,Kingston Road (064),a,Kingston Road,989,5542367,358587064,Scarborough,38007
43.7025042,-79.2542215,2,Kingston Road (251),a,Kingston Road,989,5542367,95082251,Scarborough,38007
43.7026765,-79.2534746,2,Kingston Road (091),a,Kingston Road,989,5542367,511371091,Scarborough,38007
43.7026765,-79.2534746,2,Kingston Road (101),a,Kingston Road,989,5542367,511371101,Scarborough,38007
43.7071675,-79.2506595,2,Kingston Road (596),a,Kingston Road,989,5542367,304796596,Scarborough,38007
43.7076574,-79.2503504,2,Kingston Road (597),a,Kingston Road,989,5542367,304796597,Scarborough,38007
43.7077174,-79.2503131,2,Kingston Road (598),a,Kingston Road,989,5542367,304796598,Scarborough,38007
43.7082427,-79.2499828,2,Kingston Road (137),a,Kingston Road,989,5542367,611554137,Scarborough,38007
43.7082427,-79.2499828,2,Kingston Road (155),a,Kingston Road,989,5542367,611554155,Scarborough,38007
43.7182617,-79.2404976,2,Kingston Road (981),a,Kingston Road,989,5542367,95081981,Scarborough,38007
43.7221025,-79.2360762,2,Kingston Road (268),a,Kingston Road,989,5542367,95082268,Scarborough,38007
43.7224195,-79.2357157,2,Kingston Road (267),a,Kingston Road,989,5542367,95082267,Scarborough,38007
43.7224195,-79.2357157,2,Kingston Road (393),a,Kingston Road,989,5542367,95082393,Scarborough,38007
43.7247452,-79.2330297,2,Kingston Road (795),a,Kingston Road,989,5542367,570870795,Scarborough,38007
43.7247452,-79.2330297,2,Kingston Road (796),a,Kingston Road,989,5542367,570870796,Scarborough,38007
43.7247698,-79.2327545,2,Kingston Road (794),a,Kingston Road,989,5542367,570870794,Scarborough,38007
43.7247698,-79.2327545,2,Kingston Road (798),a,Kingston Road,989,5542367,570870798,Scarborough,38007
43.7250912,-79.2326229,2,Kingston Road (017),a,Kingston Road,989,5542367,95082017,Scarborough,38007
43.7281351,-79.2288673,2,Kingston Road (461),a,Kingston Road,989,5542367,95082461,Scarborough,38007
43.7351172,-79.2210576,2,Kingston Road (991),a,Kingston Road,989,5542367,304793991,Scarborough,38007
43.7356419,-79.2204635,2,Kingston Road (893),a,Kingston Road,989,5542367,95081893,Scarborough,38007
43.7357504,-79.2205322,2,Kingston Road (276),a,Kingston Road,989,5542367,95082276,Scarborough,38007
43.7379508,-79.2181494,2,Kingston Road (231),a,Kingston Road,989,5542367,422125231,Scarborough,38007
43.7380162,-79.2178372,2,Kingston Road (283),a,Kingston Road,989,5542367,95082283,Scarborough,38007
43.7380162,-79.2178372,2,Kingston Road (284),a,Kingston Road,989,5542367,95082284,Scarborough,38007
43.7382735,-79.2175506,2,Kingston Road (285),a,Kingston Road,989,5542367,95082285,Scarborough,38007
43.7382749,-79.2177873,2,Kingston Road (230),a,Kingston Road,989,5542367,422125230,Scarborough,38007
43.7384357,-79.2173725,2,Kingston Road (286),a,Kingston Road,989,5542367,95082286,Scarborough,38007
43.7384421,-79.2176005,2,Kingston Road (905),a,Kingston Road,989,5542367,358586905,Scarborough,38007
43.7389991,-79.2169912,2,Kingston Road (486),a,Kingston Road,989,5542367,95082486,Scarborough,38007
43.7391768,-79.2167625,2,Kingston Road (292),a,Kingston Road,989,5542367,95082292,Scarborough,38007
43.7391768,-79.2167625,2,Kingston Road (485),a,Kingston Road,989,5542367,95082485,Scarborough,38007
43.739355,-79.2165661,2,Kingston Road (291),a,Kingston Road,989,5542367,95082291,Scarborough,38007
43.739355,-79.2165661,2,Kingston Road (295),a,Kingston Road,989,5542367,95082295,Scarborough,38007
43.7403751,-79.2154878,2,Kingston Road (294),a,Kingston Road,989,5542367,95082294,Scarborough,38007
43.7411226,-79.2146403,2,Kingston Road (141),a,Kingston Road,989,5542367,611551141,Scarborough,38007
43.7428946,-79.212719,2,Kingston Road (052),a,Kingston Road,989,5542367,358587052,Scarborough,38007
43.7455717,-79.2941484,2,Lawrence Avenue East (645),a,Lawrence Avenue East,964,5542369,611562645,Scarborough,38007
43.7461308,-79.2091444,2,Kingston Road (901),a,Kingston Road,989,5542367,611550901,Scarborough,38007
43.7464491,-79.2090734,2,Kingston Road (111),a,Kingston Road,989,5542367,511371111,Scarborough,38007
43.7464491,-79.2090734,2,Kingston Road (113),a,Kingston Road,989,5542367,511371113,Scarborough,38007
43.7464586,-79.2088434,2,Kingston Road (416),a,Kingston Road,989,5542367,95082416,Scarborough,38007
43.7466201,-79.2089195,2,Kingston Road (922),a,Kingston Road,989,5542367,417293922,Scarborough,38007
43.7466201,-79.2089195,2,Kingston Road (921),a,Kingston Road,989,5542367,611550921,Scarborough,38007
43.7468998,-79.2086607,2,Kingston Road (921),a,Kingston Road,989,5542367,417293921,Scarborough,38007
