lat,lon,sz,names,len_cat
37.3132991,-5.9695862,2,Avenida de Bellavista (485),a
37.3132991,-5.9695862,2,Avenida de Bellavista (496),a
37.3135804,-5.9722404,2,Carretera de La Isla (916),a
37.3136283,-5.9717916,2,Carretera de La Isla (904),a
37.3136407,-5.9721499,2,Carretera de La Isla (899),a
37.3136407,-5.9721499,2,Carretera de La Isla (917),a
37.313685,-5.9716767,2,Carretera de la Isla (895),a
37.3137863,-5.9720401,2,Carretera de La Isla (821),a
37.313831,-5.9712857,2,Carretera de la Isla (896),a
37.313831,-5.9712857,2,Carretera de la Isla (897),a
37.3139852,-5.9708867,2,Carretera de la Isla (898),a
37.3150928,-5.9693804,2,Avenida de Bellavista (521),a
37.3156442,-5.9685401,2,Urbanización Nueva Bellavista (018),a
37.3156871,-5.9688057,2,Urbanización Nueva Bellavista (017),a
37.3161088,-5.9689953,2,Avenida de Bellavista (487),a
37.3161971,-5.9691673,2,Avenida de Bellavista (400),a
37.3161971,-5.9691673,2,Avenida de Bellavista (511),a
37.3162251,-5.968407,2,Urbanización Nueva Bellavista (019),a
37.3162251,-5.968407,2,Urbanización Nueva Bellavista (020),a
37.3162457,-5.9691569,2,Avenida de Bellavista (997),a
37.3163441,-5.9676845,2,Calle Fuente de Cantos (805),a
37.3163441,-5.9676845,2,Calle Fuente de Cantos (805),a
37.3166845,-5.9688852,2,Avenida de Bellavista (490),a
37.3166845,-5.9688852,2,Avenida de Bellavista (499),a
37.3167728,-5.9682824,2,Urbanización Nueva Bellavista (664),a
37.3167961,-5.9682684,2,Calle Fuente de Cantos (661),a
37.3167961,-5.9682684,2,Urbanización Nueva Bellavista (021),a
37.3168143,-5.9682475,2,Calle Fuente de Cantos (662),a
37.3168269,-5.9690568,2,Avenida de Bellavista (397),a
37.3168282,-5.9682157,2,Calle Fuente de Cantos (663),a
37.31691,-5.9688637,2,Avenida de Bellavista (501),a
37.3169129,-5.9690461,2,Avenida de Bellavista (094),a
37.3169951,-5.9675412,2,Calle Fuente de Cantos (808),a
37.3169951,-5.9675412,2,Calle Fuente de Cantos (808),a
37.3169951,-5.9675412,2,Calle Fuente de Cantos (812),a
37.3169951,-5.9675412,2,Calle Fuente de Cantos (812),a
37.3170061,-5.9688689,2,Avenida de Bellavista (105),a
37.3170066,-5.9690503,2,Avenida de Bellavista (394),a
37.317009,-5.9674828,2,Calle Caldereros (909),a
37.317009,-5.9674828,2,Calle Caldereros (909),a
37.317009,-5.9674828,2,Calle Fuente de Cantos (813),a
37.317009,-5.9674828,2,Calle Fuente de Cantos (813),a
37.3170581,-5.9687655,2,Calle Palomas (203),a
37.3170617,-5.9688181,2,Calle Palomas (090),a
37.3170628,-5.969061,2,Avenida de Bellavista (093),a
37.3170727,-5.9687024,2,Calle Palomas (204),a
37.3170801,-5.968852,2,Calle Palomas (091),a
37.3171165,-5.9688979,2,Avenida de Bellavista (504),a
37.3171165,-5.9688979,2,Calle Palomas (202),a
37.317119,-5.9690841,2,Avenida de Bellavista (092),a
37.3171611,-5.9668284,2,Avenida de Jerez (492),a
37.3171611,-5.9668284,2,Calle Fuente de Cantos (815),a
37.3171611,-5.9668284,2,Calle Guadalajara (634),a
