lat,lon,sz,names,len_cat
49.6532942,-123.2594323,2,WF1000 (185),a
49.6532942,-123.2594323,2,WF1000 (185),a
49.6533189,-123.25943,2,WF1000 (216),a
49.6533189,-123.25943,2,WF1000 (216),a
49.6535434,-123.2594099,2,WF1000 (186),a
49.6535434,-123.2594099,2,WF1000 (186),a
49.6536382,-123.2600004,2,WF1000 (198),a
49.6536382,-123.2600004,2,WF1000 (198),a
49.6536386,-123.2600368,2,WF1000 (199),a
49.6536386,-123.2600368,2,WF1000 (199),a
49.6536427,-123.2599532,2,WF1000 (197),a
49.6536427,-123.2599532,2,WF1000 (197),a
49.6536431,-123.2600653,2,WF1000 (200),a
49.6536431,-123.2600653,2,WF1000 (200),a
49.6536559,-123.2599183,2,WF1000 (196),a
49.6536559,-123.2599183,2,WF1000 (196),a
49.6536573,-123.2600905,2,WF1000 (201),a
49.6536573,-123.2600905,2,WF1000 (201),a
49.6536719,-123.2601039,2,WF1000 (202),a
49.6536719,-123.2601039,2,WF1000 (202),a
49.6536969,-123.2601109,2,WF1000 (203),a
49.6536969,-123.2601109,2,WF1000 (203),a
49.6537132,-123.2598217,2,WF1000 (195),a
49.6537132,-123.2598217,2,WF1000 (195),a
49.6537191,-123.2601093,2,WF1000 (204),a
49.6537191,-123.2601093,2,WF1000 (204),a
49.6537889,-123.2600948,2,WF1000 (205),a
49.6537889,-123.2600948,2,WF1000 (205),a
49.6537935,-123.2597053,2,WF1000 (194),a
49.6537935,-123.2597053,2,WF1000 (194),a
49.6538403,-123.2594044,2,WF1000 (187),a
49.6538403,-123.2594044,2,WF1000 (187),a
49.6538525,-123.2596104,2,WF1000 (193),a
49.6538525,-123.2596104,2,WF1000 (193),a
49.6538594,-123.2594162,2,WF1000 (188),a
49.6538594,-123.2594162,2,WF1000 (188),a
49.6538713,-123.2594478,2,WF1000 (189),a
49.6538713,-123.2594478,2,WF1000 (189),a
49.6538719,-123.2595406,2,WF1000 (192),a
49.6538719,-123.2595406,2,WF1000 (192),a
49.6538765,-123.2594741,2,WF1000 (190),a
49.6538765,-123.2594741,2,WF1000 (190),a
49.6538768,-123.2595084,2,WF1000 (191),a
49.6538768,-123.2595084,2,WF1000 (191),a
49.6540027,-123.2600311,2,WF1000 (206),a
49.6540027,-123.2600311,2,WF1000 (206),a
49.6541574,-123.2600116,2,WF1000 (207),a
49.6543064,-123.2600059,2,WF1000 (208),a
49.6543638,-123.2599774,2,WF1000 (209),a
49.6545538,-123.2598343,2,WF1000 (210),a
49.6546491,-123.2598213,2,WF1000 (211),a
49.6547536,-123.2598146,2,WF1000 (212),a
49.6547985,-123.2598316,2,WF1000 (213),a
49.654848,-123.2598719,2,WF1000 (214),a
49.6548948,-123.2599569,2,WF1000 (215),a
49.6553691,-123.2602447,2,WF3-1 (974),a
49.6554349,-123.260235,2,WF3-1 (975),a
49.6554838,-123.2602512,2,WF3-1 (976),a
49.6623409,-123.1729362,2,Highway 99 (314),a
49.6623409,-123.1729362,2,Highway 99 (314),a
49.662921,-123.1724315,2,Highway 99 (318),a
49.662921,-123.1724315,2,Highway 99 (318),a
49.6636866,-123.1714768,2,Highway 99 (320),a
49.6636866,-123.1714768,2,Highway 99 (320),a
49.6639442,-123.1709316,2,Highway 99 (322),a
49.6639442,-123.1709316,2,Highway 99 (322),a
49.6683606,-123.2581897,2,Woodfibre Mainline 2 (217),a
49.6687884,-123.1683468,2,Darrel Bay Road (569),a
49.6688389,-123.168214,2,Darrel Bay Road (873),a
49.6688585,-123.1681629,2,Darrel Bay Road (874),a
49.6691056,-123.1675169,2,Darrel Bay Road (875),a
49.6693951,-123.1667599,2,Darrel Bay Road (876),a
49.6695814,-123.1662739,2,Darrel Bay Road (571),a
49.669649,-123.1660972,2,Darrel Bay Road (573),a
49.6697364,-123.1659602,2,Darrel Bay Road (575),a
49.6700776,-123.1656176,2,Darrel Bay Road (577),a
49.6701682,-123.1654305,2,Darrel Bay Road (580),a
49.6701954,-123.1647816,2,Darrel Bay Road (586),a
49.6701972,-123.1648505,2,Darrel Bay Road (584),a
49.6702067,-123.1652147,2,Darrel Bay Road (582),a
49.6702134,-123.1646446,2,Darrel Bay Road (588),a
49.6702738,-123.1644746,2,Darrel Bay Road (590),a
49.6703132,-123.1644306,2,Darrel Bay Road (592),a
