lat,lon,sz,names,len_cat
-37.892856,145.0881784,2,Dandenong Road (246),a
-37.892856,145.0881784,2,Warrigal Road (232),a
-37.892844,145.0880747,2,Dandenong Road (245),a
-37.8928401,145.0880409,2,Dandenong Road (244),a
-37.892817,145.087852,2,Dandenong Road (243),a
-37.892817,145.087852,2,Dandenong Road (756),a
-37.8928121,145.0878121,2,Dandenong Road (755),a
-37.89278,145.0875382,2,Dandenong Road (751),a
-37.89278,145.0875382,2,Dandenong Road (754),a
-37.8927774,145.088194,2,Warrigal Road (233),a
-37.892754,145.0873162,2,Dandenong Road (750),a
-37.892754,145.0873162,2,Dandenong Road (753),a
-37.8927395,145.0871927,2,Dandenong Road (448),a
-37.8927395,145.0871927,2,Dandenong Road (752),a
-37.8927078,145.0882079,2,Warrigal Road (222),a
-37.8927078,145.0882079,2,Warrigal Road (234),a
-37.8926968,145.0866945,2,Dandenong Road (447),a
-37.8926968,145.0866945,2,Dandenong Road (758),a
-37.8926819,145.0865811,2,Dandenong Road (179),a
-37.8926819,145.0865811,2,Dandenong Road (311),a
-37.8926819,145.0865811,2,Dandenong Road (703),a
-37.8926819,145.0865811,2,Dandenong Road (757),a
-37.8926594,145.0864262,2,Dandenong Road (702),a
-37.8926337,145.0862644,2,Dandenong Road (700),a
-37.8926337,145.0862644,2,Dandenong Road (701),a
-37.8926173,145.0861704,2,Dandenong Road (699),a
-37.8926041,145.0882313,2,Warrigal Road (223),a
-37.892602,145.0865516,2,Dandenong Road (178),a
-37.892602,145.0865516,2,Dandenong Road (310),a
-37.8925984,145.0860809,2,Dandenong Road (698),a
-37.8925856,145.0865409,2,Dandenong Road (177),a
-37.8925856,145.0865409,2,Dandenong Road (309),a
-37.8925818,145.0860037,2,Dandenong Road (697),a
-37.8925818,145.0860037,2,Dandenong Road (761),a
-37.8925766,145.0865261,2,Dandenong Road (176),a
-37.8925766,145.0865261,2,Dandenong Road (308),a
-37.8925639,145.086502,2,Dandenong Road (175),a
-37.8925639,145.086502,2,Dandenong Road (307),a
-37.8925549,145.0864577,2,Dandenong Road (174),a
-37.8925549,145.0864577,2,Dandenong Road (306),a
-37.8925443,145.085859,2,Dandenong Road (760),a
-37.89253,145.0863035,2,Dandenong Road (173),a
-37.89253,145.0863035,2,Dandenong Road (305),a
-37.8925167,145.0857521,2,Dandenong Road (323),a
-37.8925167,145.0857521,2,Dandenong Road (759),a
-37.8924951,145.0861211,2,Dandenong Road (172),a
-37.8924951,145.0861211,2,Dandenong Road (304),a
-37.8924935,145.0882561,2,Warrigal Road (224),a
-37.8924792,145.0856316,2,Dandenong Road (322),a
-37.8924755,145.0860339,2,Carrum Street (138),a
-37.8924755,145.0860339,2,Carrum Street (159),a
-37.8924755,145.0860339,2,Dandenong Road (171),a
-37.8924755,145.0860339,2,Dandenong Road (303),a
-37.8924522,145.085936,2,Dandenong Road (170),a
-37.8924522,145.085936,2,Dandenong Road (302),a
-37.8924226,145.08582,2,Dandenong Road (169),a
-37.8924226,145.08582,2,Dandenong Road (301),a
-37.8924171,145.0854497,2,Dandenong Road (321),a
-37.8923933,145.0860495,2,Carrum Street (478),a
-37.8923933,145.0860495,2,Carrum Street (595),a
-37.8923898,145.0857,2,Dandenong Road (168),a
-37.8923898,145.0857,2,Dandenong Road (300),a
-37.8923839,145.0882783,2,Warrigal Road (225),a
