lat,lon,sz,names,len_cat
37.3333052,-122.0164664,2,Linnet Lane (108),a
37.3333052,-122.0164664,2,Shetland Place (094),a
37.333308,-122.0174178,2,Lark Lane (173),a
37.333308,-122.0174178,2,Shetland Place (093),a
37.3333412,-122.0178643,2,Shetland Place (092),a
37.3334688,-122.0182621,2,Shetland Place (091),a
37.3334688,-122.0182621,2,Shetland Place (091),a
37.333819,-122.0541725,2,Pocatello Avenue (826),a
37.333819,-122.0541725,2,Pocatello Avenue (826),a
37.3338265,-122.0532431,2,Kimberly Drive (798),a
37.3338265,-122.0532431,2,Pocatello Avenue (825),a
37.3338489,-122.0529481,2,Pocatello Avenue (824),a
37.333849,-122.0544913,2,Pocatello Avenue (827),a
37.333849,-122.0544913,2,Pocatello Avenue (827),a
37.3338699,-122.0546063,2,Pocatello Avenue (828),a
37.3338699,-122.0546063,2,Pocatello Avenue (828),a
37.3339029,-122.0547184,2,Pocatello Avenue (829),a
37.3339029,-122.0547184,2,Pocatello Avenue (829),a
37.3339602,-122.0548278,2,Pocatello Avenue (830),a
37.3339602,-122.0548278,2,Pocatello Avenue (830),a
37.3339602,-122.0548278,2,Wright Avenue (675),a
37.3339602,-122.0548278,2,Wright Avenue (675),a
37.3339998,-122.0521418,2,Pocatello Avenue (823),a
37.3340141,-122.0548929,2,Wright Avenue (674),a
37.3340141,-122.0548929,2,Wright Avenue (674),a
37.3340523,-122.0195233,2,Heron Avenue (196),a
37.3340523,-122.0195233,2,Heron Avenue (196),a
37.3340523,-122.0195233,2,Shetland Place (090),a
37.3340523,-122.0195233,2,Shetland Place (090),a
37.334065,-122.0164735,2,Linnet Lane (487),a
37.3340791,-122.0549455,2,Wright Avenue (673),a
37.3340791,-122.0549455,2,Wright Avenue (673),a
37.3341309,-122.0515101,2,Pocatello Avenue (822),a
37.3341517,-122.054987,2,Wright Avenue (672),a
37.3341517,-122.054987,2,Wright Avenue (672),a
37.3341939,-122.0514544,2,Laurentian Way (417),a
37.3341939,-122.0514544,2,Pocatello Avenue (821),a
37.3342288,-122.0550161,2,Wright Avenue (671),a
37.3342288,-122.0550161,2,Wright Avenue (671),a
37.3344206,-122.0184168,2,Killdeer Court (190),a
37.3345596,-122.0541143,2,Karameos Court (871),a
37.3347167,-122.0568373,2,Calgary Drive (406),a
37.3347167,-122.0568373,2,Calgary Drive (406),a
37.3347832,-122.0559396,2,Chetamon Court (285),a
37.3347832,-122.0559396,2,Chetamon Court (285),a
37.3347857,-122.0523486,2,Lamont Court (555),a
37.3349737,-122.0443149,2,Noranda Drive (533),a
