lat,lon,sz,names,len_cat
-33.9113908,151.2443903,2,Eulalie Avenue (192),a
-33.9113908,151.2443903,2,Eulalie Avenue (506),a
-33.9113873,151.2250865,2,Darling Street (768),a
-33.9113873,151.2250865,2,Doncaster Avenue (090),a
-33.9113672,151.1790163,2,Lackey Street (015),a
-33.9113564,151.2192997,2,Tunstall Avenue (268),a
-33.9113564,151.2192997,2,Tunstall Avenue (708),a
-33.9113553,151.2232661,2,Anzac Parade (149),a
-33.9113553,151.2357262,2,Wansey Road (893),a
-33.9113479,151.2086487,2,Epsom Road (604),a
-33.9113479,151.2086487,2,George Julius Avenue (763),a
-33.9113452,151.2194849,2,Addison Street (321),a
-33.9113452,151.2194849,2,Balfour Road (677),a
-33.9113424,151.2193848,2,Tunstall Avenue (707),a
-33.9113408,151.1667869,2,Sloane Lane (198),a
-33.9113359,151.1738889,2,Conway Place (686),a
-33.9113216,151.2158321,2,Lenthall Street (084),a
-33.9113216,151.2158321,2,Lenthall Street (644),a
-33.9113125,151.2357406,2,Wansey Road (494),a
-33.9113008,151.2087201,2,George Julius Avenue (764),a
-33.9112967,151.2359722,2,Alison Road (395),a
-33.9112964,151.1767411,2,Florence Street (884),a
-33.9112962,151.2357495,2,Wansey Road (493),a
-33.9112962,151.2357495,2,Wansey Road (748),a
-33.9112962,151.2357495,2,Wansey Road (891),a
-33.9112925,151.2117231,2,Link Road (430),a
-33.9112818,151.1773423,2,Campbell Street (571),a
-33.9112818,151.1773423,2,Campbell Street (605),a
-33.9112818,151.1773423,2,Campbell Street (607),a
-33.9112791,151.2087359,2,George Julius Avenue (765),a
-33.9112788,151.2357624,2,Wansey Road (076),a
-33.9112788,151.2357624,2,Wansey Road (911),a
-33.9112759,151.2230745,2,Anzac Parade (160),a
-33.9112753,151.1738283,2,Conway Place (687),a
-33.9112717,151.2359561,2,Alison Road (396),a
-33.9112717,151.2359561,2,Alison Road (887),a
-33.9112664,151.2434848,2,Eulalie Avenue (381),a
-33.911266,151.2363155,2,Tram Lane (141),a
-33.911266,151.2363155,2,Tram Lane (374),a
-33.911266,151.2363155,2,Tram Lane (690),a
-33.9112656,151.2433829,2,Avoca Street (362),a
-33.9112656,151.2433829,2,Eulalie Avenue (194),a
-33.9112656,151.2433829,2,Eulalie Avenue (973),a
-33.9112648,151.1977555,2,O'Riordan Street (218),a
-33.9112629,151.2357777,2,Wansey Road (747),a
-33.9112629,151.2357777,2,Wansey Road (890),a
-33.9112609,151.2362939,2,Tram Lane (864),a
-33.9112577,151.2159677,2,Lenthall Street (645),a
-33.9112539,151.2357858,2,Wansey Road (129),a
-33.9112491,151.2237102,2,Darling Lane (929),a
-33.9112491,151.2237102,2,Darling Street (770),a
-33.9112481,151.2357951,2,Wansey Road (075),a
-33.9112452,151.2432314,2,Frances Street (016),a
-33.9112452,151.2432314,2,Frances Street (143),a
-33.9112452,151.2432314,2,Frances Street (699),a
-33.911245,151.2095618,2,Letitia Street (095),a
