lat,lon,sz,names,len_cat
36.0107896,-5.6077752,2,Calle Juan de Austria (934),a
36.0108379,-5.6075917,2,Calle Juan de Austria (933),a
36.0110763,-5.603655,2,Calle María Coronel (458),a
36.0110811,-5.6036938,2,Calle María Coronel (459),a
36.0110909,-5.6037527,2,Calle María Coronel (460),a
36.0111156,-5.6034497,2,Calle María Coronel (457),a
36.0111291,-5.6038101,2,Calle María Coronel (461),a
36.0112548,-5.6039047,2,Calle María Coronel (462),a
36.0112924,-5.6021977,2,Calle María Coronel (452),a
36.0112977,-5.6021251,2,Calle María Coronel (451),a
36.0113019,-5.6022703,2,Calle María Coronel (453),a
36.0113475,-5.6024236,2,Calle María Coronel (454),a
36.0113544,-5.6025334,2,Calle María Coronel (456),a
36.0113563,-5.6024755,2,Calle María Coronel (455),a
36.0116035,-5.6014493,2,Calle María Coronel (449),a
36.0116035,-5.6014493,2,Calle María Coronel (449),a
36.0116205,-5.6010139,2,Calle María Coronel (439),a
36.0116205,-5.6010139,2,Calle María Coronel (439),a
36.0116206,-5.6009541,2,Calle María Coronel (437),a
36.0116206,-5.6009541,2,Calle María Coronel (437),a
36.0116303,-5.6013524,2,Calle María Coronel (446),a
36.0116303,-5.6013524,2,Calle María Coronel (446),a
36.0116379,-5.6008364,2,Calle María Coronel (359),a
36.011639,-5.6012333,2,Calle María Coronel (441),a
36.011639,-5.6012333,2,Calle María Coronel (441),a
36.0116396,-5.601271,2,Calle María Coronel (444),a
36.0116396,-5.601271,2,Calle María Coronel (444),a
36.0116671,-5.6007414,2,Calle María Coronel (956),a
36.0116791,-5.6007019,2,Calle María Coronel (957),a
36.0118747,-5.6000561,2,Calle María Coronel (432),a
36.0119195,-5.5999715,2,Calle María Coronel (430),a
36.0127558,-5.6083011,2,Barrio Cardenal Cisneros (521),a
36.0131854,-5.6087953,2,Barrio Cardenal Cisneros (163),a
36.0132056,-5.6097436,2,Paseo Marítimo (847),a
36.0132094,-5.6097809,2,Paseo Marítimo (905),a
36.0132133,-5.6096843,2,Paseo Marítimo (777),a
36.0132243,-5.6088358,2,Barrio Cardenal Cisneros (164),a
36.013239,-5.6097788,2,Paseo Marítimo (887),a
36.0133129,-5.6088597,2,Barrio Cardenal Cisneros (165),a
36.0133129,-5.6088597,2,Barrio Cardenal Cisneros (889),a
36.0133129,-5.6088597,2,Barrio Cardenal Cisneros (900),a
36.0133151,-5.6088798,2,Barrio Cardenal Cisneros (890),a
36.0133177,-5.6097712,2,Paseo Marítimo (952),a
36.0133193,-5.6088431,2,Barrio Cardenal Cisneros (899),a
36.0133262,-5.6088946,2,Barrio Cardenal Cisneros (891),a
36.0133317,-5.6088331,2,Barrio Cardenal Cisneros (898),a
36.0133422,-5.608899,2,Barrio Cardenal Cisneros (892),a
36.0133466,-5.6088326,2,Barrio Cardenal Cisneros (897),a
36.0133481,-5.6098771,2,Paseo Marítimo (981),a
36.0133495,-5.6099149,2,Paseo Marítimo (845),a
36.0133573,-5.6088914,2,Barrio Cardenal Cisneros (893),a
36.0133594,-5.6088418,2,Barrio Cardenal Cisneros (896),a
36.0133657,-5.6088762,2,Barrio Cardenal Cisneros (894),a
36.0133665,-5.6088579,2,Barrio Cardenal Cisneros (895),a
36.0133803,-5.6099095,2,Paseo Marítimo (976),a
36.0134379,-5.6098712,2,Paseo Marítimo (779),a
36.0134917,-5.6100158,2,Paseo Marítimo (942),a
36.0134923,-5.6100505,2,Paseo Marítimo (979),a
36.0135122,-5.6099352,2,Paseo Marítimo (778),a
36.0135219,-5.6100443,2,Paseo Marítimo (911),a
36.0136473,-5.6101284,2,Paseo Marítimo (856),a
36.0136494,-5.610171,2,Paseo Marítimo (957),a
36.0136802,-5.61015,2,Paseo Marítimo (984),a
36.0137068,-5.6101506,2,Paseo Marítimo (542),a
36.0137104,-5.610107,2,Paseo Marítimo (790),a
36.0138052,-5.6102211,2,Paseo Marítimo (962),a
36.0138155,-5.6102563,2,Paseo Marítimo (958),a
36.0138418,-5.6102452,2,Paseo Marítimo (912),a
36.0138821,-5.6101839,2,Paseo Marítimo (543),a
36.0139165,-5.6100914,2,Paseo Marítimo (795),a
36.0140118,-5.6102618,2,Paseo Marítimo (544),a
36.0141224,-5.6103236,2,Paseo Marítimo (774),a
36.0141288,-5.6103829,2,Paseo Marítimo (545),a
36.0141349,-5.6104087,2,Paseo Marítimo (909),a
36.0141414,-5.6104423,2,Paseo Marítimo (890),a
36.0141707,-5.610432,2,Paseo Marítimo (881),a
36.0142961,-5.6105031,2,Paseo Marítimo (945),a
36.0143074,-5.6105383,2,Paseo Marítimo (940),a
36.0143286,-5.6105269,2,Paseo Marítimo (941),a
36.0143534,-5.6104784,2,Paseo Marítimo (775),a
36.0143729,-5.61049,2,Paseo Marítimo (854),a
36.0143897,-5.6105001,2,Paseo Marítimo (780),a
36.0144622,-5.6106011,2,Paseo Marítimo (903),a
36.0144696,-5.6106348,2,Paseo Marítimo (860),a
36.014497,-5.6106221,2,Paseo Marítimo (833),a
36.0146244,-5.6106974,2,Paseo Marítimo (829),a
36.0146321,-5.6107307,2,Paseo Marítimo (844),a
36.0146568,-5.6107174,2,Paseo Marítimo (923),a
36.0147887,-5.6107911,2,Paseo Marítimo (828),a
36.0147959,-5.6108246,2,Paseo Marítimo (809),a
36.0148206,-5.6108088,2,Paseo Marítimo (821),a
36.0148587,-5.6011856,2,Barrio Jesús Nazareno (122),a
36.0148587,-5.6011856,2,Barrio Jesús Nazareno (122),a
36.0148598,-5.6012059,2,Barrio Jesús Nazareno (121),a
36.0148598,-5.6012059,2,Barrio Jesús Nazareno (121),a
36.0148626,-5.6011659,2,Barrio Jesús Nazareno (123),a
36.0148626,-5.6011659,2,Barrio Jesús Nazareno (123),a
36.0148656,-5.6012249,2,Barrio Jesús Nazareno (120),a
36.0148656,-5.6012249,2,Barrio Jesús Nazareno (120),a
36.014871,-5.6011485,2,Barrio Jesús Nazareno (124),a
36.014871,-5.6011485,2,Barrio Jesús Nazareno (124),a
36.0149481,-5.6108828,2,Paseo Marítimo (885),a
36.0149614,-5.6109176,2,Paseo Marítimo (892),a
36.0149879,-5.6109053,2,Paseo Marítimo (888),a
36.0150174,-5.6010103,2,Barrio Jesús Nazareno (125),a
36.0150369,-5.6010085,2,Barrio Jesús Nazareno (126),a
36.0150558,-5.6010151,2,Barrio Jesús Nazareno (127),a
36.0150717,-5.6010291,2,Barrio Jesús Nazareno (128),a
36.0151137,-5.610973,2,Paseo Marítimo (897),a
36.0151246,-5.6110065,2,Paseo Marítimo (965),a
36.0151385,-5.6109591,2,Paseo Marítimo (546),a
36.0151498,-5.6109919,2,Paseo Marítimo (936),a
36.0151766,-5.6109421,2,Paseo Marítimo (788),a
36.0152027,-5.6012433,2,Barrio Jesús Nazareno (408),a
36.0152027,-5.6012433,2,Barrio Jesús Nazareno (408),a
36.0152796,-5.6110606,2,Paseo Marítimo (886),a
