lat,lon,sz,names,len_cat
44.5817399,-79.9578908,2,Crossland Road (220),a
44.5817399,-79.9578908,2,Crossland Road (220),a
44.5817399,-79.9578908,2,Crossland Road (711),a
44.5817399,-79.9578908,2,Crossland Road (711),a
44.5826953,-79.9587058,2,Crossland Road (221),a
44.5847115,-79.9602945,2,Crossland Road (222),a
44.5870323,-79.9835784,2,Lawson Road West (025),a
44.5874464,-79.9825634,2,Lawson Road West (028),a
44.5874913,-79.9625161,2,Crossland Road (223),a
44.5896564,-79.9642263,2,Crossland Road (224),a
44.5896706,-79.977586,2,Lawson Road West (030),a
44.591717,-79.965871,2,Crossland Road (225),a
44.5921228,-79.9719618,2,Lawson Road West (032),a
44.5933042,-79.9691944,2,Lawson Road West (034),a
44.5933042,-79.9691944,2,Lawson Road West (034),a
44.5938575,-79.9675786,2,Crossland Road (226),a
44.593987,-79.967673,2,Crossland Road (227),a
44.593987,-79.967673,2,Crossland Road (228),a
44.593987,-79.967673,2,Lawson Road West (036),a
44.593987,-79.967673,2,Lawson Road West (042),a
44.5951564,-79.9649534,2,Lawson Road West (044),a
44.5952817,-79.968712,2,Crossland Road (229),a
44.5952817,-79.968712,2,Crossland Road (229),a
44.5961964,-79.9238719,2,Ushers Road (788),a
44.5967486,-79.9698843,2,Crossland Road (230),a
44.5977677,-79.9586786,2,Lawson Road West (046),a
44.5982431,-79.9710812,2,Crossland Road (231),a
44.599165,-79.9171451,2,Concession 2 West (712),a
44.5997381,-79.9722817,2,Crossland Road (232),a
44.6011715,-79.9734307,2,Crossland Road (233),a
44.6023011,-79.9821287,2,Concession 3 West (573),a
44.6023011,-79.9821287,2,Concession 3 West (573),a
44.6025998,-79.9745869,2,Crossland Road (234),a
44.603324,-79.9798028,2,Concession 3 West (574),a
44.6040207,-79.9757299,2,Crossland Road (235),a
44.6041035,-79.9780397,2,Concession 3 West (575),a
44.6045185,-79.9770897,2,Concession 3 West (576),a
44.604827,-79.9763832,2,Concession 3 West (577),a
44.604827,-79.9763832,2,Concession 3 West (586),a
44.604827,-79.9763832,2,Crossland Road (212),a
44.604827,-79.9763832,2,Crossland Road (236),a
44.6051405,-79.9221651,2,Concession 2 West (711),a
44.6051405,-79.9221651,2,Concession 2 West (711),a
44.6052895,-79.9222827,2,Concession 2 West (710),a
44.6054104,-79.9222566,2,Concession 2 West (709),a
44.6056942,-79.9742874,2,Concession 3 West (587),a
44.6059192,-79.9219821,2,Concession 2 West (708),a
44.6059192,-79.9219821,2,Concession 2 West (708),a
44.6061692,-79.9774651,2,Crossland Road (213),a
44.6074444,-79.9784926,2,Crossland Road (214),a
44.6075204,-79.9697006,2,Concession 3 West (588),a
44.6075204,-79.9697006,2,Concession 3 West (588),a
44.6084324,-79.9792932,2,Crossland Road (215),a
44.6085815,-79.9207639,2,Concession 2 West (707),a
44.6085815,-79.9207639,2,Concession 2 West (707),a
44.6086811,-79.9205419,2,Concession 2 West (947),a
44.6086811,-79.9205419,2,Concession 2 West (947),a
44.6088154,-79.9204638,2,Concession 2 West (950),a
44.6088154,-79.9204638,2,Concession 2 West (950),a
44.6089509,-79.9205117,2,Concession 2 West (952),a
44.6089509,-79.9205117,2,Concession 2 West (952),a
44.6090623,-79.9658388,2,Concession 3 West (589),a
44.6091669,-79.9205077,2,Concession 2 West (956),a
44.6091669,-79.9205077,2,Concession 2 West (956),a
44.609517,-79.9204004,2,Concession 2 West (958),a
44.609517,-79.9204004,2,Concession 2 West (958),a
44.6096064,-79.9203357,2,Concession 2 West (959),a
44.6096064,-79.9203357,2,Concession 2 West (959),a
44.6096786,-79.920347,2,Concession 2 West (961),a
44.6096786,-79.920347,2,Concession 2 West (961),a
44.6097677,-79.9202571,2,Concession 2 West (963),a
44.6097677,-79.9202571,2,Concession 2 West (963),a
44.6098838,-79.9804528,2,Crossland Road (216),a
44.6098838,-79.9804528,2,Crossland Road (216),a
44.6100281,-79.9201767,2,Concession 2 West (965),a
44.6100281,-79.9201767,2,Concession 2 West (965),a
44.6102069,-79.9200473,2,Concession 2 West (968),a
44.6102069,-79.9200473,2,Concession 2 West (968),a
44.6103672,-79.9626479,2,Concession 3 West (590),a
44.6103953,-79.9199808,2,Concession 2 West (969),a
44.6103953,-79.9199808,2,Concession 2 West (969),a
44.6106113,-79.9199768,2,Concession 2 West (970),a
44.6106113,-79.9199768,2,Concession 2 West (970),a
44.6110981,-79.9200434,2,Concession 2 West (971),a
44.6110981,-79.9200434,2,Concession 2 West (971),a
44.6111583,-79.8902571,2,County Road 6 South (312),a
44.6111583,-79.8902571,2,County Road 6 South (615),a
44.6113772,-79.9200508,2,Concession 2 West (972),a
44.6113772,-79.9200508,2,Concession 2 West (972),a
44.6113861,-79.9816154,2,Crossland Road (217),a
44.6115847,-79.9200974,2,Concession 2 West (973),a
44.6115847,-79.9200974,2,Concession 2 West (973),a
44.6117466,-79.9200818,2,Concession 2 West (974),a
44.6118034,-79.9592244,2,Concession 3 West (591),a
44.6119168,-79.8885698,2,Tiny Flos Townline (069),a
44.6120534,-79.9201517,2,Concession 2 West (975),a
44.6122335,-79.920161,2,Concession 2 West (976),a
44.6126197,-79.9200656,2,Concession 2 West (979),a
44.6128296,-79.8865416,2,County Road 27 (195),a
44.6128296,-79.8865416,2,County Road 27 (195),a
44.6128508,-79.9197463,2,Concession 2 West (980),a
44.6129197,-79.9828194,2,Crossland Road (218),a
44.6129197,-79.9828194,2,Crossland Road (218),a
44.6130166,-79.9191886,2,Concession 2 West (981),a
44.6131669,-79.9189086,2,Concession 2 West (982),a
