lat,lon,sz,names,len_cat
60.0550421,11.1264004,2,Skjelmerudvegen (576),a
60.0550522,11.127362,2,Skjelmerudvegen (575),a
60.0550609,11.1261464,2,Skjelmerudvegen (577),a
60.0550673,11.1279244,2,Skjelmerudvegen (623),a
60.0550909,11.1288002,2,Skjelmerudvegen (574),a
60.0550909,11.1288002,2,Skjelmerudvegen (574),a
60.0551045,11.1259119,2,Skjelmerudvegen (578),a
60.0551069,11.1290399,2,Skjelmerudvegen (573),a
60.0551069,11.1290399,2,Skjelmerudvegen (573),a
60.0551365,11.129301,2,Skjelmerudvegen (572),a
60.0551365,11.129301,2,Skjelmerudvegen (572),a
60.0551455,11.1295542,2,Skjelmerudvegen (571),a
60.0551455,11.1295542,2,Skjelmerudvegen (571),a
60.0551479,11.1298063,2,Skjelmerudvegen (570),a
60.0551479,11.1298063,2,Skjelmerudvegen (570),a
60.0551515,11.129946,2,Skjelmerudvegen (569),a
60.0551515,11.129946,2,Skjelmerudvegen (569),a
60.0551694,11.1257139,2,Skjelmerudvegen (579),a
60.0551802,11.1300321,2,Skjelmerudvegen (568),a
60.0551802,11.1300321,2,Skjelmerudvegen (568),a
60.0552268,11.13007,2,Skjelmerudvegen (567),a
60.0552268,11.13007,2,Skjelmerudvegen (567),a
60.0552604,11.1255121,2,Skjelmerudvegen (580),a
60.0553366,11.1300765,2,Skjelmerudvegen (566),a
60.0553366,11.1300765,2,Skjelmerudvegen (566),a
60.0553649,11.1252767,2,Skjelmerudvegen (581),a
60.0554717,11.1300922,2,Skjelmerudvegen (565),a
60.0554717,11.1300922,2,Skjelmerudvegen (565),a
60.0554909,11.1250479,2,Skjelmerudvegen (582),a
60.0555695,11.1301002,2,Skjelmerudvegen (564),a
60.0555695,11.1301002,2,Skjelmerudvegen (564),a
60.0555789,11.1249064,2,Skjelmerudvegen (583),a
60.0556669,11.1247871,2,Skjelmerudvegen (584),a
60.0558584,11.1245662,2,Skjelmerudvegen (585),a
60.0560588,11.1243813,2,Skjelmerudvegen (586),a
60.0565568,11.1237275,2,Skjelmerudvegen (587),a
60.0573549,11.1222873,2,Skjelmerudvegen (588),a
60.057403,11.1221644,2,Skjelmerudvegen (589),a
60.057426,11.1220235,2,Skjelmerudvegen (590),a
60.057631,11.1190999,2,Trondheimsvegen - Kløfta (945),a
60.057631,11.1190999,2,Trondheimsvegen - Kløfta (945),a
60.0579212,11.1193255,2,Trondheimsvegen - Kløfta (953),a
60.0579212,11.1193255,2,Trondheimsvegen - Kløfta (953),a
60.058249,11.1196417,2,Trondheimsvegen - Kløfta (944),a
60.058249,11.1196417,2,Trondheimsvegen - Kløfta (944),a
60.0589454,11.1204179,2,Trondheimsvegen - Kløfta (943),a
60.0589454,11.1204179,2,Trondheimsvegen - Kløfta (943),a
60.0590389,11.1516928,2,Isingrudvegen (679),a
60.0592563,11.1207573,2,Trondheimsvegen - Kløfta (948),a
60.0592563,11.1207573,2,Trondheimsvegen - Kløfta (948),a
60.059448,11.179926,2,Asakveien (845),a
60.059448,11.179926,2,Asakveien (845),a
60.059448,11.179926,2,Ilevegen (645),a
60.059448,11.179926,2,Ilevegen (645),a
60.0595084,11.1210131,2,Trondheimsvegen - Kløfta (951),a
60.0595084,11.1210131,2,Trondheimsvegen - Kløfta (951),a
60.059631,11.17985,2,Ilevegen (646),a
60.059631,11.17985,2,Ilevegen (646),a
60.059807,11.179749,2,Ilevegen (647),a
60.059807,11.179749,2,Ilevegen (647),a
60.0598813,11.1213498,2,Trondheimsvegen - Kløfta (952),a
60.0598813,11.1213498,2,Trondheimsvegen - Kløfta (952),a
60.059906,11.179676,2,Ilevegen (648),a
60.059906,11.179676,2,Ilevegen (648),a
60.060005,11.179588,2,Ilevegen (824),a
60.060005,11.179588,2,Ilevegen (824),a
60.0600052,11.1487937,2,Lindebergvegen (937),a
60.0600507,11.1514848,2,Isingrudvegen (680),a
60.0601,11.179486,2,Ilevegen (649),a
60.0601,11.179486,2,Ilevegen (649),a
60.0601536,11.1215727,2,Trondheimsvegen - Kløfta (942),a
60.0601536,11.1215727,2,Trondheimsvegen - Kløfta (942),a
60.060161,11.179409,2,Ilevegen (650),a
60.060161,11.179409,2,Ilevegen (650),a
60.0602284,11.1490121,2,Lindebergvegen (949),a
60.0602688,11.1515009,2,Isingrudvegen (681),a
60.060296,11.179196,2,Ilevegen (825),a
60.060296,11.179196,2,Ilevegen (825),a
60.060359,11.179079,2,Ilevegen (651),a
60.060359,11.179079,2,Ilevegen (651),a
60.060391,11.1491492,2,Lindebergvegen (938),a
60.060458,11.1515737,2,Isingrudvegen (782),a
60.0605142,11.14922,2,Lindebergvegen (950),a
60.0605507,11.1218801,2,Trondheimsvegen - Kløfta (950),a
60.0605507,11.1218801,2,Trondheimsvegen - Kløfta (950),a
60.060577,11.178634,2,Ilevegen (826),a
60.060577,11.178634,2,Ilevegen (826),a
60.0606434,11.1492844,2,Lindebergvegen (951),a
60.0606773,11.1517733,2,Isingrudvegen (682),a
60.0607455,11.1493179,2,Lindebergvegen (939),a
60.0608382,11.1493367,2,Lindebergvegen (952),a
60.0608529,11.1220826,2,Trondheimsvegen - Kløfta (947),a
60.0608529,11.1220826,2,Trondheimsvegen - Kløfta (947),a
60.0608961,11.1519483,2,Isingrudvegen (683),a
60.0609192,11.1493421,2,Lindebergvegen (954),a
60.0610242,11.1520042,2,Isingrudvegen (783),a
60.0610303,11.1493407,2,Lindebergvegen (953),a
60.0610868,11.1221989,2,Trondheimsvegen - Kløfta (946),a
60.0610868,11.1221989,2,Trondheimsvegen - Kløfta (946),a
60.061098,11.177617,2,Ilevegen (827),a
60.0611561,11.1493206,2,Lindebergvegen (955),a
60.0611718,11.152031,2,Isingrudvegen (684),a
60.0612648,11.1222867,2,Trondheimsvegen - Kløfta (949),a
60.0612648,11.1222867,2,Trondheimsvegen - Kløfta (949),a
60.0612703,11.1492855,2,Lindebergvegen (940),a
60.0612992,11.1520027,2,Isingrudvegen (685),a
60.0613763,11.1519559,2,Isingrudvegen (784),a
60.0613817,11.1492361,2,Lindebergvegen (956),a
60.0614123,11.1223559,2,Trondheimsvegen - Kløfta (941),a
60.0614123,11.1223559,2,Trondheimsvegen - Kløfta (941),a
60.0614378,11.1518992,2,Isingrudvegen (686),a
60.06148,11.176857,2,Ilevegen (652),a
60.0614921,11.1491771,2,Lindebergvegen (957),a
60.061604,11.17659,2,Ilevegen (828),a
60.0616297,11.1516124,2,Isingrudvegen (687),a
60.0616297,11.1516124,2,Isingrudvegen (688),a
60.0616961,11.1490363,2,Lindebergvegen (946),a
60.061711,11.176333,2,Ilevegen (829),a
60.061809,11.176063,2,Ilevegen (845),a
60.0618182,11.1489519,2,Lindebergvegen (941),a
60.061852,11.175917,2,Ilevegen (844),a
60.0618612,11.1512491,2,Isingrudvegen (652),a
60.0618612,11.1512491,2,Isingrudvegen (689),a
60.061888,11.175771,2,Ilevegen (843),a
60.0619089,11.1225617,2,Trondheimsvegen - Kløfta (067),a
60.0619089,11.1225617,2,Trondheimsvegen - Kløfta (067),a
60.0619089,11.1225617,2,Trondheimsvegen - Kløfta (954),a
60.0619089,11.1225617,2,Trondheimsvegen - Kløfta (954),a
60.061925,11.175577,2,Ilevegen (842),a
60.061937,11.175486,2,Ilevegen (841),a
60.061946,11.175388,2,Ilevegen (834),a
60.061956,11.175191,2,Ilevegen (830),a
60.061964,11.174663,2,Ilevegen (653),a
60.061969,11.174344,2,Ilevegen (833),a
60.061984,11.174065,2,Ilevegen (831),a
