lat,lon,sz,names,len_cat
49.2004677,-123.1305235,2,Oak Street (812),a
49.2004677,-123.1305235,2,Oak Street (812),a
49.2006294,-123.1354941,2,Hudson Street (351),a
49.2006294,-123.1354941,2,Hudson Street (351),a
49.2008271,-123.1354255,2,Hudson Street (352),a
49.2008271,-123.1354255,2,Hudson Street (352),a
49.2008951,-123.1305117,2,Oak Street (810),a
49.2008951,-123.1305117,2,Oak Street (810),a
49.2008951,-123.1305117,2,West 77th Avenue (847),a
49.2008951,-123.1305117,2,West 77th Avenue (847),a
49.2008991,-123.130685,2,West 77th Avenue (848),a
49.2008991,-123.130685,2,West 77th Avenue (848),a
49.2009285,-123.1324107,2,West 77th Avenue (849),a
49.2009628,-123.1347377,2,West 77th Avenue (850),a
49.2009628,-123.1347377,2,West 77th Avenue (850),a
49.2009771,-123.1348345,2,West 77th Avenue (345),a
49.2009771,-123.1348345,2,West 77th Avenue (345),a
49.2010264,-123.1351728,2,West 77th Avenue (851),a
49.2010264,-123.1351728,2,West 77th Avenue (851),a
49.2010514,-123.135344,2,Hudson Street (353),a
49.2010514,-123.135344,2,Hudson Street (353),a
49.2010514,-123.135344,2,West 77th Avenue (852),a
49.2010514,-123.135344,2,West 77th Avenue (852),a
49.2013572,-123.1328709,2,West 76th Avenue (910),a
49.2013675,-123.133506,2,West 76th Avenue (343),a
49.2013851,-123.134595,2,West 76th Avenue (911),a
49.2013912,-123.13463,2,West 76th Avenue (344),a
49.2014625,-123.1407536,2,Bentley Street (792),a
49.2014625,-123.1407536,2,Bentley Street (792),a
49.2014625,-123.1407536,2,Bentley Street (927),a
49.2014625,-123.1407536,2,Bentley Street (927),a
49.2014679,-123.1350713,2,West 76th Avenue (912),a
49.2014909,-123.1352033,2,Hudson Street (458),a
49.2014909,-123.1352033,2,Hudson Street (458),a
49.2014909,-123.1352033,2,West 76th Avenue (913),a
49.2014909,-123.1352033,2,West 76th Avenue (913),a
49.2015116,-123.1406803,2,Bentley Street (793),a
49.2015116,-123.1406803,2,Bentley Street (793),a
49.2015805,-123.1406133,2,Bentley Street (794),a
49.2015805,-123.1406133,2,Bentley Street (794),a
49.2017211,-123.1405029,2,Bentley Street (795),a
49.2017211,-123.1405029,2,Bentley Street (795),a
49.2018349,-123.1257113,2,Shaughnessy Street (393),a
49.2018349,-123.1257113,2,Shaughnessy Street (393),a
49.2018842,-123.140462,2,Bentley Street (796),a
49.2018842,-123.140462,2,Bentley Street (796),a
49.2019392,-123.1258124,2,Shaughnessy Street (929),a
49.2019392,-123.1258124,2,Shaughnessy Street (929),a
49.2020194,-123.135029,2,Hudson Street (459),a
49.2020229,-123.1404852,2,Bentley Street (797),a
49.2020229,-123.1404852,2,Bentley Street (797),a
