lat,lon,sz,names,len_cat
43.7499216,-79.6392485,2,Highway 50 (018),a
43.7499216,-79.6392485,2,Steeles Avenue West (527),a
43.7499216,-79.6392485,2,Steeles Avenue West (541),a
43.7499788,-79.639136,2,Steeles Avenue West (131),a
43.7499873,-79.6393197,2,Highway 50 (267),a
43.7499931,-79.6391078,2,Steeles Avenue West (130),a
43.7500216,-79.6393569,2,Highway 50 (266),a
43.7503353,-79.6383075,2,Steeles Avenue West (155),a
43.7503353,-79.6383075,2,Steeles Avenue West (155),a
43.7503353,-79.6383075,2,Steeles Avenue West (487),a
43.7503353,-79.6383075,2,Steeles Avenue West (487),a
43.7503353,-79.6383075,2,Steeles Avenue West (520),a
43.7503353,-79.6383075,2,Steeles Avenue West (520),a
43.7503447,-79.6384375,2,Steeles Avenue West (521),a
43.7503447,-79.6384375,2,Steeles Avenue West (521),a
43.7506976,-79.6374799,2,Steeles Avenue West (749),a
43.7506976,-79.6374799,2,Steeles Avenue West (749),a
43.7506976,-79.6374799,2,Steeles Avenue West (823),a
43.7506976,-79.6374799,2,Steeles Avenue West (823),a
43.7506976,-79.6374799,2,Steeles Avenue West (946),a
43.7506976,-79.6374799,2,Steeles Avenue West (946),a
43.7508647,-79.6369738,2,Steeles Avenue West (824),a
43.7508647,-79.6369738,2,Steeles Avenue West (824),a
43.7512268,-79.6347191,2,Alcide Street (619),a
43.7512268,-79.6347191,2,Alcide Street (645),a
43.7512268,-79.6347191,2,Steeles Avenue West (756),a
43.7512268,-79.6347191,2,Steeles Avenue West (954),a
43.7512412,-79.6341054,2,Steeles Avenue West (156),a
43.7512412,-79.6341054,2,Steeles Avenue West (528),a
43.7512412,-79.6341054,2,Steeles Avenue West (650),a
43.7512907,-79.6340173,2,Steeles Avenue West (649),a
43.751294,-79.6339087,2,Steeles Avenue West (648),a
43.7513062,-79.633556,2,Steeles Avenue West (647),a
43.7513198,-79.6332663,2,Steeles Avenue West (646),a
43.7513391,-79.6329659,2,Steeles Avenue West (645),a
43.7513676,-79.6326749,2,Steeles Avenue West (644),a
43.7514064,-79.6324147,2,Steeles Avenue West (642),a
43.7514274,-79.6320302,2,Steeles Avenue West (167),a
43.7514274,-79.6320302,2,Steeles Avenue West (539),a
43.7514274,-79.6320302,2,Steeles Avenue West (640),a
43.7514529,-79.6321304,2,Steeles Avenue West (641),a
43.752893,-79.6256258,2,Steeles Avenue West (323),a
43.752893,-79.6256258,2,Steeles Avenue West (323),a
43.752893,-79.6256258,2,Steeles Avenue West (395),a
43.752893,-79.6256258,2,Steeles Avenue West (395),a
43.752893,-79.6256258,2,Steeles Avenue West (901),a
43.752893,-79.6256258,2,Steeles Avenue West (901),a
43.7529547,-79.6255695,2,Steeles Avenue West (324),a
43.7529547,-79.6255695,2,Steeles Avenue West (324),a
43.7529721,-79.6250214,2,Signal Hill Avenue (097),a
43.7529721,-79.6250214,2,Signal Hill Avenue (097),a
43.7529721,-79.6250214,2,Signal Hill Avenue (192),a
43.7529721,-79.6250214,2,Signal Hill Avenue (192),a
43.7529721,-79.6250214,2,Signal Hill Avenue (414),a
43.7529721,-79.6250214,2,Signal Hill Avenue (414),a
43.7529721,-79.6250214,2,Steeles Avenue West (398),a
43.7529721,-79.6250214,2,Steeles Avenue West (398),a
43.7529721,-79.6250214,2,Steeles Avenue West (400),a
43.7529721,-79.6250214,2,Steeles Avenue West (400),a
43.7529721,-79.6250214,2,Steeles Avenue West (904),a
43.7529721,-79.6250214,2,Steeles Avenue West (904),a
43.7529721,-79.6250214,2,Steeles Avenue West (907),a
43.7529721,-79.6250214,2,Steeles Avenue West (907),a
43.7530187,-79.6252505,2,Steeles Avenue West (629),a
43.7530187,-79.6252505,2,Steeles Avenue West (629),a
43.7530603,-79.6250597,2,Signal Hill Avenue (193),a
43.7530603,-79.6250597,2,Signal Hill Avenue (193),a
43.7530603,-79.6250597,2,Steeles Avenue West (627),a
43.7530603,-79.6250597,2,Steeles Avenue West (627),a
43.7530603,-79.6250597,2,Steeles Avenue West (628),a
43.7530603,-79.6250597,2,Steeles Avenue West (628),a
