lat,lon,sz,names,len_cat
52.2079042,-7.1047761,2,Castlewoods (864),a
52.2080094,-7.0866933,2,Airport Road (237),a
52.2080516,-7.1046878,2,Castlewoods (426),a
52.2080516,-7.1046878,2,Castlewoods (426),a
52.2080805,-7.1093138,2,Old Tramore Road (882),a
52.2081609,-7.1093008,2,Old Tramore Road (881),a
52.208183,-7.0868764,2,Airport Road (236),a
52.2082024,-7.1046156,2,Castlewoods (863),a
52.2082024,-7.1046156,2,Castlewoods (863),a
52.2082123,-7.1092976,2,Old Tramore Road (880),a
52.2082637,-7.1093005,2,Old Tramore Road (879),a
52.2083004,-7.1089573,2,Castlewoods (829),a
52.2083087,-7.1091186,2,Castlewoods (828),a
52.2083132,-7.109309,2,Castlewoods (827),a
52.2083132,-7.109309,2,Old Tramore Road (878),a
52.2083546,-7.1093221,2,Old Tramore Road (877),a
52.2083791,-7.1046424,2,Castlewoods (425),a
52.2083791,-7.1046424,2,Castlewoods (425),a
52.2083794,-7.1160368,2,Tramore Road (713),a
52.2083794,-7.1160368,2,Tramore Road (713),a
52.208396,-7.1093372,2,Old Tramore Road (876),a
52.2084144,-7.0871149,2,Airport Road (235),a
52.2084465,-7.1093593,2,Old Tramore Road (875),a
52.2085032,-7.1160358,2,Tramore Road (712),a
52.2085688,-7.1075796,2,Castlewoods (830),a
52.208579,-7.1046726,2,Castlewoods (862),a
52.208579,-7.1046726,2,Castlewoods (862),a
52.2086116,-7.1071885,2,Castlewoods (383),a
52.2086173,-7.106961,2,Castlewoods (384),a
52.2086179,-7.1160352,2,Tramore Road (711),a
52.2086214,-7.1067975,2,Castlewoods (385),a
52.2086234,-7.1067163,2,Castlewoods (386),a
52.2086328,-7.1062962,2,Castlewoods (387),a
52.208644,-7.0873563,2,Airport Road (234),a
52.2086451,-7.1057485,2,Castlewoods (831),a
52.2086451,-7.1057485,2,Castlewoods (831),a
52.2086511,-7.1056885,2,Castlewoods (388),a
52.2086511,-7.1056885,2,Castlewoods (388),a
52.2086925,-7.1052723,2,Castlewoods (389),a
52.2086925,-7.1052723,2,Castlewoods (389),a
52.208703,-7.1051666,2,Castlewoods (390),a
52.208703,-7.1051666,2,Castlewoods (390),a
52.2087291,-7.1160399,2,Tramore Road (710),a
52.2087503,-7.1046917,2,Castlewoods (832),a
52.2087503,-7.1046917,2,Castlewoods (832),a
52.2087503,-7.1046917,2,Castlewoods (861),a
52.2087503,-7.1046917,2,Castlewoods (861),a
52.208764,-7.1046541,2,Castlewoods (391),a
52.208764,-7.1046541,2,Castlewoods (391),a
52.2087879,-7.0875088,2,Airport Road (233),a
52.2087879,-7.0875088,2,Airport Road (931),a
52.2087879,-7.0875088,2,Airport Road (977),a
52.2088079,-7.0875422,2,Airport Road (933),a
52.2088254,-7.0875322,2,Airport Road (976),a
52.208828,-7.0875819,2,Airport Road (935),a
52.2088458,-7.0876229,2,Airport Road (937),a
52.2088587,-7.1160473,2,Tramore Road (709),a
52.208861,-7.0876707,2,Airport Road (939),a
52.2088637,-7.0875547,2,Airport Road (975),a
52.2088734,-7.0877257,2,Airport Road (941),a
52.2088807,-7.0877839,2,Airport Road (942),a
52.2088846,-7.0878519,2,Airport Road (944),a
52.2088846,-7.0878519,2,Monamintra Roundabout (237),a
52.2088865,-7.0878056,2,Monamintra Roundabout (234),a
52.2088883,-7.0878979,2,Monamintra Roundabout (240),a
52.2088883,-7.0878979,2,Monamintra Roundabout (601),a
52.2088918,-7.104303,2,Castlewoods (833),a
52.2088918,-7.104303,2,Castlewoods (833),a
52.2088938,-7.0877607,2,Monamintra Roundabout (230),a
52.2088966,-7.0875712,2,Airport Road (974),a
52.2088976,-7.0879423,2,Monamintra Roundabout (363),a
52.2089064,-7.0877191,2,Monamintra Roundabout (228),a
52.2089121,-7.0879829,2,Monamintra Roundabout (364),a
52.2089237,-7.0876823,2,Monamintra Roundabout (224),a
52.2089295,-7.0875847,2,Airport Road (973),a
52.2089312,-7.088018,2,Monamintra Roundabout (368),a
52.2089451,-7.0876517,2,Monamintra Roundabout (221),a
52.2089542,-7.0880462,2,Monamintra Roundabout (365),a
52.2089543,-7.1041961,2,Castlewoods (834),a
52.2089543,-7.1041961,2,Castlewoods (834),a
52.2089662,-7.0875963,2,Airport Road (972),a
52.2089698,-7.0876285,2,Monamintra Roundabout (218),a
52.2089801,-7.0880665,2,Monamintra Roundabout (366),a
52.2089967,-7.0876136,2,Monamintra Roundabout (216),a
52.2090007,-7.1160621,2,Tramore Road (708),a
52.2090041,-7.0876041,2,Airport Road (971),a
52.209008,-7.088078,2,Monamintra Roundabout (357),a
52.209008,-7.088078,2,Monamintra Roundabout (367),a
52.2090249,-7.0876076,2,Airport Road (970),a
52.2090249,-7.0876076,2,Monamintra Roundabout (210),a
52.2090278,-7.0880806,2,Airport Road (961),a
52.2090278,-7.0880806,2,Monamintra Roundabout (356),a
52.2090435,-7.1041622,2,Castlewoods (835),a
52.2090435,-7.1041622,2,Castlewoods (835),a
52.2090533,-7.0876107,2,Monamintra Roundabout (208),a
52.2090533,-7.0876107,2,Monamintra Roundabout (602),a
52.2090562,-7.0880766,2,Monamintra Roundabout (358),a
52.2090732,-7.0880845,2,Airport Road (962),a
52.2090813,-7.0876231,2,Monamintra Roundabout (373),a
52.2090836,-7.0880636,2,Monamintra Roundabout (351),a
52.2091073,-7.0876444,2,Monamintra Roundabout (371),a
52.2091088,-7.0880421,2,Monamintra Roundabout (360),a
52.2091098,-7.0880928,2,Airport Road (964),a
52.2091189,-7.1160775,2,Tramore Road (707),a
52.2091301,-7.0876737,2,Monamintra Roundabout (374),a
52.209131,-7.0880129,2,Monamintra Roundabout (352),a
52.2091344,-7.0881011,2,Airport Road (966),a
52.2091489,-7.0877099,2,Monamintra Roundabout (370),a
52.2091493,-7.0879773,2,Monamintra Roundabout (359),a
52.2091629,-7.0877514,2,Monamintra Roundabout (372),a
52.209163,-7.0879364,2,Monamintra Roundabout (361),a
52.2091707,-7.088116,2,Airport Road (967),a
52.2091715,-7.087892,2,Monamintra Roundabout (353),a
52.2091715,-7.0877966,2,Monamintra Roundabout (355),a
52.2091715,-7.0877966,2,Monamintra Roundabout (369),a
52.2091738,-7.0878211,2,Monamintra Roundabout (362),a
52.2091745,-7.0878458,2,Airport Road (960),a
52.2091745,-7.0878458,2,Monamintra Roundabout (354),a
52.2091784,-7.0878648,2,Airport Road (958),a
52.2091831,-7.0879016,2,Airport Road (956),a
52.2091905,-7.0879439,2,Airport Road (954),a
52.2092005,-7.1041851,2,Castlewoods (392),a
52.2092005,-7.1041851,2,Castlewoods (392),a
52.2092005,-7.087984,2,Airport Road (953),a
52.209213,-7.0880283,2,Airport Road (951),a
52.2092181,-7.0881382,2,Airport Road (968),a
52.2092258,-7.0880653,2,Airport Road (949),a
52.2092444,-7.0881109,2,Airport Road (947),a
52.209253,-7.1161017,2,Tramore Road (706),a
52.2092726,-7.088168,2,Airport Road (232),a
52.2092726,-7.088168,2,Airport Road (946),a
52.2092726,-7.088168,2,Airport Road (969),a
52.2093206,-7.1042042,2,Castlewoods (393),a
52.2093206,-7.1042042,2,Castlewoods (393),a
52.2093248,-7.1097606,2,Old Tramore Road (874),a
52.2093375,-7.0882316,2,Airport Road (231),a
52.2093851,-7.1161353,2,Tramore Road (705),a
52.2094262,-7.0883209,2,Airport Road (230),a
52.2094919,-7.1161688,2,Tramore Road (704),a
52.2095224,-7.0884173,2,Airport Road (229),a
52.2095269,-7.1042371,2,Castlewoods (836),a
52.2095269,-7.1042371,2,Castlewoods (836),a
52.2095269,-7.1042371,2,Castlewoods (859),a
52.2095269,-7.1042371,2,Castlewoods (859),a
52.2095514,-7.1044891,2,Castlewoods (417),a
52.2095514,-7.1044891,2,Castlewoods (417),a
52.209573,-7.1047106,2,Castlewoods (860),a
52.209573,-7.1047106,2,Castlewoods (860),a
52.2096078,-7.1162084,2,Tramore Road (703),a
52.2096736,-7.1005069,2,Castlewoods (854),a
52.2097458,-7.1006271,2,Castlewoods (855),a
52.2097516,-7.1162698,2,Tramore Road (702),a
52.2097516,-7.1162698,2,Tramore Road (702),a
52.2097594,-7.0886593,2,Airport Road (228),a
52.2097877,-7.1099757,2,Old Tramore Road (873),a
52.2098002,-7.1006395,2,Castlewoods (409),a
52.2098371,-7.099316,2,Castlewoods (853),a
52.2098784,-7.1163335,2,Tramore Road (701),a
52.2098784,-7.1163335,2,Tramore Road (701),a
52.2098991,-7.0991754,2,Castlewoods (852),a
52.2100039,-7.1164029,2,Tramore Road (700),a
52.2100039,-7.1164029,2,Tramore Road (700),a
52.2100181,-7.0889178,2,Airport Road (227),a
52.2100225,-7.1041622,2,Castlewoods (837),a
52.2100478,-7.0991284,2,Castlewoods (851),a
52.2101445,-7.1040213,2,Castlewoods (838),a
52.2101457,-7.1007183,2,Castlewoods (410),a
52.210157,-7.103963,2,Castlewoods (394),a
52.2101654,-7.1165002,2,Tramore Road (699),a
52.2101654,-7.1165002,2,Tramore Road (699),a
52.210204,-7.1037445,2,Castlewoods (839),a
52.2102123,-7.1035405,2,Castlewoods (840),a
52.2102248,-7.1032347,2,Castlewoods (841),a
52.2102519,-7.0991198,2,Castlewoods (408),a
52.2102814,-7.1030744,2,Castlewoods (842),a
52.2104034,-7.0991133,2,Castlewoods (850),a
52.2104415,-7.1007857,2,Castlewoods (411),a
52.2104476,-7.1166693,2,Tramore Road (698),a
52.2104476,-7.1166693,2,Tramore Road (698),a
52.2104476,-7.1166693,2,Tramore Road (923),a
52.2104476,-7.1166693,2,Tramore Road (923),a
52.210493,-7.0893893,2,Airport Road (226),a
52.2105372,-7.0991272,2,Castlewoods (407),a
52.2105987,-7.1008216,2,Castlewoods (412),a
52.2106637,-7.0991402,2,Castlewoods (406),a
52.2106783,-7.0991445,2,Castlewoods (405),a
52.2107,-7.0895972,2,Airport Road (104),a
52.2107961,-7.1014234,2,Castlewoods (846),a
52.2107991,-7.1168871,2,Tramore Road (922),a
52.2107991,-7.1168871,2,Tramore Road (922),a
52.210814,-7.102448,2,Castlewoods (843),a
52.2108318,-7.1008747,2,Castlewoods (847),a
52.2108318,-7.1008747,2,Castlewoods (856),a
52.2108586,-7.1023121,2,Castlewoods (844),a
52.2108675,-7.1021081,2,Castlewoods (845),a
52.2108898,-7.0992063,2,Castlewoods (403),a
52.2109207,-7.0992153,2,Castlewoods (849),a
52.2109362,-7.1104775,2,Old Tramore Road (872),a
52.2109679,-7.0898661,2,Airport Road (225),a
52.2109879,-7.0992529,2,Castlewoods (402),a
52.2111311,-7.1009193,2,Castlewoods (413),a
52.2111372,-7.1105651,2,Old Tramore Road (871),a
52.2111577,-7.1171108,2,Tramore Road (921),a
52.2111577,-7.1171108,2,Tramore Road (921),a
52.211159,-7.0993484,2,Castlewoods (400),a
52.2113129,-7.1172108,2,Tramore Road (920),a
52.2113129,-7.1172108,2,Tramore Road (920),a
52.2113367,-7.1106525,2,Old Tramore Road (823),a
52.2113367,-7.1106525,2,Old Tramore Road (870),a
52.2114138,-7.0995083,2,Castlewoods (848),a
52.2114507,-7.100967,2,Castlewoods (857),a
52.2114578,-7.11731,2,Tramore Road (919),a
52.2114578,-7.11731,2,Tramore Road (919),a
52.2115015,-7.101005,2,Castlewoods (414),a
52.211521,-7.090419,2,Airport Road (224),a
52.2115608,-7.1010495,2,Castlewoods (858),a
52.2115827,-7.1174001,2,Tramore Road (918),a
52.2115827,-7.1174001,2,Tramore Road (918),a
52.2116337,-7.1107822,2,Old Tramore Road (822),a
52.2117217,-7.1175108,2,Tramore Road (917),a
52.2117217,-7.1175108,2,Tramore Road (917),a
52.2117313,-7.0906287,2,Airport Road (223),a
52.2118394,-7.1176102,2,Tramore Road (916),a
52.2118394,-7.1176102,2,Tramore Road (916),a
52.2118699,-7.1108934,2,Old Tramore Road (821),a
52.2119391,-7.0908423,2,Airport Road (222),a
52.211962,-7.1177249,2,Tramore Road (915),a
52.211962,-7.1177249,2,Tramore Road (915),a
52.2120612,-7.1109937,2,Old Tramore Road (820),a
52.21208,-7.1178503,2,Tramore Road (914),a
52.21208,-7.1178503,2,Tramore Road (914),a
52.2121466,-7.0910605,2,Airport Road (221),a
52.2121998,-7.1179843,2,Tramore Road (913),a
52.2121998,-7.1179843,2,Tramore Road (913),a
52.2122256,-7.1110867,2,Old Tramore Road (819),a
52.2123065,-7.1181193,2,Tramore Road (912),a
52.2123065,-7.1181193,2,Tramore Road (912),a
