lat,lon,sz,names,len_cat
45.4755656,-73.6005393,2,Rue Sainte-Catherine Ouest (247),a
45.475602,-73.6004339,2,Rue Sainte-Catherine Ouest (242),a
45.475628,-73.6003674,2,Rue Sainte-Catherine Ouest (555),a
45.4756576,-73.6002958,2,Rue Sainte-Catherine Ouest (556),a
45.4756717,-73.6004695,2,Rue Sainte-Catherine Ouest (215),a
45.4756844,-73.6002367,2,Rue Sainte-Catherine Ouest (251),a
45.4756985,-73.6004034,2,Rue Sainte-Catherine Ouest (545),a
45.4757225,-73.6003465,2,Rue Sainte-Catherine Ouest (217),a
45.4757317,-73.6001415,2,Rue Sainte-Catherine Ouest (246),a
45.4757517,-73.6002834,2,Rue Sainte-Catherine Ouest (546),a
45.4757658,-73.6000781,2,Rue Sainte-Catherine Ouest (241),a
45.4757859,-73.6002141,2,Rue Sainte-Catherine Ouest (227),a
45.4758009,-73.6000205,2,Rue Sainte-Catherine Ouest (557),a
45.4758163,-73.6001601,2,Rue Sainte-Catherine Ouest (228),a
45.4758382,-73.5999671,2,Rue Sainte-Catherine Ouest (250),a
45.4758485,-73.6001048,2,Rue Sainte-Catherine Ouest (547),a
45.4758724,-73.5999201,2,Rue Sainte-Catherine Ouest (558),a
45.4758793,-73.6000578,2,Rue Sainte-Catherine Ouest (223),a
45.4759168,-73.5998648,2,Rue Sainte-Catherine Ouest (249),a
45.4759186,-73.5999995,2,Rue Sainte-Catherine Ouest (219),a
45.4759237,-73.5954101,2,Chemin Glen (575),a
45.4759237,-73.5954101,2,Rue de Courcelle (601),a
45.4759519,-73.5998198,2,Rue Sainte-Catherine Ouest (248),a
45.4759764,-73.5999194,2,Rue Sainte-Catherine Ouest (222),a
45.4760776,-73.5996643,2,Rue Sainte-Catherine Ouest (559),a
45.4761143,-73.5997409,2,Rue Sainte-Catherine Ouest (224),a
45.4761759,-73.5996634,2,Avenue Prince Albert (264),a
45.4761759,-73.5996634,2,Rue Sainte-Catherine Ouest (218),a
45.4761932,-73.5995212,2,Rue Sainte-Catherine Ouest (240),a
45.4761932,-73.5995212,2,Rue Sainte-Catherine Ouest (254),a
45.4761937,-73.5996948,2,Avenue Prince Albert (577),a
45.4762106,-73.5997275,2,Avenue Prince Albert (575),a
45.4762158,-73.6018294,2,Boulevard De Maisonneuve Ouest (705),a
45.4762158,-73.6018294,2,Boulevard De Maisonneuve Ouest (708),a
45.4762339,-73.5997787,2,Avenue Prince Albert (265),a
45.4762457,-73.595998,2,Chemin Glen (522),a
45.476275,-73.5995435,2,Rue Sainte-Catherine Ouest (221),a
45.4763288,-73.5993605,2,Rue Sainte-Catherine Ouest (560),a
45.4763422,-73.5961546,2,Chemin Glen (181),a
45.4763944,-73.5992822,2,Rue Sainte-Catherine Ouest (255),a
45.4764282,-73.5962855,2,Chemin Glen (481),a
45.4764946,-73.5992755,2,Rue Sainte-Catherine Ouest (548),a
45.4765678,-73.5990682,2,Rue Sainte-Catherine Ouest (561),a
45.4765678,-73.5990682,2,Rue Sainte-Catherine Ouest (563),a
45.4765687,-73.596477,2,Chemin Glen (484),a
45.4765785,-73.6037134,2,Avenue Somerville (643),a
45.4765785,-73.6037134,2,Avenue Somerville (643),a
45.4765814,-73.601409,2,Boulevard De Maisonneuve Ouest (704),a
45.4765924,-73.5965092,2,Chemin Glen (182),a
45.4765989,-73.6036936,2,Avenue Somerville (644),a
45.4765989,-73.6036936,2,Avenue Somerville (644),a
45.4766091,-73.6036838,2,Avenue Somerville (298),a
45.4766091,-73.6036838,2,Avenue Somerville (298),a
45.4766291,-73.6006497,2,Avenue Prince Albert (581),a
45.4767704,-73.5967237,2,Chemin Glen (183),a
45.4767858,-73.6009952,2,Avenue Prince Albert (270),a
45.476789,-73.6011742,2,Boulevard De Maisonneuve Ouest (703),a
45.4768003,-73.6010272,2,Avenue Prince Albert (578),a
45.4768206,-73.6010718,2,Avenue Prince Albert (579),a
45.4768329,-73.6059132,2,Rue Sherbrooke Ouest (840),a
45.4768329,-73.6059132,2,Rue Sherbrooke Ouest (840),a
45.4768406,-73.6011162,2,Avenue Prince Albert (267),a
45.4768406,-73.6011162,2,Avenue Prince Albert (272),a
45.4768406,-73.6011162,2,Boulevard De Maisonneuve Ouest (340),a
45.4768647,-73.6011695,2,Avenue Prince Albert (583),a
45.4768863,-73.601217,2,Avenue Prince Albert (276),a
45.4768929,-73.6010562,2,Boulevard De Maisonneuve Ouest (707),a
45.4769206,-73.6010221,2,Boulevard De Maisonneuve Ouest (348),a
45.4769395,-73.6013318,2,Avenue Prince Albert (277),a
45.4769733,-73.59696,2,Chemin Glen (167),a
45.4769733,-73.59696,2,Chemin Glen (184),a
45.4769881,-73.6057355,2,Rue Sherbrooke Ouest (841),a
45.4769881,-73.6057355,2,Rue Sherbrooke Ouest (841),a
45.4770104,-73.6057098,2,Rue Sherbrooke Ouest (842),a
45.4770104,-73.6057098,2,Rue Sherbrooke Ouest (842),a
45.4770104,-73.6057098,2,Rue Sherbrooke Ouest (861),a
45.4770104,-73.6057098,2,Rue Sherbrooke Ouest (861),a
45.4770542,-73.6031661,2,Avenue Somerville (647),a
45.4770542,-73.6031661,2,Avenue Somerville (647),a
45.4770952,-73.6008178,2,Boulevard De Maisonneuve Ouest (349),a
45.4771416,-73.605558,2,Rue Sherbrooke Ouest (859),a
45.4771416,-73.605558,2,Rue Sherbrooke Ouest (859),a
45.4771416,-73.605558,2,Rue Sherbrooke Ouest (860),a
45.4771416,-73.605558,2,Rue Sherbrooke Ouest (860),a
45.477199,-73.5972141,2,Chemin Glen (410),a
45.477199,-73.5972141,2,Chemin Glen (411),a
45.4772109,-73.6006831,2,Boulevard De Maisonneuve Ouest (350),a
45.4772297,-73.5972419,2,Chemin Glen (514),a
45.4772644,-73.5972714,2,Chemin Glen (412),a
45.477272,-73.5996771,2,Avenue Victoria (832),a
45.4772885,-73.599712,2,Avenue Victoria (834),a
45.4772945,-73.5972922,2,Chemin Glen (515),a
45.4773039,-73.599746,2,Avenue Victoria (833),a
45.4773276,-73.597313,2,Chemin Glen (413),a
45.4773735,-73.5973371,2,Chemin Glen (516),a
45.4773735,-73.5973371,2,Chemin Glen (525),a
45.47742,-73.6004376,2,Boulevard De Maisonneuve Ouest (351),a
45.4774223,-73.5973541,2,Chemin Glen (472),a
45.4774623,-73.5973664,2,Chemin Glen (469),a
45.4774898,-73.6001556,2,Avenue Victoria (429),a
45.4774917,-73.6003557,2,Boulevard De Maisonneuve Ouest (706),a
45.477504,-73.600188,2,Avenue Victoria (830),a
45.4775077,-73.5973762,2,Chemin Glen (526),a
45.4775323,-73.6002491,2,Avenue Victoria (829),a
45.4775491,-73.6002892,2,Avenue Victoria (425),a
45.4775491,-73.6002892,2,Avenue Victoria (430),a
45.4775491,-73.6002892,2,Boulevard De Maisonneuve Ouest (352),a
45.4775491,-73.6002892,2,Boulevard De Maisonneuve Ouest (360),a
45.4775567,-73.5973802,2,Chemin Glen (471),a
45.4775881,-73.6003774,2,Avenue Victoria (815),a
45.4775893,-73.6050456,2,Rue Sherbrooke Ouest (454),a
45.4775893,-73.6050456,2,Rue Sherbrooke Ouest (454),a
45.4775893,-73.6050456,2,Rue Sherbrooke Ouest (455),a
45.4775893,-73.6050456,2,Rue Sherbrooke Ouest (455),a
45.4776023,-73.6004074,2,Avenue Victoria (421),a
45.4776046,-73.6002221,2,Boulevard De Maisonneuve Ouest (709),a
45.4776054,-73.5973789,2,Chemin Glen (527),a
45.4776226,-73.6002017,2,Boulevard De Maisonneuve Ouest (710),a
45.4776348,-73.5973779,2,Chemin Glen (528),a
45.4776423,-73.5973777,2,Chemin Glen (529),a
45.4776917,-73.6005977,2,Avenue Victoria (424),a
45.477703,-73.6049146,2,Rue Sherbrooke Ouest (855),a
45.477703,-73.6049146,2,Rue Sherbrooke Ouest (855),a
45.4777168,-73.5985019,2,Avenue Grosvenor (603),a
45.477745,-73.5973664,2,Chemin Glen (530),a
45.4777723,-73.5947832,2,Rue Bethune (360),a
45.4778023,-73.5948474,2,Rue Bethune (876),a
45.4778031,-73.5973572,2,Chemin Glen (531),a
45.477808,-73.5948595,2,Rue Bethune (321),a
45.4778231,-73.5987331,2,Avenue Grosvenor (604),a
45.477824,-73.5948905,2,Rue Bethune (877),a
45.4778572,-73.6022368,2,Avenue Somerville (640),a
45.4778655,-73.5988246,2,Avenue Grosvenor (607),a
45.4778728,-73.5949851,2,Rue Bethune (875),a
45.4778993,-73.6046888,2,Rue Sherbrooke Ouest (453),a
45.4778993,-73.6046888,2,Rue Sherbrooke Ouest (453),a
45.4779087,-73.5998787,2,Boulevard De Maisonneuve Ouest (358),a
45.4779313,-73.6021494,2,Avenue Somerville (642),a
45.4779378,-73.595111,2,Rue Bethune (874),a
45.4779548,-73.5951441,2,Rue Bethune (873),a
45.4779607,-73.5951553,2,Rue Bethune (872),a
45.4779607,-73.5951553,2,Rue Bethune (879),a
45.4780312,-73.6020347,2,Avenue Somerville (641),a
45.4780343,-73.601349,2,Avenue Victoria (816),a
45.4780366,-73.5953036,2,Rue Bethune (362),a
45.4780472,-73.6013774,2,Avenue Victoria (423),a
45.4780779,-73.6038471,2,Avenue Prince Albert (573),a
45.4780779,-73.6038471,2,Avenue Prince Albert (573),a
45.4780779,-73.6038471,2,Avenue Prince Albert (582),a
45.4780779,-73.6038471,2,Avenue Prince Albert (582),a
45.4780795,-73.6019774,2,Avenue Somerville (639),a
45.4780868,-73.5996721,2,Boulevard De Maisonneuve Ouest (711),a
45.4780899,-73.604469,2,Rue Sherbrooke Ouest (849),a
45.4780899,-73.604469,2,Rue Sherbrooke Ouest (849),a
45.4780899,-73.604469,2,Rue Sherbrooke Ouest (856),a
45.4780899,-73.604469,2,Rue Sherbrooke Ouest (856),a
45.4780976,-73.6038904,2,Avenue Prince Albert (574),a
45.4780976,-73.6038904,2,Avenue Prince Albert (574),a
45.4781397,-73.5955243,2,Rue Bethune (398),a
45.4781397,-73.5955243,2,Rue Bethune (489),a
45.4781506,-73.5994396,2,Avenue Grosvenor (573),a
45.4781564,-73.6018845,2,Avenue Somerville (295),a
45.4781588,-73.599591,2,Boulevard De Maisonneuve Ouest (359),a
45.478168,-73.5994738,2,Avenue Grosvenor (605),a
45.4781704,-73.6016477,2,Avenue Victoria (422),a
45.4781753,-73.6018644,2,Avenue Somerville (637),a
45.4781799,-73.5956045,2,Rue Bethune (406),a
45.4781806,-73.6043644,2,Rue Sherbrooke Ouest (850),a
45.4781806,-73.6043644,2,Rue Sherbrooke Ouest (850),a
45.4781806,-73.6043644,2,Rue Sherbrooke Ouest (854),a
45.4781806,-73.6043644,2,Rue Sherbrooke Ouest (854),a
45.4781813,-73.6073849,2,Avenue Claremont (760),a
45.4781816,-73.5995059,2,Avenue Grosvenor (606),a
45.478185,-73.6016786,2,Avenue Victoria (814),a
45.4781935,-73.6018462,2,Avenue Somerville (638),a
45.4781979,-73.6043444,2,Rue Sherbrooke Ouest (452),a
45.4781979,-73.6043444,2,Rue Sherbrooke Ouest (452),a
45.4781979,-73.5995447,2,Avenue Grosvenor (574),a
45.4781979,-73.5995447,2,Boulevard De Maisonneuve Ouest (310),a
45.4782202,-73.6043182,2,Rue Sherbrooke Ouest (851),a
45.4782202,-73.6043182,2,Rue Sherbrooke Ouest (851),a
45.4782248,-73.5996052,2,Avenue Grosvenor (484),a
45.4782394,-73.601802,2,Avenue Somerville (703),a
45.4782394,-73.601802,2,Avenue Victoria (415),a
45.4782394,-73.601802,2,Avenue Victoria (420),a
45.4782456,-73.599491,2,Boulevard De Maisonneuve Ouest (702),a
45.478246,-73.6075285,2,Avenue Claremont (221),a
45.4782591,-73.6042713,2,Avenue Prince Albert (283),a
45.4782591,-73.6042713,2,Avenue Prince Albert (283),a
45.4782591,-73.6042713,2,Rue Sherbrooke Ouest (450),a
45.4782591,-73.6042713,2,Rue Sherbrooke Ouest (450),a
45.4782844,-73.5994435,2,Boulevard De Maisonneuve Ouest (310),a
45.4782896,-73.6019144,2,Avenue Victoria (808),a
45.4783076,-73.6019537,2,Avenue Victoria (418),a
45.47831,-73.6076707,2,Avenue Claremont (759),a
45.4783114,-73.6043858,2,Avenue Prince Albert (591),a
45.4783114,-73.6043858,2,Avenue Prince Albert (591),a
45.4783121,-73.6042103,2,Rue Sherbrooke Ouest (852),a
45.4783121,-73.6042103,2,Rue Sherbrooke Ouest (852),a
45.4783326,-73.6044321,2,Avenue Prince Albert (285),a
45.4783326,-73.6044321,2,Avenue Prince Albert (285),a
45.4783336,-73.6041855,2,Rue Sherbrooke Ouest (451),a
45.4783336,-73.6041855,2,Rue Sherbrooke Ouest (451),a
45.4783577,-73.604158,2,Rue Sherbrooke Ouest (846),a
45.4783577,-73.604158,2,Rue Sherbrooke Ouest (846),a
45.4783577,-73.604158,2,Rue Sherbrooke Ouest (853),a
45.4783577,-73.604158,2,Rue Sherbrooke Ouest (853),a
45.4783596,-73.5959663,2,Rue Bethune (878),a
45.4783596,-73.5959663,2,Rue Bethune (880),a
45.4783619,-73.5959712,2,Rue Bethune (881),a
45.4783683,-73.5959835,2,Rue Bethune (882),a
45.4783683,-73.5959835,2,Rue Bethune (889),a
45.4783854,-73.6021278,2,Avenue Victoria (416),a
45.478408,-73.6021783,2,Avenue Victoria (809),a
45.4784116,-73.6040973,2,Rue Sherbrooke Ouest (447),a
45.4784116,-73.6040973,2,Rue Sherbrooke Ouest (447),a
45.4784116,-73.6040973,2,Rue Sherbrooke Ouest (448),a
45.4784116,-73.6040973,2,Rue Sherbrooke Ouest (448),a
45.478477,-73.6047389,2,Avenue Prince Albert (590),a
45.478477,-73.6047389,2,Avenue Prince Albert (590),a
45.4784797,-73.6023384,2,Avenue Victoria (811),a
45.4785174,-73.6002425,2,Avenue Grosvenor (096),a
45.4785328,-73.6024571,2,Avenue Victoria (417),a
45.4785664,-73.6049341,2,Avenue Prince Albert (089),a
45.4785664,-73.6049341,2,Avenue Prince Albert (089),a
45.4785831,-73.6025645,2,Avenue Victoria (810),a
45.4785831,-73.6025645,2,Avenue Victoria (810),a
45.4785831,-73.6025645,2,Avenue Victoria (819),a
45.4785831,-73.6025645,2,Avenue Victoria (819),a
45.4786318,-73.6026648,2,Avenue Victoria (813),a
45.4786318,-73.6026648,2,Avenue Victoria (813),a
