lat,lon,sz,names,len_cat,street,street_nodes,street_id,node_id,source_city,source_city_id
43.9264008,-79.3772945,2,Woodbine Avenue (287),a,Woodbine Avenue,415,5408357,91752287,Whitchurch-Stouffville,37999
43.9266427,-79.3773546,2,Woodbine Avenue (288),a,Woodbine Avenue,415,5408357,91752288,Whitchurch-Stouffville,37999
43.9274199,-79.3775577,2,Woodbine Avenue (289),a,Woodbine Avenue,415,5408357,91752289,Whitchurch-Stouffville,37999
43.9284138,-79.3778048,2,Woodbine Avenue (290),a,Woodbine Avenue,415,5408357,91752290,Whitchurch-Stouffville,37999
43.9286046,-79.3778512,2,Woodbine Avenue (230),a,Woodbine Avenue,415,5408357,297383230,Whitchurch-Stouffville,37999
43.9289198,-79.377928,2,Woodbine Avenue (291),a,Woodbine Avenue,415,5408357,91752291,Whitchurch-Stouffville,37999
43.9291366,-79.3779844,2,Woodbine Avenue (292),a,Woodbine Avenue,415,5408357,91752292,Whitchurch-Stouffville,37999
43.9295737,-79.3780953,2,Woodbine Avenue (293),a,Woodbine Avenue,415,5408357,91752293,Whitchurch-Stouffville,37999
43.9296246,-79.3781082,2,Woodbine Avenue (294),a,Woodbine Avenue,415,5408357,91752294,Whitchurch-Stouffville,37999
43.9316662,-79.3785884,2,Woodbine Avenue (295),a,Woodbine Avenue,415,5408357,91752295,Whitchurch-Stouffville,37999
43.9324975,-79.3788025,2,Woodbine Avenue (296),a,Woodbine Avenue,415,5408357,91752296,Whitchurch-Stouffville,37999
43.9329892,-79.3789124,2,Woodbine Avenue (231),a,Woodbine Avenue,415,5408357,297383231,Whitchurch-Stouffville,37999
43.9330937,-79.3789358,2,Woodbine Avenue (297),a,Woodbine Avenue,415,5408357,91752297,Whitchurch-Stouffville,37999
43.9336898,-79.3790692,2,Woodbine Avenue (298),a,Woodbine Avenue,415,5408357,91752298,Whitchurch-Stouffville,37999
43.9339161,-79.3791255,2,Woodbine Avenue (232),a,Woodbine Avenue,415,5408357,297383232,Whitchurch-Stouffville,37999
43.9344578,-79.3792601,2,Woodbine Avenue (299),a,Woodbine Avenue,415,5408357,91752299,Whitchurch-Stouffville,37999
43.9347379,-79.3793272,2,Woodbine Avenue (300),a,Woodbine Avenue,415,5408357,91752300,Whitchurch-Stouffville,37999
43.9358309,-79.3795841,2,Woodbine Avenue (301),a,Woodbine Avenue,415,5408357,91752301,Whitchurch-Stouffville,37999
43.9368698,-79.37983,2,Woodbine Avenue (302),a,Woodbine Avenue,415,5408357,91752302,Whitchurch-Stouffville,37999
43.93697,-79.3798531,2,Woodbine Avenue (303),a,Woodbine Avenue,415,5408357,91752303,Whitchurch-Stouffville,37999
43.93697,-79.3798531,2,Woodbine Avenue (630),a,Woodbine Avenue,415,5408357,579892630,Whitchurch-Stouffville,37999
43.9373681,-79.3799446,2,Woodbine Avenue (746),a,Woodbine Avenue,415,5408357,473784746,Whitchurch-Stouffville,37999
43.9374027,-79.3799526,2,Woodbine Avenue (745),a,Woodbine Avenue,415,5408357,473784745,Whitchurch-Stouffville,37999
43.937701,-79.3800317,2,Woodbine Avenue (744),a,Woodbine Avenue,415,5408357,473784744,Whitchurch-Stouffville,37999
43.9378997,-79.3800761,2,Woodbine Avenue (743),a,Woodbine Avenue,415,5408357,473784743,Whitchurch-Stouffville,37999
43.9379745,-79.3290143,2,Kennedy Road (845),a,Kennedy Road,296,5408369,473784845,Whitchurch-Stouffville,37999
43.9380053,-79.3546963,2,Warden Avenue (897),a,Warden Avenue,315,5408469,425035897,Whitchurch-Stouffville,37999
43.9380532,-79.3801093,2,Woodbine Avenue (742),a,Woodbine Avenue,415,5408357,473784742,Whitchurch-Stouffville,37999
43.9382246,-79.3801296,2,Woodbine Avenue (741),a,Woodbine Avenue,415,5408357,473784741,Whitchurch-Stouffville,37999
43.938396,-79.3801513,2,Woodbine Avenue (066),a,Woodbine Avenue,415,5408357,91752066,Whitchurch-Stouffville,37999
43.938396,-79.3801513,2,Woodbine Avenue (631),a,Woodbine Avenue,415,5408357,579892631,Whitchurch-Stouffville,37999
43.9384119,-79.3291227,2,Kennedy Road (840),a,Kennedy Road,296,5408369,473784840,Whitchurch-Stouffville,37999
43.9384681,-79.3801604,2,Woodbine Avenue (067),a,Woodbine Avenue,415,5408357,91752067,Whitchurch-Stouffville,37999
43.9386933,-79.3801667,2,Woodbine Avenue (068),a,Woodbine Avenue,415,5408357,91752068,Whitchurch-Stouffville,37999
