lat,lon,sz,names,len_cat
62.428738,-114.3490469,2,Rasmussen Road (207),a
62.428738,-114.3490469,2,Rasmussen Road (207),a
62.428842,-114.3492648,2,Rasmussen Road (206),a
62.428842,-114.3492648,2,Rasmussen Road (206),a
62.4288865,-114.3494012,2,Rasmussen Road (205),a
62.4288865,-114.3494012,2,Rasmussen Road (205),a
62.4291473,-114.3502066,2,Rasmussen Road (204),a
62.4291473,-114.3502066,2,Rasmussen Road (204),a
62.4297458,-114.3514519,2,Rasmussen Road (203),a
62.4297458,-114.3514519,2,Rasmussen Road (203),a
62.4299354,-114.3519777,2,Rasmussen Road (209),a
62.4299354,-114.3519777,2,Rasmussen Road (209),a
62.4301406,-114.352851,2,Rasmussen Road (216),a
62.4301406,-114.352851,2,Rasmussen Road (216),a
62.4302284,-114.3531301,2,Rasmussen Road (214),a
62.4302284,-114.3531301,2,Rasmussen Road (214),a
62.4303486,-114.3532721,2,Rasmussen Road (222),a
62.4303486,-114.3532721,2,Rasmussen Road (222),a
62.4305234,-114.3533596,2,Rasmussen Road (204),a
62.4305234,-114.3533596,2,Rasmussen Road (204),a
62.4306928,-114.3533268,2,Rasmussen Road (227),a
62.4306928,-114.3533268,2,Rasmussen Road (227),a
62.431201,-114.3531082,2,Rasmussen Road (228),a
62.431201,-114.3531082,2,Rasmussen Road (228),a
62.4313649,-114.3530973,2,Rasmussen Road (210),a
62.4313649,-114.3530973,2,Rasmussen Road (210),a
62.4315889,-114.3532831,2,Rasmussen Road (206),a
62.4315889,-114.3532831,2,Rasmussen Road (206),a
62.4317233,-114.353428,2,Rasmussen Road (217),a
62.4317233,-114.353428,2,Rasmussen Road (217),a
62.4318238,-114.3536437,2,Rasmussen Road (211),a
62.4318238,-114.3536437,2,Rasmussen Road (211),a
62.4319003,-114.3538841,2,Rasmussen Road (226),a
62.4319003,-114.3538841,2,Rasmussen Road (226),a
62.431955,-114.3541628,2,Rasmussen Road (205),a
62.431955,-114.3541628,2,Rasmussen Road (205),a
62.4319775,-114.3544718,2,Rasmussen Road (229),a
62.4319775,-114.3544718,2,Rasmussen Road (229),a
62.4319932,-114.3546873,2,Rasmussen Road (207),a
62.4319932,-114.3546873,2,Rasmussen Road (207),a
62.4320045,-114.3549922,2,Rasmussen Road (221),a
62.4320045,-114.3549922,2,Rasmussen Road (221),a
62.432026,-114.3552829,2,Rasmussen Road (213),a
62.432026,-114.3552829,2,Rasmussen Road (213),a
62.4321517,-114.3556708,2,Rasmussen Road (215),a
62.4321517,-114.3556708,2,Rasmussen Road (215),a
62.4322864,-114.3559235,2,Rasmussen Road (231),a
62.4322864,-114.3559235,2,Rasmussen Road (231),a
62.4323812,-114.3561024,2,Rasmussen Road (223),a
62.4323812,-114.3561024,2,Rasmussen Road (223),a
62.4325589,-114.3562804,2,Rasmussen Road (203),a
62.4325589,-114.3562804,2,Rasmussen Road (203),a
62.4326948,-114.3563459,2,Rasmussen Road (224),a
62.4326948,-114.3563459,2,Rasmussen Road (224),a
62.4329743,-114.3563987,2,Rasmussen Road (225),a
62.4329743,-114.3563987,2,Rasmussen Road (225),a
62.4331488,-114.3537671,2,Negus Point (478),a
62.4331488,-114.3537671,2,Negus Point (478),a
62.433161,-114.3529908,2,Negus Point (477),a
62.433161,-114.3529908,2,Negus Point (477),a
62.4331622,-114.3539985,2,Negus Point (479),a
62.4331622,-114.3539985,2,Negus Point (479),a
62.4331963,-114.3524838,2,Negus Point (476),a
62.4331963,-114.3524838,2,Negus Point (476),a
62.4332107,-114.354188,2,Negus Point (480),a
62.4332107,-114.354188,2,Negus Point (480),a
62.4332858,-114.3543558,2,Negus Point (481),a
62.4332858,-114.3543558,2,Negus Point (481),a
62.4333483,-114.3563756,2,Rasmussen Road (220),a
62.4333483,-114.3563756,2,Rasmussen Road (220),a
62.433464,-114.3505028,2,Negus Point (475),a
62.433464,-114.3505028,2,Negus Point (475),a
62.4334699,-114.3545914,2,Negus Point (482),a
62.4334699,-114.3545914,2,Negus Point (482),a
62.4336226,-114.3498686,2,Negus Point (474),a
62.4336226,-114.3498686,2,Negus Point (474),a
62.433698,-114.3562991,2,Rasmussen Road (219),a
62.433698,-114.3562991,2,Rasmussen Road (219),a
62.4337692,-114.3495455,2,Negus Point (473),a
62.4337692,-114.3495455,2,Negus Point (473),a
62.4338567,-114.3488519,2,Negus Point (471),a
62.4338567,-114.3488519,2,Negus Point (471),a
62.4338741,-114.3492297,2,Negus Point (472),a
62.4338741,-114.3492297,2,Negus Point (472),a
62.4339132,-114.3484698,2,Negus Point (470),a
62.4339132,-114.3484698,2,Negus Point (470),a
62.4340007,-114.3563273,2,Rasmussen Road (212),a
62.4340007,-114.3563273,2,Rasmussen Road (212),a
62.4340044,-114.34827,2,Negus Point (469),a
62.4340044,-114.34827,2,Negus Point (469),a
62.4340716,-114.3550615,2,Negus Point (483),a
62.4340716,-114.3550615,2,Negus Point (483),a
62.4342205,-114.355339,2,Negus Point (484),a
62.4342205,-114.355339,2,Negus Point (484),a
62.4343822,-114.3480659,2,Negus Point (468),a
62.4579671,-114.3042992,2,Detah Road (029),a
62.4579671,-114.3042992,2,Detah Road (029),a
